1 	Abolish 	Instant 	1WW 	Uncommon 	Kev Walker 	English Prophecy
45 	Rhystic Study 	Enchantment 	2U 	Common 	Terese Nielsen 	English Prophecy
46 	Ribbon Snake 	Creature - Snake 2/3 	1UU 	Common 	Mark Zug 	English Prophecy
47 	Shrouded Serpent 	Creature - Serpent 4/4 	4UUU 	Rare 	Dana Knutson 	English Prophecy
48 	Spiketail Drake 	Creature - Drake 3/3 	3UU 	Uncommon 	Michael Sutfin 	English Prophecy
49 	Spiketail Hatchling 	Creature - Drake 1/1 	1U 	Common 	Greg Staples 	English Prophecy
50 	Stormwatch Eagle 	Creature - Bird 2/1 	3U 	Common 	Aaron Boyd 	English Prophecy
51 	Sunken Field 	Enchant Land 	1U 	Uncommon 	Donato Giancola 	English Prophecy
52 	Troublesome Spirit 	Creature - Spirit 3/4 	2UU 	Rare 	Adam Rex 	English Prophecy
53 	Windscouter 	Creature - Ship 3/3 	3U 	Uncommon 	Brian Snõ 	English Prophecy
54 	Withdraw 	Instant 	UU 	Common 	Adam Rex 	English Prophecy
55 	Agent of Shauku 	Creature - Mercenary 1/1 	1B 	Common 	Donato Giancola 	English Prophecy
56 	Avatar of Woe 	Creature - Avatar 6/5 	6BB 	Rare 	rk post 	English Prophecy
57 	Bog Elemental 	Creature - Elemental 5/4 	3BB 	Rare 	Glen Angus 	English Prophecy
58 	Bog Glider 	Creature - Mercenary 1/1 	2B 	Common 	Brian Snõ 	English Prophecy
59 	Chilling Apparition 	Creature - Ghost 1/1 	2B 	Uncommon 	Ron Spears 	English Prophecy
60 	Coffin Puppets 	Creature - Zombie 3/3 	3BB 	Rare 	Arnie Swekel 	English Prophecy
61 	Death Charmer 	Creature - Mercenary 2/2 	2B 	Common 	David Martin 	English Prophecy
62 	Despoil 	Sorcery 	3B 	Common 	Scott M. Fischer 	English Prophecy
63 	Endbringer's Revel 	Enchantment 	2B 	Uncommon 	Pete Venters 	English Prophecy
64 	Fen Stalker 	Creature - Nightstalker 3/2 	3B 	Common 	Edward P. Beard, Jr. 	English Prophecy
65 	Flay 	Sorcery 	3B 	Common 	Matthew D. Wilson 	English Prophecy
66 	Greel, Mind Raker 	Creature - Spellshaper Legend 3/3 	3BB 	Rare 	Brom 	English Prophecy
67 	Greel's Caress 	Enchant Creature 	1B 	Common 	Chippy 	English Prophecy
68 	Infernal Genesis 	Enchantment 	4BB 	Rare 	Ron Spencer 	English Prophecy
69 	Nakaya Shade 	Creature - Shade 1/1 	1B 	Uncommon 	Ray Lago 	English Prophecy
70 	Noxious Field 	Enchant Land 	1BB 	Uncommon 	Eric Peterson 	English Prophecy
71 	Outbreak 	Sorcery 	3B 	Uncommon 	Quinton Hoover 	English Prophecy
72 	Pit Raptor 	Creature - Mercenary 4/3 	2BB 	Uncommon 	Thomas Gianni 	English Prophecy
73 	Plague Fiend 	Creature - Insect 1/1 	1B 	Common 	David Martin 	English Prophecy
74 	Plague Wind 	Sorcery 	7BB 	Rare 	Alan Pollack 	English Prophecy
75 	Rebel Informer 	Creature - Mercenary Rebel 1/2 	2B 	Rare 	Scott M. Fischer 	English Prophecy
76 	Rhystic Syphon 	Sorcery 	3BB 	Uncommon 	Ron Spencer 	English Prophecy
77 	Rhystic Tutor 	Sorcery 	2B 	Rare 	Dan Frazier 	English Prophecy
78 	Soul Strings 	Sorcery 	XB 	Common 	Daren Bader 	English Prophecy
79 	Steal Strength 	Instant 	1B 	Common 	D. Alexander Gregory 	English Prophecy
80 	Wall of Vipers 	Creature - Wall 2/4 	2B 	Uncommon 	Marc Fishman 	English Prophecy
81 	Whipstitched Zombie 	Creature - Zombie 2/2 	1B 	Common 	Mark Tedin 	English Prophecy
82 	Avatar of Fury 	Creature - Avatar 6/6 	6RR 	Rare 	rk post 	English Prophecy
83 	Barbed Field 	Enchant Land 	2RR 	Uncommon 	Carl Critchlow 	English Prophecy
84 	Branded Brawlers 	Creature - Soldier 2/2 	R 	Common 	Scott M. Fischer 	English Prophecy
85 	Brutal Suppression 	Enchantment 	R 	Uncommon 	Val Mayerik 	English Prophecy
86 	Citadel of Pain 	Enchantment 	2R 	Uncommon 	Darrell Riche 	English Prophecy
87 	Devastate 	Sorcery 	3RR 	Common 	Greg Staples 	English Prophecy
88 	Fault Riders 	Creature - Soldier 2/2 	2R 	Common 	Dave Dorman 	English Prophecy
89 	Fickle Efreet 	Creature - Efreet 5/2 	3R 	Rare 	Dave Dorman 	English Prophecy
90 	Flameshot 	Sorcery 	3R 	Uncommon 	Mark Brill 	English Prophecy
91 	Inflame 	Instant 	R 	Common 	Eric Peterson 	English Prophecy
92 	Keldon Arsonist 	Creature - Soldier 1/1 	2R 	Uncommon 	Paolo Parente 	English Prophecy
93 	Keldon Berserker 	Creature - Soldier 2/3 	3R 	Common 	Paolo Parente 	English Prophecy
94 	Keldon Firebombers 	Creature - Soldier 3/3 	3RR 	Rare 	Randy Gallegos 	English Prophecy
95 	Latulla, Keldon Overseer 	Creature - Spellshaper Legend 3/3 	3RR 	Rare 	Brom 	English Prophecy
96 	Latulla's Orders 	Enchant Creature 	1R 	Common 	Ben Thompson 	English Prophecy
97 	Lesser Gargadon 	Creature - Beast 6/4 	2RR 	Uncommon 	Rob Alexander 	English Prophecy
98 	Panic Attack 	Sorcery 	2R 	Common 	Mike Ploog 	English Prophecy
99 	Rhystic Lightning 	Instant 	2R 	Common 	Roger Raupp 	English Prophecy
100 	Ridgeline Rager 	Creature - Beast 1/2 	2R 	Common 	Chippy 	English Prophecy
101 	Scoria Cat 	Creature - Cat 3/3 	3RR 	Uncommon 	Andrew Goldhawk 	English Prophecy
102 	Search for Survivors 	Sorcery 	2R 	Rare 	Mark Romanoski 	English Prophecy
103 	Searing Wind 	Instant 	8R 	Rare 	John Matson 	English Prophecy
104 	Spur Grappler 	Creature - Beast 2/1 	2R 	Common 	Randy Gallegos 	English Prophecy
105 	Task Mage Assembly 	Enchantment 	2R 	Rare 	Val Mayerik 	English Prophecy
106 	Veteran Brawlers 	Creature - Soldier 4/4 	1R 	Rare 	Paolo Parente 	English Prophecy
107 	Whip Sergeant 	Creature - Soldier 2/1 	2R 	Uncommon 	Paolo Parente 	English Prophecy
108 	Zerapa Minotaur 	Creature - Minotaur 3/3 	2RR 	Common 	Mark Zug 	English Prophecy
109 	Avatar of Might 	Creature - Avatar 8/8 	6GG 	Rare 	rk post 	English Prophecy
110 	Calming Verse 	Sorcery 	3G 	Common 	Rebecca Guay 	English Prophecy
111 	Darba 	Creature - Beast 5/4 	3G 	Uncommon 	Heather Hudson 	English Prophecy
112 	Dual Nature 	Enchantment 	4GG 	Rare 	Arnie Swekel 	English Prophecy
113 	Elephant Resurgence 	Sorcery 	1G 	Rare 	DiTerlizzi 	English Prophecy
114 	Forgotten Harvest 	Enchantment 	1G 	Rare 	DiTerlizzi 	English Prophecy
115 	Jolrael, Empress of Beasts 	Creature - Spellshaper Legend 3/3 	3GG 	Rare 	Matthew D. Wilson 	English Prophecy
116 	Jolrael's Favor 	Enchant Creature 	1G 	Common 	Daren Bader 	English Prophecy
117 	Living Terrain 	Enchant Land 	2GG 	Uncommon 	Andrew Goldhawk 	English Prophecy
118 	Marsh Boa 	Creature - Snake 1/1 	G 	Common 	Heather Hudson 	English Prophecy
119 	Mungha Wurm 	Creature - Wurm 6/5 	2GG 	Rare 	Greg Staples 	English Prophecy
120 	Pygmy Razorback 	Creature - Boar 2/1 	1G 	Common 	Matt Cavotta 	English Prophecy
121 	Rib Cage Spider 	Creature - Spider 1/4 	2G 	Common 	Dana Knutson 	English Prophecy
122 	Root Cage 	Enchantment 	1G 	Uncommon 	Glen Angus 	English Prophecy
123 	Silt Crawler 	Creature - Beast 3/3 	2G 	Common 	Arnie Swekel 	English Prophecy
124 	Snag 	Instant 	3G 	Uncommon 	Ron Spencer 	English Prophecy
125 	Spitting Spider 	Creature - Spider 3/5 	3GG 	Uncommon 	Edward P. Beard, Jr. 	English Prophecy
126 	Spore Frog 	Creature - Frog 1/1 	G 	Common 	Donato Giancola 	English Prophecy
127 	Squirrel Wrangler 	Creature - Druid 2/2 	2GG 	Rare 	Carl Critchlow 	English Prophecy
128 	Thresher Beast 	Creature - Beast 4/4 	3GG 	Common 	Jeff Easley 	English Prophecy
129 	Thrive 	Sorcery 	XG 	Common 	Mike Ploog 	English Prophecy
130 	Verdant Field 	Enchant Land 	2G 	Uncommon 	Ron Spears 	English Prophecy
131 	Vintara Elephant 	Creature - Elephant 4/3 	4G 	Common 	Tony Szczudlo 	English Prophecy
132 	Vintara Snapper 	Creature - Turtle 2/2 	GG 	Uncommon 	Joel Biske 	English Prophecy
133 	Vitalizing Wind 	Instant 	8G 	Rare 	Jeff Easley 	English Prophecy
134 	Wild Might 	Instant 	1G 	Common 	Carl Critchlow 	English Prophecy
135 	Wing Storm 	Sorcery 	2G 	Uncommon 	Heather Hudson 	English Prophecy
136 	Chimeric Idol 	Artifact 	3 	Uncommon 	Mark Tedin 	English Prophecy
137 	Copper-Leaf Angel 	Artifact Creature - Angel 2/2 	5 	Rare 	Christopher Moeller 	English Prophecy
138 	Hollow Warrior 	Artifact Creature - Golem 4/4 	4 	Uncommon 	Adam Rex 	English Prophecy
139 	Keldon Battlewagon 	Artifact Creature 0/3 	5 	Rare 	Kev Walker 	English Prophecy
140 	Well of Discovery 	Artifact 	6 	Rare 	Alan Rabinowitz 	English Prophecy
141 	Well of Life 	Artifact 	4 	Uncommon 	Tom Wärstrand 	English Prophecy
142 	Rhystic Cave 	Land 		Uncommon 	Rob Alexander 	English Prophecy
143 	Wintermoon Mesa 	Land 		Rare 	Tom Wärstrand 	English Prophecy
