1 	Aurora Eidolon 	Creature - Spirit 2/2 	3W 	Common 	Justin Sweet 	English Dissension
49 	Nightcreep 	Instant 	BB 	Uncommon 	Jeff Miracola 	English Dissension
50 	Nihilistic Glee 	Enchantment 	2BB 	Rare 	Ron Spears & Wayne Reynolds 	English Dissension
51 	Ragamuffyn 	Creature - Zombie Cleric 2/2 	2B 	Uncommon 	rk post 	English Dissension
52 	Ratcatcher 	Creature - Ogre Rogue 4/4 	4BB 	Rare 	Dan Scott 	English Dissension
53 	Seal of Doom 	Enchantment 	2B 	Common 	Ralph Horsley 	English Dissension
54 	Slaughterhouse Bouncer 	Creature - Ogre Warrior 3/3 	4B 	Common 	Greg Staples 	English Dissension
55 	Slithering Shade 	Creature - Shade 0/1 	B 	Uncommon 	Daren Bader 	English Dissension
56 	Unliving Psychopath 	Creature - Zombie Assassin 0/4 	2BB 	Rare 	Greg Staples 	English Dissension
57 	Vesper Ghoul 	Creature - Zombie Druid 1/1 	2B 	Common 	Thomas M. Baxa 	English Dissension
58 	Wit's End 	Sorcery 	5BB 	Rare 	Kev Walker 	English Dissension
59 	Cackling Flames 	Instant 	3R 	Common 	Shishizaru 	English Dissension
60 	Demonfire 	Sorcery 	XR 	Rare 	Greg Staples 	English Dissension
61 	Flame-Kin War Scout 	Creature - Elemental Scout 2/4 	3R 	Uncommon 	Fred Hooper 	English Dissension
62 	Flaring Flame-Kin 	Creature - Elemental Warrior 2/2 	2R 	Uncommon 	Brian Hagan 	English Dissension
63 	Gnat Alley Creeper 	Creature - Human Rogue 3/1 	2R 	Uncommon 	Pete Venters 	English Dissension
64 	Ignorant Bliss 	Instant 	1R 	Uncommon 	Jeff Miracola 	English Dissension
65 	Kill-Suit Cultist 	Creature - Goblin Berserker 1/1 	R 	Common 	Alex Horley-Orlandelli 	English Dissension
66 	Kindle the Carnage 	Sorcery 	1RR 	Uncommon 	Dany Orizio 	English Dissension
67 	Ogre Gatecrasher 	Creature - Ogre Rogue 3/3 	3R 	Common 	Daren Bader 	English Dissension
68 	Psychotic Fury 	Instant 	1R 	Common 	Kev Walker 	English Dissension
69 	Rakdos Pit Dragon 	Creature - Dragon 3/3 	2RR 	Rare 	Kev Walker 	English Dissension
70 	Sandstorm Eidolon 	Creature - Spirit 2/2 	3R 	Common 	Brian Hagan 	English Dissension
71 	Seal of Fire 	Enchantment 	R 	Common 	Ralph Horsley 	English Dissension
72 	Squealing Devil 	Creature - Devil 2/1 	1R 	Uncommon 	Matt Cavotta 	English Dissension
73 	Stalking Vengeance 	Creature - Avatar 5/5 	5RR 	Rare 	Anthony S. Waters 	English Dissension
74 	Stormscale Anarch 	Creature - Viashino Shaman 2/2 	2RR 	Rare 	Ralph Horsley 	English Dissension
75 	Taste for Mayhem 	Enchantment - Aura 	R 	Common 	Greg Hildebrandt 	English Dissension
76 	Utvara Scalper 	Creature - Goblin Scout 1/2 	1R 	Common 	Christopher Rush 	English Dissension
77 	War's Toll 	Enchantment 	3R 	Rare 	Dana Knutson 	English Dissension
78 	Weight of Spires 	Instant 	R 	Uncommon 	Michael Sutfin 	English Dissension
79 	Whiptail Moloch 	Creature - Lizard 6/3 	4R 	Common 	Darrell Riche 	English Dissension
80 	Aquastrand Spider 	Creature - Spider Mutant 0/0 	1G 	Common 	Dany Orizio 	English Dissension
81 	Cytoplast Root-Kin 	Creature - Elemental Mutant 0/0 	2GG 	Rare 	Thomas M. Baxa 	English Dissension
82 	Cytospawn Shambler 	Creature - Elemental Mutant 0/0 	6G 	Common 	Anthony S. Waters 	English Dissension
83 	Elemental Resonance 	Enchantment - Aura 	2GG 	Rare 	Mark Tedin 	English Dissension
84 	Fertile Imagination 	Sorcery 	2GG 	Uncommon 	Dan Scott 	English Dissension
85 	Flash Foliage 	Instant 	2G 	Uncommon 	Ron Spears 	English Dissension
86 	Indrik Stomphowler 	Creature - Beast 4/4 	4G 	Uncommon 	Carl Critchlow 	English Dissension
87 	Loaming Shaman 	Creature - Centaur Shaman 3/2 	2G 	Rare 	Carl Critchlow 	English Dissension
88 	Might of the Nephilim 	Instant 	1G 	Uncommon 	Parente 	English Dissension
89 	Patagia Viper 	Creature - Snake 2/1 	3G 	Uncommon 	Christopher Moeller 	English Dissension
90 	Protean Hulk 	Creature - Beast 6/6 	5GG 	Rare 	Matt Cavotta 	English Dissension
91 	Simic Basilisk 	Creature - Basilisk Mutant 0/0 	4GG 	Uncommon 	Luca Zontini 	English Dissension
92 	Simic Initiate 	Creature - Human Mutant 0/0 	G 	Common 	Dany Orizio 	English Dissension
93 	Simic Ragworm 	Creature - Worm 3/3 	3G 	Common 	Nick Percival 	English Dissension
94 	Sporeback Troll 	Creature - Troll Mutant 0/0 	3G 	Common 	Dan Scott 	English Dissension
95 	Sprouting Phytohydra 	Creature - Plant Hydra 0/2 	4G 	Rare 	Heather Hudson 	English Dissension
96 	Stomp and Howl 	Sorcery 	2G 	Uncommon 	Carl Critchlow 	English Dissension
97 	Street Savvy 	Enchantment - Aura 	G 	Common 	Kev Walker 	English Dissension
98 	Thrive 	Sorcery 	XG 	Common 	Daren Bader 	English Dissension
99 	Utopia Sprawl 	Enchantment - Aura 	G 	Common 	Ron Spears 	English Dissension
100 	Verdant Eidolon 	Creature - Spirit 2/2 	3G 	Common 	Tsutomu Kawade 	English Dissension
101 	Æhermage's Touch 	Instant 	2WU 	Rare 	Randy Gallegos 	English Dissension
102 	Anthem of Rakdos 	Enchantment 	2BRR 	Rare 	Ralph Horsley 	English Dissension
103 	Assault Zeppelid 	Creature - Beast 3/3 	2UG 	Common 	Jeremy Jarvis 	English Dissension
104 	Azorius Æhermage 	Creature - Human Wizard 1/1 	1WU 	Uncommon 	Heather Hudson 	English Dissension
105 	Azorius First-Wing 	Creature - Griffin 2/2 	WU 	Common 	Alex Horley-Orlandelli 	English Dissension
106 	Azorius Ploy 	Instant 	1WWU 	Uncommon 	Michael Sutfin 	English Dissension
107 	Coiling Oracle 	Creature - Snake Elf Druid 1/1 	UG 	Common 	Mark Zug 	English Dissension
108 	Cytoshape 	Instant 	1UG 	Rare 	Alan Pollack 	English Dissension
109 	Dread Slag 	Creature - Horror 9/9 	3BR 	Rare 	Anthony S. Waters 	English Dissension
110 	Experiment Kraj 	Legendary Creature - Ooze Mutant 4/6 	2UUGG 	Rare 	Mark Tedin 	English Dissension
111 	Gobhobbler Rats 	Creature - Rat 2/2 	BR 	Common 	Michael Sutfin 	English Dissension
112 	Grand Arbiter Augustin IV 	Legendary Creature - Human Advisor 2/3 	2WU 	Rare 	Zoltan Boros & Gabor Szikszai 	English Dissension
113 	Hellhole Rats 	Creature - Rat 2/2 	2BR 	Uncommon 	Kev Walker 	English Dissension
114 	Isperia the Inscrutable 	Legendary Creature - Sphinx 3/6 	1WWUU 	Rare 	Greg Staples 	English Dissension
115 	Jagged Poppet 	Creature - Ogre Warrior 3/4 	1BR 	Uncommon 	Jeff Miracola 	English Dissension
116 	Leafdrake Roost 	Enchantment - Aura 	3UG 	Uncommon 	Nick Percival 	English Dissension
117 	Lyzolda, the Blood Witch 	Legendary Creature - Human Cleric 3/1 	1BR 	Rare 	Jim Nelson 	English Dissension
118 	Momir Vig, Simic Visionary 	Legendary Creature - Elf Wizard 2/2 	3UG 	Rare 	Zoltan Boros & Gabor Szikszai 	English Dissension
119 	Omnibian 	Creature - Frog 3/3 	1UGG 	Rare 	Jim Nelson 	English Dissension
120 	Overrule 	Instant 	XWU 	Common 	Alan Pollack 	English Dissension
121 	Pain Magnification 	Enchantment 	1BR 	Uncommon 	Aleksi Briclot 	English Dissension
122 	Palliation Accord 	Enchantment 	3WU 	Uncommon 	William Simpson 	English Dissension
123 	Plaxcaster Frogling 	Creature - Frog Mutant 0/0 	1UG 	Uncommon 	Greg Staples 	English Dissension
124 	Plumes of Peace 	Enchantment - Aura 	1WU 	Common 	Justin Sweet 	English Dissension
125 	Pride of the Clouds 	Creature - Elemental Cat 1/1 	WU 	Rare 	Rebecca Guay 	English Dissension
126 	Rain of Gore 	Enchantment 	BR 	Rare 	Fred Hooper 	English Dissension
127 	Rakdos Augermage 	Creature - Human Wizard 3/2 	BBR 	Rare 	Zoltan Boros & Gabor Szikszai 	English Dissension
128 	Rakdos Ickspitter 	Creature - Thrull 1/1 	1BR 	Common 	Christopher Rush 	English Dissension
129 	Rakdos the Defiler 	Legendary Creature - Demon 7/6 	2BBRR 	Rare 	Zoltan Boros & Gabor Szikszai 	English Dissension
130 	Simic Sky Swallower 	Creature - Leviathan 6/6 	5UG 	Rare 	rk post 	English Dissension
131 	Sky Hussar 	Creature - Human Knight 4/3 	3WU 	Uncommon 	Kev Walker 	English Dissension
132 	Swift Silence 	Instant 	2WUU 	Rare 	Greg Staples 	English Dissension
133 	Trygon Predator 	Creature - Beast 2/3 	1UG 	Uncommon 	Carl Critchlow 	English Dissension
134 	Twinstrike 	Instant 	3BR 	Uncommon 	Christopher Rush 	English Dissension
135 	Vigean Hydropon 	Creature - Plant Mutant 0/0 	1UG 	Common 	Anthony S. Waters 	English Dissension
136 	Vigean Intuition 	Instant 	3UG 	Uncommon 	Alex Horley-Orlandelli 	English Dissension
137 	Voidslime 	Instant 	UUG 	Rare 	Jim Murray 	English Dissension
138 	Windreaver 	Creature - Elemental 1/3 	3WU 	Rare 	Aleksi Briclot 	English Dissension
139 	Wrecking Ball 	Instant 	2BR 	Common 	Ron Spears 	English Dissension
140 	Avatar of Discord 	Creature - Avatar 5/3 	{B/R}{B/R}{B/R} 	Rare 	rk post 	English Dissension
141 	Azorius Guildmage 	Creature - Vedalken Wizard 2/2 	{W/U}{W/U} 	Uncommon 	Christopher Moeller 	English Dissension
142 	Biomantic Mastery 	Sorcery 	4{G/U}{G/U}{G/U} 	Rare 	Dan Scott 	English Dissension
143 	Dovescape 	Enchantment 	3{W/U}{W/U}{W/U} 	Rare 	Shishizaru 	English Dissension
144 	Minister of Impediments 	Creature - Human Advisor 1/1 	2{W/U} 	Common 	Brian Hagan 	English Dissension
145 	Rakdos Guildmage 	Creature - Zombie Shaman 2/2 	{B/R}{B/R} 	Uncommon 	Jeremy Jarvis 	English Dissension
146 	Riot Spikes 	Enchantment - Aura 	{B/R} 	Common 	Christopher Moeller 	English Dissension
147 	Shielding Plax 	Enchantment - Aura 	2{G/U} 	Common 	Brian Hagan 	English Dissension
148 	Simic Guildmage 	Creature - Elf Wizard 2/2 	{G/U}{G/U} 	Uncommon 	Aleksi Briclot 	English Dissension
149 	Bound (Bound/Determined) 	Instant 	3BG 	Rare 	Jim Nelson 	English Dissension
150 	Crime (Crime/Punishment) 	Sorcery 	3WB 	Rare 	Randy Gallegos 	English Dissension
151 	Hide (Hide/Seek) 	Instant 	WR 	Rare 	Zoltan Boros & Gabor Szikszai 	English Dissension
152 	Hit (Hit/Run) 	Instant 	1BR 	Uncommon 	Darrell Riche 	English Dissension
153 	Odds (Odds/Ends) 	Instant 	UR 	Rare 	Michael Sutfin 	English Dissension
154 	Pure (Pure/Simple) 	Sorcery 	1RG 	Uncommon 	Parente 	English Dissension
155 	Research (Research/Development) 	Instant 	UG 	Rare 	Greg Staples 	English Dissension
156 	Rise (Rise/Fall) 	Sorcery 	UB 	Uncommon 	Pete Venters 	English Dissension
157 	Supply (Supply/Demand) 	Sorcery 	XWG 	Uncommon 	Daren Bader 	English Dissension
158 	Trial (Trial/Error) 	Instant 	WU 	Uncommon 	Ron Spears & Wayne Reynolds 	English Dissension
159 	Azorius Signet 	Artifact 	2 	Common 	Greg Hildebrandt 	English Dissension
160 	Bronze Bombshell 	Artifact Creature - Construct 4/1 	4 	Rare 	Martina Pilcerova 	English Dissension
161 	Evolution Vat 	Artifact 	3 	Rare 	John Avon 	English Dissension
162 	Magewright's Stone 	Artifact 	2 	Uncommon 	Carl Critchlow 	English Dissension
163 	Muse Vessel 	Artifact 	4 	Rare 	Christopher Rush 	English Dissension
164 	Rakdos Riteknife 	Artifact - Equipment 	2 	Rare 	Jim Nelson 	English Dissension
165 	Rakdos Signet 	Artifact 	2 	Common 	Greg Hildebrandt 	English Dissension
166 	Simic Signet 	Artifact 	2 	Common 	Greg Hildebrandt 	English Dissension
167 	Skullmead Cauldron 	Artifact 	4 	Uncommon 	Martina Pilcerova 	English Dissension
168 	Transguild Courier 	Artifact Creature - Golem 3/3 	4 	Uncommon 	John Avon 	English Dissension
169 	Walking Archive 	Artifact Creature - Golem 1/1 	3 	Rare 	Heather Hudson 	English Dissension
170 	Azorius Chancery 	Land 		Common 	John Avon 	English Dissension
171 	Blood Crypt 	Land - Swamp Mountain 		Rare 	Rob Alexander 	English Dissension
172 	Breeding Pool 	Land - Forest Island 		Rare 	Rob Alexander 	English Dissension
173 	Ghost Quarter 	Land 		Uncommon 	Heather Hudson 	English Dissension
174 	Hallowed Fountain 	Land - Plains Island 		Rare 	Rob Alexander 	English Dissension
175 	Novijen, Heart of Progress 	Land 		Uncommon 	Martina Pilcerova 	English Dissension
176 	Pillar of the Paruns 	Land 		Rare 	Dany Orizio 	English Dissension
177 	Prahv, Spires of Order 	Land 		Uncommon 	Martina Pilcerova 	English Dissension
178 	Rakdos Carnarium 	Land 		Common 	John Avon 	English Dissension
179 	Rix Maadi, Dungeon Palace 	Land 		Uncommon 	Martina Pilcerova 	English Dissension
180 	Simic Growth Chamber 	Land 		Common 	John Avon 	English Dissension
181 	Determined (Bound/Determined) 	Instant 	UG 	Rare 	Jim Nelson 	English Dissension
182 	Punishment (Crime/Punishment) 	Sorcery 	XBG 	Rare 	Randy Gallegos 	English Dissension
183 	Seek (Hide/Seek) 	Instant 	WB 	Rare 	Zoltan Boros & Gabor Szikszai 	English Dissension
184 	Run (Hit/Run) 	Instant 	3RG 	Uncommon 	Darrell Riche 	English Dissension
185 	Ends (Odds/Ends) 	Instant 	3WR 	Rare 	Michael Sutfin 	English Dissension
186 	Simple (Pure/Simple) 	Sorcery 	1WG 	Uncommon 	Parente 	English Dissension
187 	Development (Research/Development) 	Instant 	3UR 	Rare 	Greg Staples 	English Dissension
188 	Fall (Rise/Fall) 	Sorcery 	BR 	Uncommon 	Pete Venters 	English Dissension
189 	Demand (Supply/Demand) 	Sorcery 	1WU 	Uncommon 	Daren Bader 	English Dissension
190 	Error (Trial/Error) 	Instant 	UB 	Uncommon 	Ron Spears & Wayne Reynolds 	English Dissension
