1 	Ballyrush Banneret 	Creature . Kithkin Soldier 2/1 	1W 	Common 	Ralph Horsley 	English Morningtide
49 	Sigil Tracer 	Creature . Merfolk Wizard 2/2 	1UU 	Rare 	Dan Scott 	English Morningtide
50 	Slithermuse 	Creature . Elemental 3/3 	2UU 	Rare 	Steven Belledin 	English Morningtide
51 	Stonybrook Banneret 	Creature . Merfolk Wizard 1/1 	1U 	Common 	Ralph Horsley 	English Morningtide
52 	Stream of Unconsciousness 	Tribal Instant . Wizard 	U 	Common 	Rebecca Guay 	English Morningtide
53 	Supreme Exemplar 	Creature . Elemental 10/10 	6U 	Rare 	Mark Tedin 	English Morningtide
54 	Thieves' Fortune 	Tribal Instant . Rogue 	2U 	Uncommon 	Zoltan Boros & Gabor Szikszai 	English Morningtide
55 	Vendilion Clique 	Legendary Creature . Faerie Wizard 3/1 	1UU 	Rare 	Michael Sutfin 	English Morningtide
56 	Waterspout Weavers 	Creature . Merfolk Wizard 3/3 	3UU 	Uncommon 	Eric Fortune 	English Morningtide
57 	Auntie's Snitch 	Creature . Goblin Rogue 3/1 	2B 	Rare 	Warren Mahy 	English Morningtide
58 	Bitterblossom 	Tribal Enchantment . Faerie 	1B 	Rare 	Rebecca Guay 	English Morningtide
59 	Blightsoil Druid 	Creature . Elf Druid 1/2 	1B 	Common 	Nils Hamm 	English Morningtide
60 	Earwig Squad 	Creature . Goblin Rogue 5/3 	3BB 	Rare 	Warren Mahy 	English Morningtide
61 	Fendeep Summoner 	Creature . Treefolk Shaman 3/5 	4B 	Rare 	Jesper Ejsing 	English Morningtide
62 	Festercreep 	Creature . Elemental 0/0 	1B 	Common 	Jeff Easley 	English Morningtide
63 	Final-Sting Faerie 	Creature . Faerie Assassin 2/2 	3B 	Common 	Wayne Reynolds 	English Morningtide
64 	Frogtosser Banneret 	Creature . Goblin Rogue 1/1 	1B 	Common 	Ralph Horsley 	English Morningtide
65 	Maralen of the Mornsong 	Legendary Creature . Elf Wizard 2/3 	1BB 	Rare 	Mark Zug 	English Morningtide
66 	Mind Shatter 	Sorcery 	XBB 	Rare 	Michael Sutfin 	English Morningtide
67 	Moonglove Changeling 	Creature . Shapeshifter 2/2 	2B 	Common 	Wayne England 	English Morningtide
68 	Morsel Theft 	Tribal Sorcery . Rogue 	2BB 	Common 	Darrell Riche 	English Morningtide
69 	Nightshade Schemers 	Creature . Faerie Wizard 3/2 	4B 	Uncommon 	Parente 	English Morningtide
70 	Noggin Whack 	Tribal Sorcery . Rogue 	2BB 	Uncommon 	Alan Pollack 	English Morningtide
71 	Offalsnout 	Creature . Elemental 2/2 	2B 	Uncommon 	Alex Horley-Orlandelli 	English Morningtide
72 	Oona's Blackguard 	Creature . Faerie Rogue 1/1 	1B 	Uncommon 	Kev Walker 	English Morningtide
73 	Pack's Disdain 	Instant 	1B 	Common 	Pete Venters 	English Morningtide
74 	Prickly Boggart 	Creature . Goblin Rogue 1/1 	B 	Common 	Jesper Ejsing 	English Morningtide
75 	Pulling Teeth 	Sorcery 	1B 	Common 	Jim Pavelec 	English Morningtide
76 	Revive the Fallen 	Sorcery 	1B 	Uncommon 	Steven Belledin 	English Morningtide
77 	Scarblade Elite 	Creature . Elf Assassin 2/2 	BB 	Rare 	Greg Staples 	English Morningtide
78 	Squeaking Pie Grubfellows 	Creature . Goblin Shaman 3/2 	3B 	Common 	Jim Pavelec 	English Morningtide
79 	Stenchskipper 	Creature . Elemental 6/5 	3B 	Rare 	Howard Lyon 	English Morningtide
80 	Stinkdrinker Bandit 	Creature . Goblin Rogue 2/1 	3B 	Uncommon 	Brandon Dorman 	English Morningtide
81 	Violet Pall 	Tribal Instant . Faerie 	4B 	Common 	Jeff Miracola 	English Morningtide
82 	Warren Weirding 	Tribal Sorcery . Goblin 	1B 	Uncommon 	Matt Cavotta 	English Morningtide
83 	Weed-Pruner Poplar 	Creature . Treefolk Assassin 3/3 	4B 	Common 	Jeff Miracola 	English Morningtide
84 	Weirding Shaman 	Creature . Goblin Shaman 2/1 	1B 	Rare 	Matt Cavotta 	English Morningtide
85 	Boldwyr Heavyweights 	Creature . Giant Warrior 8/8 	2RR 	Rare 	Wayne Reynolds 	English Morningtide
86 	Boldwyr Intimidator 	Creature . Giant Warrior 5/5 	5RR 	Uncommon 	Christopher Moeller 	English Morningtide
87 	Borderland Behemoth 	Creature . Giant Warrior 4/4 	5RR 	Rare 	Jesper Ejsing 	English Morningtide
88 	Brighthearth Banneret 	Creature . Elemental Warrior 1/1 	1R 	Common 	Ralph Horsley 	English Morningtide
89 	Countryside Crusher 	Creature . Giant Warrior 3/3 	1RR 	Rare 	Brian Snõ 	English Morningtide
90 	Fire Juggler 	Creature . Goblin Shaman 2/2 	2R 	Common 	Thomas Denmark 	English Morningtide
91 	Hostile Realm 	Enchantment . Aura 	2R 	Common 	John Avon 	English Morningtide
92 	Kindled Fury 	Instant 	R 	Common 	Shelly Wan 	English Morningtide
93 	Lightning Crafter 	Creature . Goblin Shaman 3/3 	3R 	Rare 	Dan Scott 	English Morningtide
94 	Lunk Errant 	Creature . Giant Warrior 4/4 	5R 	Common 	Warren Mahy 	English Morningtide
95 	Mudbutton Clanger 	Creature . Goblin Warrior 1/1 	R 	Common 	Larry MacDougall 	English Morningtide
96 	Pyroclast Consul 	Creature . Elemental Shaman 3/3 	3RR 	Uncommon 	Christopher Moeller 	English Morningtide
97 	Rage Forger 	Creature . Elemental Shaman 2/2 	2R 	Uncommon 	Dominick Domingo 	English Morningtide
98 	Release the Ants 	Instant 	1R 	Uncommon 	Ron Spencer 	English Morningtide
99 	Rivals' Duel 	Sorcery 	3R 	Uncommon 	Zoltan Boros & Gabor Szikszai 	English Morningtide
100 	Roar of the Crowd 	Sorcery 	3R 	Common 	Dave Dorman 	English Morningtide
101 	Seething Pathblazer 	Creature . Elemental Warrior 2/2 	2R 	Common 	Steve Prescott 	English Morningtide
102 	Sensation Gorger 	Creature . Goblin Shaman 2/2 	1RR 	Rare 	Matt Cavotta 	English Morningtide
103 	Shard Volley 	Instant 	R 	Common 	Franz Vohwinkel 	English Morningtide
104 	Shared Animosity 	Enchantment 	2R 	Rare 	Chuck Lukacs 	English Morningtide
105 	Spitebellows 	Creature . Elemental 6/1 	5R 	Uncommon 	Larry MacDougall 	English Morningtide
106 	Stingmoggie 	Creature . Elemental 0/0 	3R 	Common 	Omar Rayyan 	English Morningtide
107 	Stomping Slabs 	Sorcery 	2R 	Uncommon 	Alex Horley-Orlandelli 	English Morningtide
108 	Sunflare Shaman 	Creature . Elemental Shaman 2/1 	1R 	Common 	Dave Dorman 	English Morningtide
109 	Taurean Mauler 	Creature . Shapeshifter 2/2 	2R 	Rare 	Dominick Domingo 	English Morningtide
110 	Titan's Revenge 	Sorcery 	XRR 	Rare 	Christopher Moeller 	English Morningtide
111 	Vengeful Firebrand 	Creature . Elemental Warrior 5/2 	3R 	Rare 	William O'Connor 	English Morningtide
112 	War-Spike Changeling 	Creature . Shapeshifter 3/3 	3R 	Common 	Mark Poole 	English Morningtide
113 	Ambassador Oak 	Creature . Treefolk Warrior 3/3 	3G 	Common 	Steve Prescott 	English Morningtide
114 	Bosk Banneret 	Creature . Treefolk Shaman 1/3 	1G 	Common 	Ralph Horsley 	English Morningtide
115 	Bramblewood Paragon 	Creature . Elf Warrior 2/2 	1G 	Uncommon 	Jim Murray 	English Morningtide
116 	Chameleon Colossus 	Creature . Shapeshifter 4/4 	2GG 	Rare 	Darrell Riche 	English Morningtide
117 	Cream of the Crop 	Enchantment 	1G 	Rare 	Howard Lyon 	English Morningtide
118 	Deglamer 	Instant 	1G 	Common 	Zoltan Boros & Gabor Szikszai 	English Morningtide
119 	Earthbrawn 	Instant 	1G 	Common 	Kev Walker 	English Morningtide
120 	Elvish Warrior 	Creature . Elf Warrior 2/3 	GG 	Common 	Kev Walker 	English Morningtide
121 	Everbark Shaman 	Creature . Treefolk Shaman 3/5 	4G 	Common 	Larry MacDougall 	English Morningtide
122 	Fertilid 	Creature . Elemental 0/0 	2G 	Common 	Wayne Reynolds 	English Morningtide
123 	Game-Trail Changeling 	Creature . Shapeshifter 4/4 	3GG 	Common 	Martina Pilcerova 	English Morningtide
124 	Gilt-Leaf Archdruid 	Creature . Elf Druid 3/3 	3GG 	Rare 	Steve Prescott 	English Morningtide
125 	Greatbow Doyen 	Creature . Elf Archer 2/4 	4G 	Rare 	Steven Belledin 	English Morningtide
126 	Heritage Druid 	Creature . Elf Druid 1/1 	G 	Uncommon 	Larry MacDougall 	English Morningtide
127 	Hunting Triad 	Tribal Sorcery . Elf 	3G 	Uncommon 	Jim Nelson 	English Morningtide
128 	Leaf-Crowned Elder 	Creature . Treefolk Shaman 3/5 	2GG 	Rare 	Wayne Reynolds 	English Morningtide
129 	Luminescent Rain 	Instant 	2G 	Common 	John Avon 	English Morningtide
130 	Lys Alana Bowmaster 	Creature . Elf Archer 2/2 	2G 	Common 	Dan Scott 	English Morningtide
131 	Orchard Warden 	Creature . Treefolk Shaman 4/6 	4GG 	Uncommon 	Rebecca Guay 	English Morningtide
132 	Reach of Branches 	Tribal Instant . Treefolk 	4G 	Rare 	Scott Hampton 	English Morningtide
133 	Recross the Paths 	Sorcery 	2G 	Uncommon 	Greg Hildebrandt 	English Morningtide
134 	Reins of the Vinesteed 	Enchantment . Aura 	3G 	Common 	Jim Pavelec 	English Morningtide
135 	Rhys the Exiled 	Legendary Creature . Elf Warrior 3/2 	2G 	Rare 	Steve Prescott 	English Morningtide
136 	Scapeshift 	Sorcery 	2GG 	Rare 	Fred Fields 	English Morningtide
137 	Unstoppable Ash 	Creature . Treefolk Warrior 5/5 	3G 	Rare 	Brian Snõ 	English Morningtide
138 	Walker of the Grove 	Creature . Elemental 7/7 	6GG 	Uncommon 	Todd Lockwood 	English Morningtide
139 	Winnower Patrol 	Creature . Elf Warrior 3/2 	2G 	Common 	Eric Fortune 	English Morningtide
140 	Wolf-Skull Shaman 	Creature . Elf Shaman 2/2 	1G 	Uncommon 	Jim Murray 	English Morningtide
141 	Cloak and Dagger 	Tribal Artifact . Rogue Equipment 	2 	Uncommon 	Daren Bader 	English Morningtide
142 	Diviner's Wand 	Tribal Artifact . Wizard Equipment 	3 	Uncommon 	Wayne England 	English Morningtide
143 	Door of Destinies 	Artifact 	4 	Rare 	Larry MacDougall 	English Morningtide
144 	Obsidian Battle-Axe 	Tribal Artifact . Warrior Equipment 	3 	Uncommon 	Jeff Easley 	English Morningtide
145 	Thornbite Staff 	Tribal Artifact . Shaman Equipment 	2 	Uncommon 	Jesper Ejsing 	English Morningtide
146 	Veteran's Armaments 	Tribal Artifact . Soldier Equipment 	2 	Uncommon 	Alan Pollack 	English Morningtide
147 	Murmuring Bosk 	Land . Forest 		Rare 	John Avon 	English Morningtide
148 	Mutavault 	Land 		Rare 	Fred Fields 	English Morningtide
149 	Primal Beyond 	Land 		Rare 	Mark Tedin 	English Morningtide
150 	Rustic Clachan 	Land 		Rare 	Fred Fields 	English Morningtide
