1 	Aura Blast 	Instant 	1W 	Common 	Ron Walotsky 	English Planeshift
64 	Kavu Recluse 	Creature - Kavu 2/2 	2R 	Common 	Aaron Boyd 	English Planeshift
65 	Keldon Mantle 	Enchant Creature 	1R 	Common 	Rebecca Guay 	English Planeshift
66 	Magma Burst 	Instant 	3R 	Common 	Bradley Williams 	English Planeshift
67 	Mire Kavu 	Creature - Kavu 3/2 	3R 	Common 	Wayne England 	English Planeshift
68 	Mogg Jailer 	Creature - Goblin 2/2 	1R 	Uncommon 	Mark Romanoski 	English Planeshift
69 	Mogg Sentry 	Creature - Goblin 1/1 	R 	Rare 	Edward P. Beard, Jr. 	English Planeshift
70 	Planeswalker's Fury 	Enchantment 	2R 	Rare 	Christopher Moeller 	English Planeshift
71 	Singe 	Instant 	R 	Common 	John Avon 	English Planeshift
72 	Slingshot Goblin 	Creature - Goblin 2/2 	2R 	Common 	Jeff Easley 	English Planeshift
73 	Strafe 	Sorcery 	R 	Uncommon 	Jim Nelson 	English Planeshift
74 	Tahngarth, Talruum Hero 	Creature - Minotaur Legend 4/4 	3RR 	Rare 	Kev Walker 	English Planeshift
75 	Thunderscape Battlemage 	Creature - Wizard 2/2 	2R 	Uncommon 	Mike Ploog 	English Planeshift
76 	Thunderscape Familiar 	Creature - Kavu 1/1 	1R 	Common 	Daren Bader 	English Planeshift
77 	Alpha Kavu 	Creature - Kavu 2/2 	2G 	Uncommon 	Matt Cavotta 	English Planeshift
78 	Amphibious Kavu 	Creature - Kavu 2/2 	2G 	Common 	Wayne England 	English Planeshift
79 	Falling Timber 	Instant 	2G 	Common 	Eric Peterson 	English Planeshift
80 	Gaea's Herald 	Creature - Elf 1/1 	1G 	Rare 	Dan Frazier 	English Planeshift
81 	Gaea's Might 	Instant 	G 	Common 	Ron Spencer 	English Planeshift
82 	Magnigoth Treefolk 	Creature - Treefolk 2/6 	4G 	Rare 	Peter Bollinger 	English Planeshift
83 	Mirrorwood Treefolk 	Creature - Treefolk 2/4 	3G 	Uncommon 	Arnie Swekel 	English Planeshift
84 	Multani's Harmony 	Enchant Creature 	G 	Uncommon 	Darrell Riche 	English Planeshift
85 	Nemata, Grove Guardian 	Creature - Treefolk Legend 4/5 	4GG 	Rare 	John Avon 	English Planeshift
86 	Planeswalker's Favor 	Enchantment 	2G 	Rare 	Rebecca Guay 	English Planeshift
87 	Primal Growth 	Sorcery 	2G 	Common 	rk post 	English Planeshift
88 	Pygmy Kavu 	Creature - Kavu 1/2 	3G 	Common 	Greg Staples 	English Planeshift
89 	Quirion Dryad 	Creature - Dryad 1/1 	1G 	Rare 	Don Hazeltine 	English Planeshift
90 	Quirion Explorer 	Creature - Elf 1/1 	1G 	Common 	Ron Spears 	English Planeshift
91 	Root Greevil 	Creature - Beast 2/3 	3G 	Common 	Andrew Robinson 	English Planeshift
92 	Skyshroud Blessing 	Instant 	1G 	Uncommon 	Jerry Tiritilli 	English Planeshift
93 	Stone Kavu 	Creature - Kavu 3/3 	4G 	Common 	Adam Rex 	English Planeshift
94 	Thornscape Battlemage 	Creature - Wizard 2/2 	2G 	Uncommon 	Matt Cavotta 	English Planeshift
95 	Thornscape Familiar 	Creature - Insect 2/1 	1G 	Common 	Heather Hudson 	English Planeshift
96 	Ancient Spider 	Creature - Spider 2/5 	2WG 	Rare 	Greg Staples 	English Planeshift
97 	Cavern Harpy 	Creature - Beast 2/1 	UB 	Common 	Daren Bader 	English Planeshift
98 	Cloud Cover 	Enchantment 	2WU 	Rare 	Marc Fishman 	English Planeshift
99 	Crosis's Charm 	Instant 	UBR 	Uncommon 	David Martin 	English Planeshift
100 	Darigaaz's Charm 	Instant 	BRG 	Uncommon 	David Martin 	English Planeshift
101 	Daring Leap 	Instant 	1WU 	Common 	Paolo Parente 	English Planeshift
102 	Destructive Flow 	Enchantment 	BRG 	Rare 	Don Hazeltine 	English Planeshift
103 	Doomsday Specter 	Creature - Specter 2/3 	2UB 	Rare 	Donato Giancola 	English Planeshift
104 	Dralnu's Crusade 	Enchantment 	1BR 	Rare 	Arnie Swekel 	English Planeshift
105 	Dromar's Charm 	Instant 	WUB 	Uncommon 	David Martin 	English Planeshift
106 	Eladamri's Call 	Instant 	WG 	Rare 	Kev Walker 	English Planeshift
107 	Ertai, the Corrupted 	Creature - Wizard Legend 3/4 	2WUB 	Rare 	Kev Walker 	English Planeshift
108 	Fleetfoot Panther 	Creature - Cat 3/4 	1WG 	Uncommon 	Mark Brill 	English Planeshift
109 	Gerrard's Command 	Instant 	WG 	Common 	Roger Raupp 	English Planeshift
110 	Horned Kavu 	Creature - Kavu 3/4 	RG 	Common 	Michael Sutfin 	English Planeshift
111 	Hull Breach 	Sorcery 	RG 	Common 	Brian Snõ 	English Planeshift
112 	Keldon Twilight 	Enchantment 	1BR 	Rare 	Franz Vohwinkel 	English Planeshift
113 	Lava Zombie 	Creature - Zombie 4/3 	1BR 	Common 	Tom Wärstrand 	English Planeshift
114 	Malicious Advice 	Instant 	XUB 	Common 	Glen Angus 	English Planeshift
115 	Marsh Crocodile 	Creature - Crocodile 4/4 	2UB 	Uncommon 	Kev Walker 	English Planeshift
116 	Meddling Mage 	Creature - Wizard 2/2 	WU 	Rare 	Christopher Moeller 	English Planeshift
117 	Natural Emergence 	Enchantment 	2RG 	Rare 	Heather Hudson 	English Planeshift
118 	Phyrexian Tyranny 	Enchantment 	UBR 	Rare 	Kev Walker 	English Planeshift
119 	Questing Phelddagrif 	Creature - Phelddagrif 4/4 	1WUG 	Rare 	Matt Cavotta 	English Planeshift
120 	Radiant Kavu 	Creature - Kavu 3/3 	WRG 	Rare 	Ron Spencer 	English Planeshift
121 	Razing Snidd 	Creature - Beast 3/3 	4BR 	Uncommon 	Alan Pollack 	English Planeshift
122 	Rith's Charm 	Instant 	WRG 	Uncommon 	David Martin 	English Planeshift
123 	Sawtooth Loon 	Creature - Bird 2/2 	2WU 	Uncommon 	Heather Hudson 	English Planeshift
124 	Shivan Wurm 	Creature - Wurm 7/7 	3RG 	Rare 	Scott M. Fischer 	English Planeshift
125 	Silver Drake 	Creature - Drake 3/3 	1WU 	Common 	Alan Pollack 	English Planeshift
126 	Sparkcaster 	Creature - Kavu 5/3 	2RG 	Uncommon 	Adam Rex 	English Planeshift
127 	Steel Leaf Paladin 	Creature - Knight 4/4 	4WG 	Common 	Paolo Parente 	English Planeshift
128 	Terminate 	Instant 	BR 	Common 	DiTerlizzi 	English Planeshift
129 	Treva's Charm 	Instant 	WUG 	Uncommon 	David Martin 	English Planeshift
130 	Urza's Guilt 	Sorcery 	2UB 	Rare 	Paolo Parente 	English Planeshift
131 	Draco 	Artifact Creature - Dragon 9/9 	16 	Rare 	Sam Wood 	English Planeshift
132 	Mana Cylix 	Artifact 	1 	Uncommon 	Donato Giancola 	English Planeshift
133 	Skyship Weatherlight 	Legendary Artifact 	4 	Rare 	Mark Tedin 	English Planeshift
134 	Star Compass 	Artifact 	2 	Uncommon 	Donato Giancola 	English Planeshift
135 	Stratadon 	Artifact Creature 5/5 	10 	Uncommon 	Brian Snõ 	English Planeshift
136 	Crosis's Catacombs 	Land 		Uncommon 	Edward P. Beard, Jr. 	English Planeshift
137 	Darigaaz's Caldera 	Land 		Uncommon 	Franz Vohwinkel 	English Planeshift
138 	Dromar's Cavern 	Land 		Uncommon 	Franz Vohwinkel 	English Planeshift
139 	Forsaken City 	Land 		Rare 	Dana Knutson 	English Planeshift
140 	Meteor Crater 	Land 		Rare 	John Avon 	English Planeshift
141 	Rith's Grove 	Land 		Uncommon 	Scott Bailey 	English Planeshift
142 	Terminal Moraine 	Land 		Uncommon 	Scott Bailey 	English Planeshift
143 	Treva's Ruins 	Land 		Uncommon 	Jerry Tiritilli 	English Planeshift
