1 	Abyssal Hunter 	Summon Hunter 1/1 	3B 	Rare 	Steve Luke 	English Mirage
81 	Political Trickery 	Sorcery 	2U 	Rare 	Scott Kirschner 	English Mirage
82 	Polymorph 	Sorcery 	3U 	Rare 	Robert Bliss 	English Mirage
83 	Power Sink 	Interrupt 	XU 	Common 	Charles Gillespie 	English Mirage
84 	Prismatic Lace 	Instant 	U 	Rare 	David O'Connor 	English Mirage
85 	Psychic Transfer 	Sorcery 	4U 	Rare 	Dom 	English Mirage
86 	Ray of Command 	Instant 	3U 	Common 	Andrew Robinson 	English Mirage
87 	Reality Ripple 	Instant 	1U 	Common 	Alan Rabinowitz 	English Mirage
88 	Sandbar Crocodile 	Summon Crocodile 6/5 	4U 	Common 	Una Fricker 	English Mirage
89 	Sapphire Charm 	Instant 	U 	Common 	Steve Luke 	English Mirage
90 	Sea Scryer 	Summon Merfolk 1/1 	1U 	Common 	Martin McKenna 	English Mirage
91 	Shaper Guildmage 	Summon Wizard 1/1 	U 	Common 	D. Alexander Gregory 	English Mirage
92 	Shimmer 	Enchantment 	2UU 	Rare 	David A. Cherry 	English Mirage
93 	Soar 	Enchant Creature 	1U 	Common 	Tony Roberts 	English Mirage
94 	Suq'Ata Firewalker 	Summon Wizard 0/1 	1UU 	Uncommon 	David O'Connor 	English Mirage
95 	Taniwha 	Summon Legend 7/7 	3UU 	Rare 	Ian Miller 	English Mirage
96 	Teferi's Curse 	Enchant Permanent 	1U 	Common 	Robert Bliss 	English Mirage
97 	Teferi's Drake 	Summon Drake 3/2 	2U 	Common 	Kari Johnson 	English Mirage
98 	Teferi's Imp 	Summon Imp 1/1 	2U 	Rare 	Una Fricker 	English Mirage
99 	Thirst 	Enchant Creature 	2U 	Common 	Roger Raupp 	English Mirage
100 	Tidal Wave 	Instant 	2U 	Uncommon 	Brian Snõ 	English Mirage
101 	Vaporous Djinn 	Summon Djinn 3/4 	2UU 	Uncommon 	Adam Rex 	English Mirage
102 	Wave Elemental 	Summon Elemental 2/3 	2UU 	Uncommon 	Zak Plucinski 	English Mirage
103 	Afiya Grove 	Enchantment 	1G 	Rare 	Stuart Griffin 	English Mirage
104 	Armor of Thorns 	Enchant Creature 	1G 	Common 	Alan Rabinowitz 	English Mirage
105 	Barbed Foliage 	Enchantment 	2GG 	Uncommon 	Mark Poole 	English Mirage
106 	Brushwagg 	Summon Brushwagg 3/2 	1GG 	Rare 	Ian Miller 	English Mirage
107 	Canopy Dragon 	Summon Dragon 4/4 	4GG 	Rare 	Alan Rabinowitz 	English Mirage
108 	Crash of Rhinos 	Summon Rhinos 8/4 	6GG 	Common 	Steve White 	English Mirage
109 	Cycle of Life 	Enchantment 	1GG 	Rare 	Chippy 	English Mirage
110 	Decomposition 	Enchant Creature 	1G 	Uncommon 	Drew Tucker 	English Mirage
111 	Early Harvest 	Instant 	1GG 	Rare 	Janine Johnston 	English Mirage
112 	Fallow Earth 	Sorcery 	2G 	Uncommon 	Janine Johnston 	English Mirage
113 	Femeref Archers 	Summon Archers 2/2 	2G 	Uncommon 	William Donohoe 	English Mirage
114 	Fog 	Instant 	G 	Common 	Harold McNeill 	English Mirage
115 	Foratog 	Summon Atog 1/2 	2G 	Uncommon 	Mark Poole 	English Mirage
116 	Giant Mantis 	Summon Mantis 2/4 	3G 	Common 	Randy Gallegos 	English Mirage
117 	Gibbering Hyenas 	Summon Hyenas 3/2 	2G 	Common 	Una Fricker 	English Mirage
118 	Granger Guildmage 	Summon Wizard 1/1 	G 	Common 	Dan Frazier 	English Mirage
119 	Hall of Gemstone 	Enchant World 	1GG 	Rare 	David A. Cherry 	English Mirage
120 	Jolrael's Centaur 	Summon Centaur 2/2 	1GG 	Common 	Junior Tomlin 	English Mirage
121 	Jungle Patrol 	Summon Soldiers 3/2 	3G 	Rare 	Mark Poole 	English Mirage
122 	Jungle Wurm 	Summon Wurm 5/5 	3GG 	Common 	Tom Kyffin 	English Mirage
123 	Karoo Meerkat 	Summon Meerkat 2/1 	1G 	Uncommon 	Janine Johnston 	English Mirage
124 	Locust Swarm 	Summon Swarm 1/1 	3G 	Uncommon 	William Donohoe 	English Mirage
125 	Lure of Prey 	Instant 	2GG 	Rare 	Andrew Robinson 	English Mirage
126 	Maro 	Summon Nature Spirit */* 	2GG 	Rare 	Stuart Griffin 	English Mirage
127 	Mindbender Spores 	Summon Wall 0/1 	2G 	Rare 	Ian Miller 	English Mirage
128 	Mtenda Lion 	Summon Lion 2/1 	G 	Common 	Stuart Griffin 	English Mirage
129 	Natural Balance 	Sorcery 	2GG 	Rare 	John Malloy 	English Mirage
130 	Nettletooth Djinn 	Summon Djinn 4/4 	3G 	Uncommon 	Janine Johnston 	English Mirage
131 	Preferred Selection 	Enchantment 	2GG 	Rare 	Kev Walker 	English Mirage
132 	Quirion Elves 	Summon Elves 1/1 	1G 	Common 	Randy Gallegos 	English Mirage
133 	Rampant Growth 	Sorcery 	1G 	Common 	Pat Morrissey 	English Mirage
134 	Regeneration 	Enchant Creature 	1G 	Common 	Charles Gillespie 	English Mirage
135 	Roots of Life 	Enchantment 	1GG 	Uncommon 	Tony Roberts 	English Mirage
136 	Sabertooth Cobra 	Summon Cobra 2/2 	2G 	Common 	Andrew Robinson 	English Mirage
137 	Sandstorm 	Instant 	G 	Common 	Mike Kimble 	English Mirage
138 	Seedling Charm 	Instant 	G 	Common 	Stuart Griffin 	English Mirage
139 	Seeds of Innocence 	Sorcery 	1GG 	Rare 	Junior Tomlin 	English Mirage
140 	Serene Heart 	Instant 	1G 	Common 	D. Alexander Gregory 	English Mirage
141 	Stalking Tiger 	Summon Tiger 3/3 	3G 	Common 	Terese Nielsen 	English Mirage
142 	Superior Numbers 	Sorcery 	GG 	Uncommon 	Geofrey Darrow 	English Mirage
143 	Tranquil Domain 	Instant 	1G 	Common 	D. Alexander Gregory 	English Mirage
144 	Tropical Storm 	Sorcery 	XG 	Uncommon 	Richard Kane Ferguson 	English Mirage
145 	Uktabi Faerie 	Summon Faerie 1/1 	1G 	Common 	Junior Tomlin 	English Mirage
146 	Uktabi Wildcats 	Summon Wildcats */* 	4G 	Rare 	John Matson 	English Mirage
147 	Unseen Walker 	Summon Dryad 1/1 	1G 	Uncommon 	Alan Rabinowitz 	English Mirage
148 	Unyaro Bee Sting 	Sorcery 	3G 	Uncommon 	Pat Morrissey 	English Mirage
149 	Village Elder 	Summon Druid 1/1 	G 	Common 	Donato Giancola 	English Mirage
150 	Waiting in the Weeds 	Sorcery 	1GG 	Rare 	Susan Van Camp 	English Mirage
151 	Wall of Roots 	Summon Wall 0/5 	1G 	Common 	John Matson 	English Mirage
152 	Wild Elephant 	Summon Elephant 3/3 	3G 	Common 	Junior Tomlin 	English Mirage
153 	Worldly Tutor 	Instant 	G 	Uncommon 	David O'Connor 	English Mirage
154 	Agility 	Enchant Creature 	1R 	Common 	Drew Tucker 	English Mirage
155 	Aleatory 	Instant 	1R 	Uncommon 	Kev Walker 	English Mirage
156 	Armorer Guildmage 	Summon Wizard 1/1 	R 	Common 	Martin McKenna 	English Mirage
157 	Barreling Attack 	Instant 	2RR 	Rare 	Ian Miller 	English Mirage
158 	Blind Fury 	Instant 	2RR 	Uncommon 	John Coulthart 	English Mirage
159 	Blistering Barrier 	Summon Wall 5/2 	2R 	Common 	David Ho 	English Mirage
160 	Builder's Bane 	Sorcery 	XXR 	Common 	Charles Gillespie 	English Mirage
161 	Burning Palm Efreet 	Summon Efreet 2/2 	2RR 	Uncommon 	Dermot Power 	English Mirage
162 	Burning Shield Askari 	Summon Knight 2/2 	2R 	Common 	Dan Frazier 	English Mirage
163 	Chaos Charm 	Instant 	R 	Common 	Steve Luke 	English Mirage
164 	Chaosphere 	Enchant World 	2R 	Rare 	Steve Luke 	English Mirage
165 	Cinder Cloud 	Instant 	3RR 	Uncommon 	JOCK 	English Mirage
166 	Consuming Ferocity 	Enchant Creature 	1R 	Uncommon 	Scott Kirschner 	English Mirage
167 	Crimson Hellkite 	Summon Dragon 6/6 	6RRR 	Rare 	Gerry Grace 	English Mirage
168 	Crimson Roc 	Summon Roc 2/2 	4R 	Uncommon 	Ian Miller 	English Mirage
169 	Dwarven Miner 	Summon Dwarf 1/2 	1R 	Uncommon 	JOCK 	English Mirage
170 	Dwarven Nomad 	Summon Dwarf 1/1 	2R 	Common 	Mike Kimble 	English Mirage
171 	Ekundu Cyclops 	Summon Cyclops 3/4 	3R 	Common 	Robert Bliss 	English Mirage
172 	Emberwilde Djinn 	Summon Djinn 5/4 	2RR 	Rare 	Mike Dringenberg 	English Mirage
173 	Final Fortune 	Instant 	RR 	Rare 	D. Alexander Gregory 	English Mirage
174 	Firebreathing 	Enchant Creature 	R 	Common 	Mike Kerr 	English Mirage
175 	Flame Elemental 	Summon Elemental 3/2 	2RR 	Uncommon 	Richard Kane Ferguson 	English Mirage
176 	Flare 	Instant 	2R 	Common 	Greg Simanson 	English Mirage
177 	Goblin Elite Infantry 	Summon Goblins 2/2 	1R 	Common 	Robert Bliss 	English Mirage
178 	Goblin Scouts 	Sorcery 	3RR 	Uncommon 	Geofrey Darrow 	English Mirage
179 	Goblin Soothsayer 	Summon Goblin 1/1 	R 	Uncommon 	Robert Bliss 	English Mirage
180 	Goblin Tinkerer 	Summon Goblin 1/2 	1R 	Common 	Hannibal King 	English Mirage
181 	Hammer of Bogardan 	Sorcery 	1RR 	Rare 	Ron Spencer 	English Mirage
182 	Hivis of the Scale 	Summon Legend 3/4 	3RR 	Rare 	Andrew Robinson 	English Mirage
183 	Illicit Auction 	Sorcery 	3RR 	Rare 	Scott Kirschner 	English Mirage
184 	Incinerate 	Instant 	1R 	Common 	Brian Snõ 	English Mirage
185 	Kaervek's Torch 	Sorcery 	XR 	Common 	John Coulthart 	English Mirage
186 	Lightning Reflexes 	Enchant Creature 	1R 	Common 	Tom Kyffin 	English Mirage
187 	Pyric Salamander 	Summon Salamander 1/1 	1R 	Common 	Tony Roberts 	English Mirage
188 	Raging Spirit 	Summon Spirit 3/3 	3R 	Common 	Scott M. Fischer 	English Mirage
189 	Reckless Embermage 	Summon Wizard 2/2 	3R 	Rare 	Tom Kyffin 	English Mirage
190 	Reign of Chaos 	Sorcery 	2RR 	Uncommon 	Kathryn Rathke 	English Mirage
191 	Searing Spear Askari 	Summon Knight 2/2 	2R 	Common 	Richard Kane Ferguson 	English Mirage
192 	Sirocco 	Instant 	1R 	Uncommon 	Alan Rabinowitz 	English Mirage
193 	Spitting Earth 	Sorcery 	1R 	Common 	Brian Snõ 	English Mirage
194 	Stone Rain 	Sorcery 	2R 	Common 	Tony Roberts 	English Mirage
195 	Subterranean Spirit 	Summon Elemental 3/3 	3RR 	Rare 	John Bolton 	English Mirage
196 	Talruum Minotaur 	Summon Minotaur 3/3 	2RR 	Common 	Pete Venters 	English Mirage
197 	Telim'Tor 	Summon Legend 2/2 	4R 	Rare 	Kev Walker 	English Mirage
198 	Telim'Tor's Edict 	Instant 	R 	Rare 	Kev Walker 	English Mirage
199 	Torrent of Lava 	Sorcery 	XRR 	Rare 	Kathryn Rathke 	English Mirage
200 	Viashino Warrior 	Summon Viashino 4/2 	3R 	Common 	Roger Raupp 	English Mirage
201 	Volcanic Dragon 	Summon Dragon 4/4 	4RR 	Rare 	Janine Johnston 	English Mirage
202 	Volcanic Geyser 	Instant 	XRR 	Uncommon 	David O'Connor 	English Mirage
203 	Wildfire Emissary 	Summon Efreet 2/4 	3R 	Uncommon 	Richard Kane Ferguson 	English Mirage
204 	Zirilan of the Claw 	Summon Legend 3/4 	3RR 	Rare 	Andrew Robinson 	English Mirage
205 	Afterlife 	Instant 	2W 	Uncommon 	Pete Venters 	English Mirage
206 	Alarum 	Instant 	1W 	Common 	Andrew Robinson 	English Mirage
207 	Auspicious Ancestor 	Summon Ancestor 2/3 	3W 	Rare 	Zina Saunders 	English Mirage
208 	Benevolent Unicorn 	Summon Unicorn 1/2 	1W 	Common 	David A. Cherry 	English Mirage
209 	Blinding Light 	Sorcery 	2W 	Uncommon 	Hannibal King 	English Mirage
210 	Celestial Dawn 	Enchantment 	1WW 	Rare 	Liz Danforth 	English Mirage
211 	Civic Guildmage 	Summon Wizard 1/1 	W 	Common 	Andrew Robinson 	English Mirage
212 	Dazzling Beauty 	Instant 	2W 	Common 	Harold McNeill 	English Mirage
213 	Disempower 	Instant 	1W 	Common 	John Matson 	English Mirage
214 	Disenchant 	Instant 	1W 	Common 	Charles Gillespie 	English Mirage
215 	Divine Offering 	Instant 	1W 	Common 	Terese Nielsen 	English Mirage
216 	Divine Retribution 	Instant 	1W 	Rare 	Charles Gillespie 	English Mirage
217 	Ekundu Griffin 	Summon Griffin 2/2 	3W 	Common 	David A. Cherry 	English Mirage
218 	Enlightened Tutor 	Instant 	W 	Uncommon 	Dan Frazier 	English Mirage
219 	Ethereal Champion 	Summon Avatar 3/4 	2WWW 	Rare 	Terese Nielsen 	English Mirage
220 	Favorable Destiny 	Enchant Creature 	1W 	Uncommon 	Thomas Gianni 	English Mirage
221 	Femeref Healer 	Summon Cleric 1/1 	1W 	Common 	Steve Luke 	English Mirage
222 	Femeref Knight 	Summon Knight 2/2 	2W 	Common 	Tony Roberts 	English Mirage
223 	Femeref Scouts 	Summon Scouts 1/4 	2W 	Common 	Zak Plucinski 	English Mirage
224 	Healing Salve 	Instant 	W 	Common 	Hannibal King 	English Mirage
225 	Illumination 	Interrupt 	WW 	Uncommon 	David O'Connor 	English Mirage
226 	Iron Tusk Elephant 	Summon Elephant 3/3 	4W 	Uncommon 	Tony Roberts 	English Mirage
227 	Ivory Charm 	Instant 	W 	Common 	Gerry Grace 	English Mirage
228 	Jabari's Influence 	Instant 	3WW 	Rare 	Gerry Grace 	English Mirage
229 	Mangara's Blessing 	Instant 	2W 	Uncommon 	David A. Cherry 	English Mirage
230 	Mangara's Equity 	Enchantment 	1WW 	Uncommon 	Alan Rabinowitz 	English Mirage
231 	Melesse Spirit 	Summon Angel 3/3 	3WW 	Uncommon 	Gerry Grace 	English Mirage
232 	Mtenda Griffin 	Summon Griffin 2/2 	3W 	Uncommon 	Janine Johnston 	English Mirage
233 	Mtenda Herder 	Summon Scout 1/1 	W 	Common 	Zina Saunders 	English Mirage
234 	Noble Elephant 	Summon Elephant 2/2 	3W 	Common 	Tony Roberts 	English Mirage
235 	Null Chamber 	Enchant World 	3W 	Rare 	Douglas Shuler 	English Mirage
236 	Pacifism 	Enchant Creature 	1W 	Common 	Robert Bliss 	English Mirage
237 	Pearl Dragon 	Summon Dragon 4/4 	4WW 	Rare 	Ian Miller 	English Mirage
238 	Prismatic Circle 	Enchantment 	2W 	Common 	Pete Venters 	English Mirage
239 	Rashida Scalebane 	Summon Legend 3/4 	3WW 	Rare 	Randy Gallegos 	English Mirage
240 	Ritual of Steel 	Enchant Creature 	2W 	Common 	Mark Poole 	English Mirage
241 	Sacred Mesa 	Enchantment 	2W 	Rare 	Margaret Organ-Kean 	English Mirage
242 	Shadowbane 	Instant 	1W 	Uncommon 	Douglas Shuler 	English Mirage
243 	Sidar Jabari 	Summon Legend 2/2 	3W 	Rare 	Gerry Grace 	English Mirage
244 	Soul Echo 	Enchantment 	XWW 	Rare 	Ron Spencer 	English Mirage
245 	Spectral Guardian 	Summon Guardian 2/3 	2WW 	Rare 	Mike Dringenberg 	English Mirage
246 	Sunweb 	Summon Wall 5/6 	3W 	Rare 	Dan Frazier 	English Mirage
247 	Teremko Griffin 	Summon Griffin 2/2 	3W 	Common 	Martin McKenna 	English Mirage
248 	Unyaro Griffin 	Summon Griffin 2/2 	3W 	Uncommon 	Al Davidson 	English Mirage
249 	Vigilant Martyr 	Summon Martyr 1/1 	W 	Uncommon 	Rebecca Guay 	English Mirage
250 	Wall of Resistance 	Summon Wall 0/3 	1W 	Common 	Harold McNeill 	English Mirage
251 	Ward of Lights 	Enchant Creature 	WW 	Common 	Mike Dringenberg 	English Mirage
252 	Yare 	Instant 	2W 	Rare 	Ron Spencer 	English Mirage
253 	Zhalfirin Commander 	Summon Knight 2/2 	2W 	Uncommon 	Stuart Griffin 	English Mirage
254 	Zhalfirin Knight 	Summon Knight 2/2 	2W 	Common 	John Bolton 	English Mirage
255 	Zuberi, Golden Feather 	Summon Legend 3/3 	4W 	Rare 	Alan Rabinowitz 	English Mirage
256 	Acidic Dagger 	Artifact 	4 	Rare 	Stuart Beel 	English Mirage
257 	Amber Prison 	Artifact 	4 	Rare 	Donato Giancola 	English Mirage
258 	Amulet of Unmaking 	Artifact 	5 	Rare 	Kaja Foglio 	English Mirage
259 	Basalt Golem 	Artifact Creature 2/4 	5 	Uncommon 	Scott Kirschner 	English Mirage
260 	Bone Mask 	Artifact 	4 	Rare 	D. Alexander Gregory 	English Mirage
261 	Charcoal Diamond 	Artifact 	2 	Uncommon 	Drew Tucker 	English Mirage
262 	Chariot of the Sun 	Artifact 	3 	Uncommon 	Gerry Grace 	English Mirage
263 	Crystal Golem 	Artifact Creature 3/3 	4 	Uncommon 	Mike Dringenberg 	English Mirage
264 	Cursed Totem 	Artifact 	2 	Rare 	D. Alexander Gregory 	English Mirage
265 	Elixir of Vitality 	Artifact 	4 	Uncommon 	Douglas Shuler 	English Mirage
266 	Ersatz Gnomes 	Artifact Creature 1/1 	3 	Uncommon 	Ron Spencer 	English Mirage
267 	Fire Diamond 	Artifact 	2 	Uncommon 	Richard Thomas 	English Mirage
268 	Grinning Totem 	Artifact 	4 	Rare 	Donato Giancola 	English Mirage
269 	Horrible Hordes 	Artifact Creature 2/2 	3 	Uncommon 	Ian Miller 	English Mirage
270 	Igneous Golem 	Artifact Creature 3/4 	5 	Uncommon 	Adam Rex 	English Mirage
271 	Lead Golem 	Artifact Creature 3/5 	5 	Uncommon 	Hannibal King 	English Mirage
272 	Lion's Eye Diamond 	Artifact 	0 	Rare 	Margaret Organ-Kean 	English Mirage
273 	Mana Prism 	Artifact 	3 	Uncommon 	Margaret Organ-Kean 	English Mirage
274 	Mangara's Tome 	Artifact 	5 	Rare 	John Bolton 	English Mirage
275 	Marble Diamond 	Artifact 	2 	Uncommon 	Jeff Miracola 	English Mirage
276 	Misers' Cage 	Artifact 	3 	Rare 	Jeff Miracola 	English Mirage
277 	Moss Diamond 	Artifact 	2 	Uncommon 	Donato Giancola 	English Mirage
278 	Patagia Golem 	Artifact Creature 2/3 	4 	Uncommon 	Scott Kirschner 	English Mirage
279 	Paupers' Cage 	Artifact 	3 	Rare 	Mike Kimble 	English Mirage
280 	Phyrexian Dreadnought 	Artifact Creature 12/12 	1 	Rare 	Pete Venters 	English Mirage
281 	Phyrexian Vault 	Artifact 	3 	Uncommon 	Hannibal King 	English Mirage
282 	Razor Pendulum 	Artifact 	4 	Rare 	Zak Plucinski 	English Mirage
283 	Sand Golem 	Artifact Creature 3/3 	5 	Uncommon 	John Matson 	English Mirage
284 	Sky Diamond 	Artifact 	2 	Uncommon 	D. Alexander Gregory 	English Mirage
285 	Teeka's Dragon 	Artifact Creature 5/5 	9 	Rare 	Liz Danforth 	English Mirage
286 	Telim'Tor's Darts 	Artifact 	2 	Uncommon 	Kev Walker 	English Mirage
287 	Unerring Sling 	Artifact 	3 	Uncommon 	Zak Plucinski 	English Mirage
288 	Ventifact Bottle 	Artifact 	3 	Rare 	Ron Spencer 	English Mirage
289 	Bad River 	Land 		Uncommon 	Terese Nielsen 	English Mirage
290 	Crystal Vein 	Land 		Uncommon 	Pat Morrissey 	English Mirage
291 	Flood Plain 	Land 		Uncommon 	Pat Morrissey 	English Mirage
292 	Forest 	Land 		Land 	Tony Roberts 	English Mirage
293 	Forest 	Land 		Land 	Tony Roberts 	English Mirage
294 	Forest 	Land 		Land 	Tony Roberts 	English Mirage
295 	Forest 	Land 		Land 	Tony Roberts 	English Mirage
296 	Grasslands 	Land 		Uncommon 	John Avon 	English Mirage
297 	Island 	Land 		Land 	Douglas Shuler 	English Mirage
298 	Island 	Land 		Land 	Douglas Shuler 	English Mirage
299 	Island 	Land 		Land 	Douglas Shuler 	English Mirage
300 	Island 	Land 		Land 	Douglas Shuler 	English Mirage
301 	Mountain 	Land 		Land 	John Avon 	English Mirage
302 	Mountain 	Land 		Land 	John Avon 	English Mirage
303 	Mountain 	Land 		Land 	John Avon 	English Mirage
304 	Mountain 	Land 		Land 	John Avon 	English Mirage
305 	Mountain Valley 	Land 		Uncommon 	Kari Johnson 	English Mirage
