1 	Aven Riftwatcher 	Creature . Bird Rebel Soldier 2/3 	2W 	Common 	Don Hazeltine 	English Planar Chaos
27 	Mycologist 	Creature . Human Druid 0/2 	1W 	Uncommon 	Kev Walker 	English Planar Chaos
28 	Porphyry Nodes 	Enchantment 	W 	Rare 	Alan Pollack 	English Planar Chaos
29 	Revered Dead 	Creature . Spirit Soldier 1/1 	1W 	Common 	Ron Spears 	English Planar Chaos
30 	Sinew Sliver 	Creature . Sliver 1/1 	1W 	Common 	Steven Belledin 	English Planar Chaos
31 	Sunlance 	Sorcery 	W 	Common 	Volkan Baga 	English Planar Chaos
32 	Aeon Chronicler 	Creature . Avatar */* 	3UU 	Rare 	Dan Dos Santos 	English Planar Chaos
33 	Aquamorph Entity 	Creature . Shapeshifter */* 	2UU 	Common 	Brian Despain 	English Planar Chaos
34 	Auramancer's Guise 	Enchantment . Aura 	2UU 	Uncommon 	Greg Staples 	English Planar Chaos
35 	Body Double 	Creature . Shapeshifter 0/0 	4U 	Rare 	Steve Prescott 	English Planar Chaos
36 	Braids, Conjurer Adept 	Legendary Creature . Human Wizard 2/2 	2UU 	Rare 	Zoltan Boros & Gabor Szikszai 	English Planar Chaos
37 	Chronozoa 	Creature . Illusion 3/3 	3U 	Rare 	James Wong 	English Planar Chaos
38 	Dichotomancy 	Sorcery 	7UU 	Rare 	Steven Belledin 	English Planar Chaos
39 	Dismal Failure 	Instant 	2UU 	Uncommon 	Dan Scott 	English Planar Chaos
40 	Dreamscape Artist 	Creature . Human Spellshaper 1/1 	1U 	Common 	Jim Murray 	English Planar Chaos
41 	Erratic Mutation 	Instant 	2U 	Common 	Zoltan Boros & Gabor Szikszai 	English Planar Chaos
42 	Jodah's Avenger 	Creature . Shapeshifter 4/4 	5U 	Uncommon 	Pete Venters 	English Planar Chaos
43 	Magus of the Bazaar 	Creature . Human Wizard 0/1 	1U 	Rare 	Rob Alexander 	English Planar Chaos
44 	Pongify 	Instant 	U 	Uncommon 	Heather Hudson 	English Planar Chaos
45 	Reality Acid 	Enchantment . Aura 	2U 	Common 	James Wong 	English Planar Chaos
46 	Shaper Parasite 	Creature . Illusion 2/3 	1UU 	Common 	rk post 	English Planar Chaos
47 	Spellshift 	Instant 	3U 	Rare 	Stephen Tappin 	English Planar Chaos
48 	Synchronous Sliver 	Creature . Sliver 3/3 	4U 	Common 	E. M. Gist 	English Planar Chaos
49 	Tidewalker 	Creature . Elemental */* 	2U 	Uncommon 	Dave Kendall 	English Planar Chaos
50 	Timebender 	Creature . Human Wizard 1/1 	U 	Uncommon 	Zoltan Boros & Gabor Szikszai 	English Planar Chaos
51 	Veiling Oddity 	Creature . Illusion 2/3 	3U 	Common 	Dave DeVries 	English Planar Chaos
52 	Venarian Glimmer 	Instant 	XU 	Uncommon 	John Avon 	English Planar Chaos
53 	Wistful Thinking 	Sorcery 	2U 	Common 	Brian Despain 	English Planar Chaos
54 	Frozen Æher 	Enchantment 	3U 	Uncommon 	Dan Dos Santos 	English Planar Chaos
55 	Gossamer Phantasm 	Creature . Illusion 2/1 	1U 	Common 	Jon Foster 	English Planar Chaos
56 	Merfolk Thaumaturgist 	Creature . Merfolk Wizard 1/2 	2U 	Common 	Steve Prescott 	English Planar Chaos
57 	Ovinize 	Instant 	1U 	Uncommon 	Terese Nielsen 	English Planar Chaos
58 	Piracy Charm 	Instant 	U 	Common 	John Avon 	English Planar Chaos
59 	Primal Plasma 	Creature . Elemental Shapeshifter */* 	3U 	Common 	Luca Zontini 	English Planar Chaos
60 	Riptide Pilferer 	Creature . Merfolk Rogue 1/1 	1U 	Uncommon 	Steve Prescott 	English Planar Chaos
61 	Serendib Sorcerer 	Creature . Human Wizard 1/1 	1UU 	Rare 	Dan Scott 	English Planar Chaos
62 	Serra Sphinx 	Creature . Sphinx 4/4 	3UU 	Rare 	Daren Bader 	English Planar Chaos
63 	Big Game Hunter 	Creature . Human Rebel Assassin 1/1 	1BB 	Uncommon 	Carl Critchlow 	English Planar Chaos
64 	Blightspeaker 	Creature . Human Rebel Cleric 1/1 	1B 	Common 	Ron Spears 	English Planar Chaos
65 	Brain Gorgers 	Creature . Zombie 4/2 	3B 	Common 	Kev Walker 	English Planar Chaos
66 	Circle of Affliction 	Enchantment 	1B 	Uncommon 	Rob Alexander 	English Planar Chaos
67 	Cradle to Grave 	Instant 	1B 	Common 	Dave Kendall 	English Planar Chaos
68 	Dash Hopes 	Instant 	BB 	Common 	Zoltan Boros & Gabor Szikszai 	English Planar Chaos
69 	Deadly Grub 	Creature . Insect 3/1 	2B 	Common 	E. M. Gist 	English Planar Chaos
70 	Enslave 	Enchantment . Aura 	4BB 	Uncommon 	Zoltan Boros & Gabor Szikszai 	English Planar Chaos
71 	Extirpate 	Instant 	B 	Rare 	Jon Foster 	English Planar Chaos
72 	Imp's Mischief 	Instant 	1B 	Rare 	Thomas M. Baxa 	English Planar Chaos
73 	Magus of the Coffers 	Creature . Human Wizard 4/4 	4B 	Rare 	Don Hazeltine 	English Planar Chaos
74 	Midnight Charm 	Instant 	B 	Common 	John Avon 	English Planar Chaos
75 	Mirri the Cursed 	Legendary Creature . Vampire Cat 3/2 	2BB 	Rare 	Kev Walker 	English Planar Chaos
76 	Muck Drubb 	Creature . Beast 3/3 	3BB 	Uncommon 	Jim Nelson 	English Planar Chaos
77 	Phantasmagorian 	Creature . Horror 6/6 	5BB 	Uncommon 	Steve Ellis 	English Planar Chaos
78 	Ridged Kusite 	Creature . Horror Spellshaper 1/1 	B 	Common 	rk post 	English Planar Chaos
79 	Roiling Horror 	Creature . Horror */* 	3BB 	Rare 	John Avon 	English Planar Chaos
80 	Spitting Sliver 	Creature . Sliver 3/3 	4B 	Common 	Steve Ellis 	English Planar Chaos
81 	Temporal Extortion 	Sorcery 	BBBB 	Rare 	Steven Belledin 	English Planar Chaos
82 	Treacherous Urge 	Instant 	4B 	Uncommon 	Steven Belledin 	English Planar Chaos
83 	Waning Wurm 	Creature . Zombie Wurm 7/6 	3B 	Uncommon 	Alan Pollack 	English Planar Chaos
84 	Bog Serpent 	Creature . Serpent 5/5 	5B 	Common 	Thomas M. Baxa 	English Planar Chaos
85 	Damnation 	Sorcery 	2BB 	Rare 	Kev Walker 	English Planar Chaos
86 	Dunerider Outlaw 	Creature . Human Rebel Rogue 1/1 	BB 	Uncommon 	Alan Pollack 	English Planar Chaos
87 	Kor Dirge 	Instant 	2B 	Uncommon 	Alex Horley-Orlandelli 	English Planar Chaos
88 	Melancholy 	Enchantment . Aura 	2B 	Common 	Lars Grant-West 	English Planar Chaos
89 	Null Profusion 	Enchantment 	4BB 	Rare 	Kev Walker 	English Planar Chaos
90 	Rathi Trapper 	Creature . Human Rebel Rogue 1/2 	1B 	Common 	Pete Venters 	English Planar Chaos
91 	Shrouded Lore 	Sorcery 	B 	Uncommon 	Kev Walker 	English Planar Chaos
92 	Vampiric Link 	Enchantment . Aura 	B 	Common 	Kev Walker 	English Planar Chaos
93 	Æher Membrane 	Creature . Wall 0/5 	1RR 	Uncommon 	Zoltan Boros & Gabor Szikszai 	English Planar Chaos
94 	Akroma, Angel of Fury 	Legendary Creature . Angel 6/6 	5RRR 	Rare 	Daren Bader 	English Planar Chaos
95 	Battering Sliver 	Creature . Sliver 4/4 	5R 	Common 	Greg Staples 	English Planar Chaos
96 	Detritivore 	Creature . Lhurgoyf */* 	2RR 	Rare 	Parente 	English Planar Chaos
97 	Dust Corona 	Enchantment . Aura 	R 	Common 	Luca Zontini 	English Planar Chaos
98 	Fatal Frenzy 	Instant 	2R 	Rare 	Steve Ellis 	English Planar Chaos
99 	Firefright Mage 	Creature . Goblin Spellshaper 1/1 	R 	Common 	Greg Staples 	English Planar Chaos
100 	Fury Charm 	Instant 	1R 	Common 	John Avon 	English Planar Chaos
101 	Hammerheim Deadeye 	Creature . Giant Warrior 3/3 	3R 	Uncommon 	Carl Critchlow 	English Planar Chaos
102 	Keldon Marauders 	Creature . Human Warrior 3/3 	1R 	Common 	Alex Horley-Orlandelli 	English Planar Chaos
103 	Lavacore Elemental 	Creature . Elemental 5/3 	2R 	Uncommon 	E. M. Gist 	English Planar Chaos
104 	Magus of the Arena 	Creature . Human Wizard 5/5 	4RR 	Rare 	Thomas M. Baxa 	English Planar Chaos
105 	Needlepeak Spider 	Creature . Spider 4/2 	3R 	Common 	Dany Orizio 	English Planar Chaos
106 	Shivan Meteor 	Sorcery 	3RR 	Uncommon 	Chippy 	English Planar Chaos
107 	Stingscourger 	Creature . Goblin Warrior 2/2 	1R 	Common 	Wayne Reynolds 	English Planar Chaos
108 	Sulfur Elemental 	Creature . Elemental 3/2 	2R 	Uncommon 	Dave Kendall 	English Planar Chaos
109 	Timecrafting 	Instant 	XR 	Uncommon 	Volkan Baga 	English Planar Chaos
110 	Torchling 	Creature . Shapeshifter 3/3 	3RR 	Rare 	rk post 	English Planar Chaos
111 	Volcano Hellion 	Creature . Hellion 6/5 	2RR 	Rare 	Wayne Reynolds 	English Planar Chaos
112 	Boom (Boom/Bust) 	Sorcery 	1R 	Rare 	John Avon 	English Planar Chaos
113 	Dead (Dead/Gone) 	Instant 	R 	Common 	Tomas Giorello 	English Planar Chaos
114 	Rough (Rough/Tumble) 	Sorcery 	1R 	Uncommon 	Luca Zontini 	English Planar Chaos
115 	Blood Knight 	Creature . Human Knight 2/2 	RR 	Uncommon 	Matt Cavotta 	English Planar Chaos
116 	Brute Force 	Instant 	R 	Common 	Wayne Reynolds 	English Planar Chaos
117 	Molten Firebird 	Creature . Phoenix 2/2 	4R 	Rare 	Christopher Moeller 	English Planar Chaos
118 	Prodigal Pyromancer 	Creature . Human Wizard 1/1 	2R 	Common 	Jeremy Jarvis 	English Planar Chaos
119 	Pyrohemia 	Enchantment 	2RR 	Uncommon 	Stephen Tappin 	English Planar Chaos
120 	Reckless Wurm 	Creature . Wurm 4/4 	3RR 	Uncommon 	Greg Staples 	English Planar Chaos
121 	Shivan Wumpus 	Creature . Beast 6/6 	3R 	Rare 	Ron Spears 	English Planar Chaos
122 	Simian Spirit Guide 	Creature . Ape Spirit 2/2 	2R 	Common 	Dave DeVries 	English Planar Chaos
123 	Skirk Shaman 	Creature . Goblin Shaman 2/2 	1RR 	Common 	Chippy 	English Planar Chaos
124 	Ana Battlemage 	Creature . Human Wizard 2/2 	2G 	Uncommon 	Jim Nelson 	English Planar Chaos
125 	Citanul Woodreaders 	Creature . Human Druid 1/4 	2G 	Common 	Steven Belledin 	English Planar Chaos
126 	Deadwood Treefolk 	Creature . Treefolk 3/6 	5G 	Uncommon 	Don Hazeltine 	English Planar Chaos
127 	Evolution Charm 	Instant 	1G 	Common 	John Avon 	English Planar Chaos
128 	Fungal Behemoth 	Creature . Fungus */* 	3G 	Rare 	Mark Tedin 	English Planar Chaos
129 	Giant Dustwasp 	Creature . Insect 3/3 	3GG 	Common 	Greg Hildebrandt 	English Planar Chaos
130 	Hunting Wilds 	Sorcery 	3G 	Uncommon 	Steve Ellis 	English Planar Chaos
131 	Jedit Ojanen of Efrava 	Legendary Creature . Cat Warrior Lord 5/5 	3GGG 	Rare 	Carl Critchlow 	English Planar Chaos
132 	Kavu Predator 	Creature . Kavu 2/2 	1G 	Uncommon 	Dan Scott 	English Planar Chaos
133 	Life and Limb 	Enchantment 	3G 	Rare 	Jim Nelson 	English Planar Chaos
134 	Magus of the Library 	Creature . Human Wizard 1/1 	GG 	Rare 	Wayne Reynolds 	English Planar Chaos
135 	Mire Boa 	Creature . Snake 2/1 	1G 	Common 	Greg Hildebrandt 	English Planar Chaos
136 	Pouncing Wurm 	Creature . Wurm 3/3 	3G 	Uncommon 	William O'Connor 	English Planar Chaos
137 	Psychotrope Thallid 	Creature . Fungus 1/1 	2G 	Uncommon 	Dave Kendall 	English Planar Chaos
138 	Reflex Sliver 	Creature . Sliver 2/2 	3G 	Common 	Luca Zontini 	English Planar Chaos
139 	Sophic Centaur 	Creature . Centaur Spellshaper 1/1 	3G 	Uncommon 	Dan Dos Santos 	English Planar Chaos
140 	Timbermare 	Creature . Elemental 5/5 	3G 	Rare 	Dan Dos Santos 	English Planar Chaos
141 	Uktabi Drake 	Creature . Drake 2/1 	G 	Common 	Matt Cavotta 	English Planar Chaos
142 	Utopia Vow 	Enchantment . Aura 	1G 	Common 	Heather Hudson 	English Planar Chaos
143 	Vitaspore Thallid 	Creature . Fungus 1/1 	1G 	Common 	Christopher Moeller 	English Planar Chaos
144 	Wild Pair 	Enchantment 	4GG 	Rare 	Mark Brill 	English Planar Chaos
145 	Essence Warden 	Creature . Elf Shaman 1/1 	G 	Common 	Terese Nielsen 	English Planar Chaos
146 	Fa'adiyah Seer 	Creature . Human Shaman 1/1 	1G 	Common 	Heather Hudson 	English Planar Chaos
147 	Gaea's Anthem 	Enchantment 	1GG 	Rare 	Greg Staples 	English Planar Chaos
148 	Groundbreaker 	Creature . Elemental 6/1 	GGG 	Rare 	Matt Cavotta 	English Planar Chaos
149 	Harmonize 	Sorcery 	2GG 	Uncommon 	Rob Alexander 	English Planar Chaos
150 	Healing Leaves 	Instant 	G 	Common 	Michael Sutfin 	English Planar Chaos
151 	Hedge Troll 	Creature . Troll Cleric 2/2 	2G 	Uncommon 	Parente 	English Planar Chaos
152 	Keen Sense 	Enchantment . Aura 	G 	Uncommon 	Jim Nelson 	English Planar Chaos
153 	Seal of Primordium 	Enchantment 	1G 	Common 	Christopher Moeller 	English Planar Chaos
154 	Cautery Sliver 	Creature . Sliver 2/2 	WR 	Uncommon 	Dany Orizio 	English Planar Chaos
155 	Darkheart Sliver 	Creature . Sliver 2/2 	BG 	Uncommon 	rk post 	English Planar Chaos
156 	Dormant Sliver 	Creature . Sliver 2/2 	2UG 	Uncommon 	Lars Grant-West 	English Planar Chaos
157 	Frenetic Sliver 	Creature . Sliver 2/2 	1UR 	Uncommon 	Luca Zontini 	English Planar Chaos
158 	Intet, the Dreamer 	Legendary Creature . Dragon 6/6 	3URG 	Rare 	Dan Scott 	English Planar Chaos
159 	Necrotic Sliver 	Creature . Sliver 2/2 	1WB 	Uncommon 	Dave Allsop 	English Planar Chaos
160 	Numot, the Devastator 	Legendary Creature . Dragon 6/6 	3WUR 	Rare 	Dan Dos Santos 	English Planar Chaos
161 	Oros, the Avenger 	Legendary Creature . Dragon 6/6 	3WBR 	Rare 	Daren Bader 	English Planar Chaos
162 	Radha, Heir to Keld 	Legendary Creature . Elf Warrior 2/2 	RG 	Rare 	Jim Murray 	English Planar Chaos
163 	Teneb, the Harvester 	Legendary Creature . Dragon 6/6 	3WBG 	Rare 	Zoltan Boros & Gabor Szikszai 	English Planar Chaos
164 	Vorosh, the Hunter 	Legendary Creature . Dragon 6/6 	3UBG 	Rare 	Mark Zug 	English Planar Chaos
165 	Urborg, Tomb of Yawgmoth 	Legendary Land 		Rare 	John Avon 	English Planar Chaos
166 	Bust (Boom/Bust) 	Sorcery 	5R 	Rare 	John Avon 	English Planar Chaos
167 	Gone (Dead/Gone) 	Instant 	2R 	Common 	Tomas Giorello 	English Planar Chaos
168 	Tumble (Rough/Tumble) 	Sorcery 	5R 	Uncommon 	Luca Zontini 	English Planar Chaos
