1 	Allay 	Instant 	1W 	Common 	Randy Gallegos 	English Exodus
29 	Curiosity 	Enchant Creature 	U 	Uncommon 	Val Mayerik 	English Exodus
30 	Dominating Licid 	Summon Licid 1/1 	1UU 	Rare 	Heather Hudson 	English Exodus
31 	Ephemeron 	Summon Illusion 4/4 	4UU 	Rare 	Keith Parkinson 	English Exodus
32 	Equilibrium 	Enchantment 	1UU 	Rare 	Jeff Miracola 	English Exodus
33 	Ertai, Wizard Adept 	Summon Legend 1/1 	2U 	Rare 	Terese Nielsen 	English Exodus
34 	Fade Away 	Sorcery 	2U 	Common 	Jeff Miracola 	English Exodus
35 	Forbid 	Interrupt 	1UU 	Uncommon 	Scott Kirschner 	English Exodus
36 	Keeper of the Mind 	Summon Wizard 1/2 	UU 	Uncommon 	Matthew Wilson 	English Exodus
37 	Killer Whale 	Summon Whale 3/5 	3UU 	Uncommon 	Stephen Daniele 	English Exodus
38 	Mana Breach 	Enchantment 	2U 	Uncommon 	Rebecca Guay 	English Exodus
39 	Merfolk Looter 	Summon Merfolk 1/1 	1U 	Common 	Ron Spencer 	English Exodus
40 	Mind Over Matter 	Enchantment 	2UUUU 	Rare 	Keith Parkinson 	English Exodus
41 	Mirozel 	Summon Illusion 2/3 	3U 	Uncommon 	Jim Nelson 	English Exodus
42 	Oath of Scholars 	Enchantment 	3U 	Rare 	Michael Sutfin 	English Exodus
43 	Robe of Mirrors 	Enchant Creature 	U 	Common 	John Matson 	English Exodus
44 	Rootwater Mystic 	Summon Merfolk 1/1 	U 	Common 	Michael Sutfin 	English Exodus
45 	School of Piranha 	Summon Fish 3/3 	1U 	Common 	Daren Bader 	English Exodus
46 	Scrivener 	Summon Townsfolk 2/2 	4U 	Uncommon 	Heather Hudson 	English Exodus
47 	Thalakos Drifters 	Summon Townsfolk 3/3 	2UU 	Rare 	Andrew Robinson 	English Exodus
48 	Thalakos Scout 	Summon Soldier 2/1 	2U 	Common 	Daren Bader 	English Exodus
49 	Theft of Dreams 	Sorcery 	2U 	Common 	Richard Kane Ferguson 	English Exodus
50 	Treasure Trove 	Enchantment 	2UU 	Uncommon 	Michael Sutfin 	English Exodus
51 	Wayward Soul 	Summon Spirit 3/2 	2UU 	Common 	DiTerlizzi 	English Exodus
52 	Whiptongue Frog 	Summon Frog 1/3 	2U 	Common 	Jeff Miracola 	English Exodus
53 	Carnophage 	Summon Zombie 2/2 	B 	Common 	Pete Venters 	English Exodus
54 	Cat Burglar 	Summon Minion 2/2 	3B 	Common 	DiTerlizzi 	English Exodus
55 	Culling the Weak 	Mana Source 	B 	Common 	Scott M. Fischer 	English Exodus
56 	Cursed Flesh 	Enchant Creature 	B 	Common 	Ron Spencer 	English Exodus
57 	Dauthi Cutthroat 	Summon Minion 1/1 	1B 	Uncommon 	Dermot Power 	English Exodus
58 	Dauthi Jackal 	Summon Hound 2/1 	2B 	Common 	Adam Rex 	English Exodus
59 	Dauthi Warlord 	Summon Soldier */1 	1B 	Uncommon 	Kev Walker 	English Exodus
60 	Death's Duet 	Sorcery 	2B 	Common 	Keith Parkinson 	English Exodus
61 	Entropic Specter 	Summon Spirit */* 	3BB 	Rare 	Ron Spencer 	English Exodus
62 	Fugue 	Sorcery 	3BB 	Uncommon 	Randy Gallegos 	English Exodus
63 	Grollub 	Summon Beast 3/3 	2B 	Common 	Chippy 	English Exodus
64 	Hatred 	Instant 	3BB 	Rare 	Brom 	English Exodus
65 	Keeper of the Dead 	Summon Wizard 1/2 	BB 	Uncommon 	Brom 	English Exodus
66 	Mind Maggots 	Summon Insects 2/2 	3B 	Uncommon 	Ron Spencer 	English Exodus
67 	Nausea 	Sorcery 	1B 	Common 	Jeff Miracola 	English Exodus
68 	Necrologia 	Instant 	3BB 	Uncommon 	Brom 	English Exodus
69 	Oath of Ghouls 	Enchantment 	1B 	Rare 	Brom 	English Exodus
70 	Pit Spawn 	Summon Beast 6/4 	4BBB 	Rare 	Thomas M. Baxa 	English Exodus
71 	Plaguebearer 	Summon Zombie 1/1 	1B 	Rare 	Ron Spencer 	English Exodus
72 	Recurring Nightmare 	Enchantment 	2B 	Rare 	Jeff Laubenstein 	English Exodus
73 	Scare Tactics 	Instant 	B 	Common 	DiTerlizzi 	English Exodus
74 	Slaughter 	Instant 	2BB 	Uncommon 	Pete Venters 	English Exodus
75 	Spike Cannibal 	Summon Spike 0/0 	1BB 	Uncommon 	Joel Biske 	English Exodus
76 	Thrull Surgeon 	Summon Thrull 1/1 	1B 	Common 	rk post 	English Exodus
77 	Vampire Hounds 	Summon Hounds 2/2 	2B 	Common 	Kev Walker 	English Exodus
78 	Volrath's Dungeon 	Enchantment 	2BB 	Rare 	Stephen Daniele 	English Exodus
79 	Anarchist 	Summon Townsfolk 2/2 	4R 	Common 	Brom 	English Exodus
80 	Cinder Crawler 	Summon Salamander 1/2 	1R 	Common 	Jim Nelson 	English Exodus
81 	Dizzying Gaze 	Enchant Creature 	R 	Common 	Thomas M. Baxa 	English Exodus
82 	Fighting Chance 	Instant 	R 	Rare 	Mike Raabe 	English Exodus
83 	Flowstone Flood 	Sorcery 	3R 	Uncommon 	Paolo Parente 	English Exodus
84 	Furnace Brood 	Summon Elementals 3/3 	3R 	Common 	Jeff Miracola 	English Exodus
85 	Keeper of the Flame 	Summon Wizard 1/2 	RR 	Uncommon 	Terese Nielsen 	English Exodus
86 	Mage il-Vec 	Summon Wizard 2/2 	2R 	Common 	John Matson 	English Exodus
87 	Maniacal Rage 	Enchant Creature 	1R 	Common 	Pete Venters 	English Exodus
88 	Mogg Assassin 	Summon Goblin 2/1 	2R 	Uncommon 	Dermot Power 	English Exodus
89 	Monstrous Hound 	Summon Hound 4/4 	3R 	Rare 	Dermot Power 	English Exodus
90 	Oath of Mages 	Enchantment 	1R 	Rare 	Keith Parkinson 	English Exodus
91 	Ogre Shaman 	Summon Ogre 3/3 	3RR 	Rare 	Paolo Parente 	English Exodus
92 	Onslaught 	Enchantment 	R 	Common 	Paolo Parente 	English Exodus
93 	Pandemonium 	Enchantment 	3R 	Rare 	Pete Venters 	English Exodus
94 	Paroxysm 	Enchant Creature 	1R 	Uncommon 	Scott Kirschner 	English Exodus
95 	Price of Progress 	Instant 	1R 	Uncommon 	Richard Kane Ferguson 	English Exodus
96 	Raging Goblin 	Summon Goblin 1/1 	R 	Common 	Brian Snõ 	English Exodus
97 	Ravenous Baboons 	Summon Apes 2/2 	3R 	Rare 	Daren Bader 	English Exodus
98 	Reckless Ogre 	Summon Ogre 3/2 	3R 	Common 	Paolo Parente 	English Exodus
99 	Sabertooth Wyvern 	Summon Drake 3/2 	4R 	Uncommon 	Keith Parkinson 	English Exodus
100 	Scalding Salamander 	Summon Salamander 2/1 	2R 	Uncommon 	Terese Nielsen 	English Exodus
101 	Seismic Assault 	Enchantment 	RRR 	Rare 	Dermot Power 	English Exodus
102 	Shattering Pulse 	Instant 	1R 	Common 	Donato Giancola 	English Exodus
103 	Sonic Burst 	Instant 	1R 	Common 	Brian Snõ 	English Exodus
104 	Spellshock 	Enchantment 	2R 	Uncommon 	Thomas M. Baxa 	English Exodus
105 	Avenging Druid 	Summon Druid 1/3 	2G 	Common 	Daren Bader 	English Exodus
106 	Bequeathal 	Enchant Creature 	G 	Common 	D. Alexander Gregory 	English Exodus
107 	Cartographer 	Summon Townsfolk 2/2 	2G 	Uncommon 	Jeff Laubenstein 	English Exodus
108 	Crashing Boars 	Summon Boars 4/4 	3GG 	Uncommon 	Ron Spencer 	English Exodus
109 	Elven Palisade 	Enchantment 	G 	Uncommon 	Mark Zug 	English Exodus
110 	Elvish Berserker 	Summon Elf 1/1 	G 	Common 	Paolo Parente 	English Exodus
111 	Jackalope Herd 	Summon Beasts 4/5 	3G 	Common 	Ron Spencer 	English Exodus
112 	Keeper of the Beasts 	Summon Wizard 1/2 	GG 	Uncommon 	rk post 	English Exodus
113 	Manabond 	Enchantment 	G 	Rare 	Stephen Daniele 	English Exodus
114 	Mirri, Cat Warrior 	Summon Legend 2/3 	1GG 	Rare 	Daren Bader 	English Exodus
115 	Oath of Druids 	Enchantment 	1G 	Rare 	Daren Bader 	English Exodus
116 	Plated Rootwalla 	Summon Lizard 3/3 	4G 	Common 	Randy Elliott 	English Exodus
117 	Predatory Hunger 	Enchant Creature 	G 	Common 	Brom 	English Exodus
118 	Pygmy Troll 	Summon Troll 1/1 	1G 	Common 	Daniel Gelon 	English Exodus
119 	Rabid Wolverines 	Summon Wolverines 4/4 	3GG 	Common 	Daren Bader 	English Exodus
120 	Reclaim 	Instant 	G 	Common 	Andrew Robinson 	English Exodus
121 	Resuscitate 	Instant 	1G 	Uncommon 	Rebecca Guay 	English Exodus
122 	Rootwater Alligator 	Summon Alligator 3/2 	3G 	Common 	Stephen Daniele 	English Exodus
123 	Skyshroud Elite 	Summon Elves 1/1 	G 	Uncommon 	Paolo Parente 	English Exodus
124 	Skyshroud War Beast 	Summon Beast */* 	1G 	Rare 	Jim Nelson 	English Exodus
125 	Song of Serenity 	Enchantment 	1G 	Uncommon 	DiTerlizzi 	English Exodus
126 	Spike Hatcher 	Summon Spike 0/0 	6G 	Rare 	Stephen Daniele 	English Exodus
127 	Spike Rogue 	Summon Spike 0/0 	1GG 	Uncommon 	Heather Hudson 	English Exodus
128 	Spike Weaver 	Summon Spike 0/0 	2GG 	Rare 	Mike Raabe 	English Exodus
129 	Survival of the Fittest 	Enchantment 	1G 	Rare 	Pete Venters 	English Exodus
130 	Wood Elves 	Summon Elves 1/1 	2G 	Common 	Rebecca Guay 	English Exodus
131 	Coat of Arms 	Artifact 	5 	Rare 	Scott M. Fischer 	English Exodus
132 	Erratic Portal 	Artifact 	4 	Rare 	John Matson 	English Exodus
133 	Medicine Bag 	Artifact 	3 	Uncommon 	DiTerlizzi 	English Exodus
134 	Memory Crystal 	Artifact 	3 	Rare 	Michael Sutfin 	English Exodus
135 	Mindless Automaton 	Artifact Creature 0/0 	4 	Rare 	Brian Snõ 	English Exodus
136 	Null Brooch 	Artifact 	4 	Rare 	DiTerlizzi 	English Exodus
137 	Skyshaper 	Artifact 	2 	Uncommon 	Donato Giancola 	English Exodus
138 	Spellbook 	Artifact 	0 	Uncommon 	Ciruelo 	English Exodus
139 	Sphere of Resistance 	Artifact 	2 	Rare 	Doug Chaffee 	English Exodus
140 	Thopter Squadron 	Artifact Creature 0/0 	5 	Rare 	Doug Chaffee 	English Exodus
141 	Transmogrifying Licid 	Artifact Creature 2/2 	3 	Uncommon 	Jim Nelson 	English Exodus
142 	Workhorse 	Artifact Creature 0/0 	6 	Rare 	DiTerlizzi 	English Exodus
143 	City of Traitors 	Land 		Rare 	Kev Walker 	English Exodus
