1 	Angel of Mercy 	Creature - Angel 3/3 	4W 	Uncommon 	Melissa A. Benson 	English Eighth Edition
42 	Sanctimony 	Enchantment 	1W 	Uncommon 	Patrick Faricy 	English Eighth Edition
43 	Savannah Lions 	Creature - Lion 2/1 	W 	Rare 	Carl Critchlow 	English Eighth Edition
44 	Seasoned Marshal 	Creature - Soldier 2/2 	2WW 	Uncommon 	Matthew D. Wilson 	English Eighth Edition
45 	Serra Angel 	Creature - Angel 4/4 	3WW 	Rare 	Mark Zug 	English Eighth Edition
46 	Solidarity 	Instant 	3W 	Common 	John Zeleznik 	English Eighth Edition
47 	Spirit Link 	Enchant Creature 	W 	Uncommon 	Kev Walker 	English Eighth Edition
48 	Standing Troops 	Creature - Soldier 1/4 	2W 	Common 	Daren Bader 	English Eighth Edition
49 	Staunch Defenders 	Creature - Soldier 3/4 	3WW 	Uncommon 	Tristan Elwell 	English Eighth Edition
50 	Story Circle 	Enchantment 	1WW 	Rare 	Alan Pollack 	English Eighth Edition
51 	Suntail Hawk 	Creature - Bird 1/1 	W 	Common 	Heather Hudson 	English Eighth Edition
52 	Sunweb 	Creature - Wall 5/6 	3W 	Rare 	Greg Staples 	English Eighth Edition
53 	Sword Dancer 	Creature - Rebel 1/2 	1W 	Uncommon 	Roger Raupp 	English Eighth Edition
54 	Tundra Wolves 	Creature - Wolf 1/1 	W 	Common 	Richard Sardinha 	English Eighth Edition
55 	Venerable Monk 	Creature - Cleric 2/2 	2W 	Common 	D. Alexander Gregory 	English Eighth Edition
56 	Wall of Swords 	Creature - Wall 3/5 	3W 	Uncommon 	Hannibal King 	English Eighth Edition
57 	Worship 	Enchantment 	3W 	Rare 	Mark Zug 	English Eighth Edition
58 	Wrath of God 	Sorcery 	2WW 	Rare 	Kev Walker 	English Eighth Edition
59 	Air Elemental 	Creature - Elemental 4/4 	3UU 	Uncommon 	Wayne England 	English Eighth Edition
60 	Archivist 	Creature - Wizard 1/1 	2UU 	Rare 	Donato Giancola 	English Eighth Edition
61 	Aven Fisher 	Creature - Bird Soldier 2/2 	3U 	Common 	Christopher Moeller 	English Eighth Edition
62 	Balance of Power 	Sorcery 	3UU 	Rare 	Adam Rex 	English Eighth Edition
63 	Boomerang 	Instant 	UU 	Common 	Alan Rabinowitz 	English Eighth Edition
64 	Bribery 	Sorcery 	3UU 	Rare 	Andrew Robinson 	English Eighth Edition
65 	Catalog 	Instant 	2U 	Common 	Berry 	English Eighth Edition
66 	Coastal Hornclaw 	Creature - Bird 3/3 	4U 	Common 	DiTerlizzi 	English Eighth Edition
67 	Coastal Piracy 	Enchantment 	2UU 	Rare 	Matthew D. Wilson 	English Eighth Edition
68 	Concentrate 	Sorcery 	2UU 	Uncommon 	Glen Angus & Arnie Swekel 	English Eighth Edition
69 	Confiscate 	Enchant Permanent 	4UU 	Uncommon 	Adam Rex 	English Eighth Edition
70 	Coral Eel 	Creature - Eel 2/1 	1U 	Common 	Una Fricker 	English Eighth Edition
71 	Cowardice 	Enchantment 	3UU 	Rare 	Scott M. Fischer 	English Eighth Edition
72 	Curiosity 	Enchant Creature 	U 	Uncommon 	Jim Nelson 	English Eighth Edition
73 	Daring Apprentice 	Creature - Wizard 1/1 	1UU 	Rare 	Dany Orizio 	English Eighth Edition
74 	Deflection 	Instant 	3U 	Rare 	Jeremy Jarvis 	English Eighth Edition
75 	Dehydration 	Enchant Creature 	3U 	Common 	Arnie Swekel 	English Eighth Edition
76 	Evacuation 	Instant 	3UU 	Rare 	Rob Alexander 	English Eighth Edition
77 	Fighting Drake 	Creature - Drake 2/4 	2UU 	Uncommon 	Matt Cavotta 	English Eighth Edition
78 	Flash Counter 	Instant 	1U 	Common 	Matt Cavotta 	English Eighth Edition
79 	Fleeting Image 	Creature - Illusion 2/1 	2U 	Rare 	Dave Dorman 	English Eighth Edition
80 	Flight 	Enchant Creature 	U 	Common 	Arnie Swekel 	English Eighth Edition
81 	Fugitive Wizard 	Creature - Wizard 1/1 	U 	Common 	Jim Nelson 	English Eighth Edition
82 	Hibernation 	Instant 	2U 	Uncommon 	Matt Cavotta 	English Eighth Edition
83 	Horned Turtle 	Creature - Turtle 1/4 	2U 	Common 	DiTerlizzi 	English Eighth Edition
84 	Index 	Sorcery 	U 	Common 	Kev Walker 	English Eighth Edition
85 	Inspiration 	Instant 	3U 	Common 	Matt Cavotta 	English Eighth Edition
86 	Intruder Alarm 	Enchantment 	2U 	Rare 	Luca Zontini 	English Eighth Edition
87 	Invisibility 	Enchant Creature 	UU 	Uncommon 	Pete Venters 	English Eighth Edition
88 	Mahamoti Djinn 	Creature - Djinn 5/6 	4UU 	Rare 	Eric Peterson 	English Eighth Edition
89 	Mana Leak 	Instant 	1U 	Common 	Christopher Rush 	English Eighth Edition
90 	Merchant of Secrets 	Creature - Wizard 1/1 	2U 	Common 	Greg Hildebrandt 	English Eighth Edition
91 	Merchant Scroll 	Sorcery 	1U 	Uncommon 	David Martin 	English Eighth Edition
92 	Mind Bend 	Instant 	U 	Rare 	Tony Szczudlo 	English Eighth Edition
93 	Phantom Warrior 	Creature - Illusion 2/2 	1UU 	Uncommon 	Greg Staples 	English Eighth Edition
94 	Puppeteer 	Creature - Wizard 1/2 	2U 	Uncommon 	Scott M. Fischer 	English Eighth Edition
95 	Remove Soul 	Instant 	1U 	Common 	Adam Rex 	English Eighth Edition
96 	Rewind 	Instant 	2UU 	Uncommon 	Dermot Power 	English Eighth Edition
97 	Sage of Lat-Nam 	Creature - Sage 1/2 	1U 	Rare 	Alan Pollack 	English Eighth Edition
98 	Sage Owl 	Creature - Bird 1/1 	1U 	Common 	Mark Brill 	English Eighth Edition
99 	Sea Monster 	Creature - Serpent 6/6 	4UU 	Common 	Daniel Gelon 	English Eighth Edition
100 	Shifting Sky 	Enchantment 	2U 	Rare 	Jerry Tiritilli 	English Eighth Edition
101 	Sneaky Homunculus 	Creature - Illusion 1/1 	1U 	Common 	Scott M. Fischer 	English Eighth Edition
102 	Spiketail Hatchling 	Creature - Drake 1/1 	1U 	Uncommon 	Greg Staples 	English Eighth Edition
103 	Steal Artifact 	Enchant Artifact 	2UU 	Uncommon 	Peter Bollinger 	English Eighth Edition
104 	Storm Crow 	Creature - Bird 1/2 	1U 	Common 	John Matson 	English Eighth Edition
105 	Telepathy 	Enchantment 	U 	Uncommon 	Matthew D. Wilson 	English Eighth Edition
106 	Temporal Adept 	Creature - Wizard 1/1 	1UU 	Rare 	Roger Raupp 	English Eighth Edition
107 	Thieving Magpie 	Creature - Bird 1/3 	2UU 	Uncommon 	Christopher Moeller 	English Eighth Edition
108 	Tidal Kraken 	Creature - Monster 6/6 	5UUU 	Rare 	Christopher Moeller 	English Eighth Edition
109 	Trade Routes 	Enchantment 	1U 	Rare 	Matt Cavotta 	English Eighth Edition
110 	Treasure Trove 	Enchantment 	2UU 	Uncommon 	Brian Despain 	English Eighth Edition
111 	Twiddle 	Instant 	U 	Common 	Matt Cavotta 	English Eighth Edition
112 	Unsummon 	Instant 	U 	Common 	Ron Spencer 	English Eighth Edition
113 	Wall of Air 	Creature - Wall 1/5 	1UU 	Uncommon 	John Avon 	English Eighth Edition
114 	Wind Drake 	Creature - Drake 2/2 	2U 	Common 	Tom Wärstrand 	English Eighth Edition
115 	Wrath of Marit Lage 	Enchantment 	3UU 	Uncommon 	Matt Thompson 	English Eighth Edition
116 	Zur's Weirding 	Enchantment 	3U 	Rare 	Scott M. Fischer 	English Eighth Edition
117 	Abyssal Specter 	Creature - Specter 2/3 	2BB 	Uncommon 	Michael Sutfin 	English Eighth Edition
118 	Ambition's Cost 	Sorcery 	3B 	Uncommon 	Junko Taguchi 	English Eighth Edition
119 	Bog Imp 	Creature - Imp 1/1 	1B 	Common 	Carl Critchlow 	English Eighth Edition
120 	Bog Wraith 	Creature - Wraith 3/3 	3B 	Uncommon 	Dave Dorman 	English Eighth Edition
121 	Carrion Wall 	Creature - Wall 3/2 	1BB 	Uncommon 	Tony Szczudlo 	English Eighth Edition
122 	Coercion 	Sorcery 	2B 	Common 	DiTerlizzi 	English Eighth Edition
123 	Dark Banishing 	Instant 	2B 	Common 	Dermot Power 	English Eighth Edition
124 	Death Pit Offering 	Enchantment 	2BB 	Rare 	Pete Venters 	English Eighth Edition
125 	Death Pits of Rath 	Enchantment 	3BB 	Rare 	Joel Biske 	English Eighth Edition
126 	Deathgazer 	Creature - Lizard 2/2 	3B 	Uncommon 	Donato Giancola 	English Eighth Edition
127 	Deepwood Ghoul 	Creature - Zombie 2/1 	2B 	Common 	Alan Pollack 	English Eighth Edition
128 	Diabolic Tutor 	Sorcery 	2BB 	Uncommon 	Rick Farrell 	English Eighth Edition
129 	Drudge Skeletons 	Creature - Skeleton 1/1 	1B 	Common 	Jim Nelson 	English Eighth Edition
130 	Dusk Imp 	Creature - Imp 2/1 	2B 	Common 	Edward P. Beard, Jr. 	English Eighth Edition
131 	Eastern Paladin 	Creature - Knight 3/3 	2BB 	Rare 	Carl Critchlow 	English Eighth Edition
132 	Execute 	Instant 	2B 	Uncommon 	Gary Ruddell 	English Eighth Edition
133 	Fallen Angel 	Creature - Angel 3/3 	3BB 	Rare 	Matthew D. Wilson 	English Eighth Edition
134 	Fear 	Enchant Creature 	BB 	Common 	Adam Rex 	English Eighth Edition
135 	Giant Cockroach 	Creature - Insect 4/2 	3B 	Common 	Heather Hudson 	English Eighth Edition
136 	Gluttonous Zombie 	Creature - Zombie 3/3 	4B 	Uncommon 	Thomas M. Baxa 	English Eighth Edition
137 	Grave Pact 	Enchantment 	1BBB 	Rare 	Tony Szczudlo 	English Eighth Edition
138 	Gravedigger 	Creature - Zombie 2/2 	3B 	Common 	Dermot Power 	English Eighth Edition
139 	Larceny 	Enchantment 	3BB 	Rare 	Dave Dorman 	English Eighth Edition
140 	Looming Shade 	Creature - Shade 1/1 	2B 	Common 	Kev Walker 	English Eighth Edition
141 	Lord of the Undead 	Creature - Lord 2/2 	1BB 	Rare 	Brom 	English Eighth Edition
142 	Maggot Carrier 	Creature - Zombie 1/1 	B 	Common 	Ron Spencer 	English Eighth Edition
143 	Megrim 	Enchantment 	2B 	Uncommon 	Peter Bollinger 	English Eighth Edition
144 	Mind Rot 	Sorcery 	2B 	Common 	Steve Luke 	English Eighth Edition
145 	Mind Slash 	Enchantment 	1BB 	Uncommon 	Adam Rex 	English Eighth Edition
146 	Mind Sludge 	Sorcery 	4B 	Uncommon 	Eric Peterson 	English Eighth Edition
147 	Murderous Betrayal 	Enchantment 	BBB 	Rare 	Randy Gallegos 	English Eighth Edition
148 	Nausea 	Sorcery 	1B 	Common 	James Bernardin 	English Eighth Edition
149 	Nekrataal 	Creature - Nekrataal 2/1 	2BB 	Uncommon 	Adrian Smith 	English Eighth Edition
150 	Nightmare 	Creature - Nightmare */* 	5B 	Rare 	Carl Critchlow 	English Eighth Edition
151 	Persecute 	Sorcery 	2BB 	Rare 	D. Alexander Gregory 	English Eighth Edition
152 	Phyrexian Arena 	Enchantment 	1BB 	Rare 	Carl Critchlow 	English Eighth Edition
153 	Phyrexian Plaguelord 	Creature - Carrier 4/4 	3BB 	Rare 	Kev Walker 	English Eighth Edition
154 	Plague Beetle 	Creature - Insect 1/1 	B 	Common 	Matt Cavotta 	English Eighth Edition
155 	Plague Wind 	Sorcery 	7BB 	Rare 	Alan Pollack 	English Eighth Edition
156 	Primeval Shambler 	Creature - Mercenary 3/3 	4B 	Uncommon 	Chippy 	English Eighth Edition
157 	Raise Dead 	Sorcery 	B 	Common 	Carl Critchlow 	English Eighth Edition
158 	Ravenous Rats 	Creature - Rat 1/1 	1B 	Common 	Tom Wärstrand 	English Eighth Edition
159 	Royal Assassin 	Creature - Assassin 1/1 	1BB 	Rare 	Mark Zug 	English Eighth Edition
160 	Scathe Zombies 	Creature - Zombie 2/2 	2B 	Common 	Kev Walker 	English Eighth Edition
161 	Serpent Warrior 	Creature - Soldier 3/3 	2B 	Common 	Ron Spencer 	English Eighth Edition
162 	Sever Soul 	Sorcery 	3BB 	Uncommon 	Glen Angus 	English Eighth Edition
163 	Severed Legion 	Creature - Zombie 2/2 	1BB 	Common 	Dany Orizio 	English Eighth Edition
164 	Slay 	Instant 	2B 	Uncommon 	Ben Thompson 	English Eighth Edition
165 	Soul Feast 	Sorcery 	3BB 	Uncommon 	Adam Rex 	English Eighth Edition
166 	Spineless Thug 	Creature - Mercenary 2/2 	1B 	Common 	Matthew D. Wilson 	English Eighth Edition
167 	Swarm of Rats 	Creature - Rat */1 	1B 	Uncommon 	Kev Walker 	English Eighth Edition
168 	Underworld Dreams 	Enchantment 	BBB 	Rare 	Carl Critchlow 	English Eighth Edition
169 	Unholy Strength 	Enchant Creature 	B 	Common 	Puddnhead 	English Eighth Edition
170 	Vampiric Spirit 	Creature - Spirit 4/3 	2BB 	Rare 	Anson Maddocks 	English Eighth Edition
171 	Vicious Hunger 	Sorcery 	BB 	Common 	Massimilano Frezzato 	English Eighth Edition
172 	Warped Devotion 	Enchantment 	2B 	Rare 	Eric Peterson 	English Eighth Edition
173 	Western Paladin 	Creature - Knight 3/3 	2BB 	Rare 	Carl Critchlow 	English Eighth Edition
174 	Zombify 	Sorcery 	3B 	Uncommon 	Mark Romanoski 	English Eighth Edition
175 	Anaba Shaman 	Creature - Minotaur 2/2 	3R 	Common 	Alex Horley-Orlandelli 	English Eighth Edition
176 	Balduvian Barbarians 	Creature - Barbarian 3/2 	1RR 	Common 	Jim Nelson 	English Eighth Edition
177 	Blaze 	Sorcery 	XR 	Uncommon 	Alex Horley-Orlandelli 	English Eighth Edition
178 	Blood Moon 	Enchantment 	2R 	Rare 	Franz Vohwinkel 	English Eighth Edition
179 	Bloodshot Cyclops 	Creature - Giant 4/4 	5R 	Rare 	Daren Bader 	English Eighth Edition
180 	Boil 	Instant 	3R 	Uncommon 	Jason Alexander Behnke 	English Eighth Edition
181 	Canyon Wildcat 	Creature - Cat 2/1 	1R 	Common 	Gary Leach 	English Eighth Edition
182 	Cinder Wall 	Creature - Wall 3/3 	R 	Common 	Anthony S. Waters 	English Eighth Edition
183 	Demolish 	Sorcery 	3R 	Uncommon 	Gary Ruddell 	English Eighth Edition
184 	Dwarven Demolition Team 	Creature - Dwarf 1/1 	2R 	Uncommon 	Kev Walker 	English Eighth Edition
185 	Enrage 	Instant 	XR 	Uncommon 	Justin Sweet 	English Eighth Edition
186 	Flashfires 	Sorcery 	3R 	Uncommon 	Randy Gallegos 	English Eighth Edition
187 	Furnace of Rath 	Enchantment 	1RRR 	Rare 	John Matson 	English Eighth Edition
188 	Goblin Chariot 	Creature - Goblin 2/2 	2R 	Common 	John Howe 	English Eighth Edition
189 	Goblin Glider 	Creature - Goblin 1/1 	1R 	Uncommon 	Patrick Faricy 	English Eighth Edition
190 	Goblin King 	Creature - Lord 2/2 	1RR 	Rare 	Ron Spears 	English Eighth Edition
191 	Goblin Raider 	Creature - Goblin 2/2 	1R 	Common 	Greg Staples 	English Eighth Edition
192 	Guerrilla Tactics 	Instant 	1R 	Uncommon 	Ron Spencer 	English Eighth Edition
193 	Hammer of Bogardan 	Sorcery 	1RR 	Rare 	Ron Spencer 	English Eighth Edition
194 	Hill Giant 	Creature - Giant 3/3 	3R 	Common 	Dany Orizio 	English Eighth Edition
195 	Hulking Cyclops 	Creature - Giant 5/5 	3RR 	Uncommon 	Paolo Parente 	English Eighth Edition
196 	Inferno 	Instant 	5RR 	Rare 	Don Hazeltine 	English Eighth Edition
197 	Lava Axe 	Sorcery 	4R 	Common 	Brian Snõ 	English Eighth Edition
198 	Lava Hounds 	Creature - Hound 4/4 	2RR 	Rare 	Steve White 	English Eighth Edition
199 	Lesser Gargadon 	Creature - Beast 6/4 	2RR 	Uncommon 	Rob Alexander 	English Eighth Edition
200 	Lightning Blast 	Instant 	3R 	Uncommon 	Richard Thomas 	English Eighth Edition
201 	Lightning Elemental 	Creature - Elemental 4/1 	3R 	Common 	Kev Walker 	English Eighth Edition
202 	Mana Clash 	Sorcery 	R 	Rare 	Ron Spencer 	English Eighth Edition
203 	Mogg Sentry 	Creature - Goblin 1/1 	R 	Rare 	Greg Staples 	English Eighth Edition
204 	Obliterate 	Sorcery 	6RR 	Rare 	Kev Walker 	English Eighth Edition
205 	Ogre Taskmaster 	Creature - Ogre 4/3 	3R 	Uncommon 	Dany Orizio 	English Eighth Edition
206 	Okk 	Creature - Goblin 4/4 	1R 	Rare 	Peter Bollinger 	English Eighth Edition
207 	Orcish Artillery 	Creature - Orc 1/3 	1RR 	Uncommon 	Dan Frazier 	English Eighth Edition
208 	Orcish Spy 	Creature - Orc 1/1 	R 	Common 	Greg Staples 	English Eighth Edition
209 	Panic Attack 	Sorcery 	2R 	Common 	Mike Ploog 	English Eighth Edition
210 	Pyroclasm 	Sorcery 	1R 	Uncommon 	John Avon 	English Eighth Edition
211 	Pyrotechnics 	Sorcery 	4R 	Uncommon 	John Avon 	English Eighth Edition
212 	Raging Goblin 	Creature - Goblin 1/1 	R 	Common 	Jeff Miracola 	English Eighth Edition
213 	Reflexes 	Enchant Creature 	R 	Common 	Steve White 	English Eighth Edition
214 	Relentless Assault 	Sorcery 	2RR 	Rare 	Greg & Tim Hildebrandt 	English Eighth Edition
215 	Ridgeline Rager 	Creature - Beast 1/2 	2R 	Common 	Chippy 	English Eighth Edition
216 	Rukh Egg 	Creature - Egg 0/3 	3R 	Rare 	Mark Zug 	English Eighth Edition
217 	Sabretooth Tiger 	Creature - Cat 2/1 	2R 	Common 	Monte Michael Moore 	English Eighth Edition
218 	Searing Wind 	Instant 	8R 	Rare 	John Matson 	English Eighth Edition
219 	Seismic Assault 	Enchantment 	RRR 	Rare 	Greg Staples 	English Eighth Edition
220 	Shatter 	Instant 	1R 	Common 	Jason Alexander Behnke 	English Eighth Edition
221 	Shivan Dragon 	Creature - Dragon 5/5 	4RR 	Rare 	Donato Giancola 	English Eighth Edition
222 	Shock 	Instant 	R 	Common 	Randy Gallegos 	English Eighth Edition
223 	Shock Troops 	Creature - Soldier 2/2 	3R 	Common 	Jeff Miracola 	English Eighth Edition
224 	Sizzle 	Sorcery 	2R 	Common 	Christopher Moeller 	English Eighth Edition
225 	Stone Rain 	Sorcery 	2R 	Common 	John Matson 	English Eighth Edition
226 	Sudden Impact 	Instant 	3R 	Uncommon 	Greg & Tim Hildebrandt 	English Eighth Edition
227 	Thieves' Auction 	Sorcery 	4RRR 	Rare 	Kevin Murphy 	English Eighth Edition
228 	Tremor 	Sorcery 	R 	Common 	Pete Venters 	English Eighth Edition
229 	Two-Headed Dragon 	Creature - Dragon 4/4 	4RR 	Rare 	Sam Wood 	English Eighth Edition
230 	Viashino Sandstalker 	Creature - Viashino 4/2 	1RR 	Uncommon 	Andrew Robinson 	English Eighth Edition
231 	Volcanic Hammer 	Sorcery 	1R 	Common 	Ben Thompson 	English Eighth Edition
232 	Wall of Stone 	Creature - Wall 0/8 	1RR 	Uncommon 	Rob Alexander 	English Eighth Edition
233 	Birds of Paradise 	Creature - Bird 0/1 	G 	Rare 	Edward P. Beard, Jr. 	English Eighth Edition
234 	Blanchwood Armor 	Enchant Creature 	2G 	Uncommon 	Paolo Parente 	English Eighth Edition
235 	Call of the Wild 	Enchantment 	2GG 	Rare 	Paolo Parente 	English Eighth Edition
236 	Canopy Spider 	Creature - Spider 1/3 	1G 	Common 	Christopher Rush 	English Eighth Edition
237 	Choke 	Enchantment 	2G 	Uncommon 	Terese Nielsen 	English Eighth Edition
238 	Collective Unconscious 	Sorcery 	4GG 	Rare 	Andrew Goldhawk 	English Eighth Edition
239 	Craw Wurm 	Creature - Wurm 6/4 	4GG 	Common 	Heather Hudson 	English Eighth Edition
240 	Creeping Mold 	Sorcery 	2GG 	Uncommon 	Gary Ruddell 	English Eighth Edition
241 	Elvish Champion 	Creature - Lord 2/2 	1GG 	Rare 	Mark Zug 	English Eighth Edition
242 	Elvish Lyrist 	Creature - Elf 1/1 	G 	Uncommon 	Michael Koelsch 	English Eighth Edition
243 	Elvish Pioneer 	Creature - Elf Druid 1/1 	G 	Common 	Thomas M. Baxa 	English Eighth Edition
244 	Elvish Piper 	Creature - Elf 1/1 	3G 	Rare 	Tristan Elwell 	English Eighth Edition
245 	Elvish Scrapper 	Creature - Elf 1/1 	G 	Uncommon 	Edward P. Beard, Jr. 	English Eighth Edition
246 	Emperor Crocodile 	Creature - Crocodile 5/5 	3G 	Rare 	Kev Walker 	English Eighth Edition
247 	Fecundity 	Enchantment 	2G 	Uncommon 	Rebecca Guay 	English Eighth Edition
248 	Fertile Ground 	Enchant Land 	1G 	Common 	Heather Hudson 	English Eighth Edition
249 	Foratog 	Creature - Atog 1/2 	2G 	Uncommon 	Mark Poole 	English Eighth Edition
250 	Fungusaur 	Creature - Fungusaur 2/2 	3G 	Rare 	Heather Hudson 	English Eighth Edition
251 	Fyndhorn Elder 	Creature - Elf 1/1 	2G 	Uncommon 	Donato Giancola 	English Eighth Edition
252 	Gaea's Herald 	Creature - Elf 1/1 	1G 	Rare 	Dan Frazier 	English Eighth Edition
253 	Giant Badger 	Creature - Badger 2/2 	1GG 	Common 	Lars Grant-West 	English Eighth Edition
254 	Giant Growth 	Instant 	G 	Common 	DiTerlizzi 	English Eighth Edition
255 	Giant Spider 	Creature - Spider 2/4 	3G 	Common 	Randy Gallegos 	English Eighth Edition
256 	Grizzly Bears 	Creature - Bear 2/2 	1G 	Common 	D. J. Cleland-Hura 	English Eighth Edition
257 	Horned Troll 	Creature - Troll 2/2 	2G 	Common 	Christopher Moeller 	English Eighth Edition
258 	Hunted Wumpus 	Creature - Beast 6/6 	3G 	Uncommon 	Thomas M. Baxa 	English Eighth Edition
259 	Lhurgoyf 	Creature - Lhurgoyf */1+* 	2GG 	Rare 	Pete Venters 	English Eighth Edition
260 	Living Terrain 	Enchant Land 	2GG 	Uncommon 	Andrew Goldhawk 	English Eighth Edition
261 	Llanowar Behemoth 	Creature - Behemoth 4/4 	3GG 	Uncommon 	Hannibal King 	English Eighth Edition
262 	Lone Wolf 	Creature - Wolf 2/2 	2G 	Common 	Una Fricker 	English Eighth Edition
263 	Lure 	Enchant Creature 	1GG 	Uncommon 	DiTerlizzi 	English Eighth Edition
264 	Maro 	Creature - Elemental */* 	2GG 	Rare 	Stuart Griffin 	English Eighth Edition
265 	Might of Oaks 	Instant 	3G 	Rare 	Greg Staples 	English Eighth Edition
266 	Monstrous Growth 	Sorcery 	1G 	Common 	Ron Spencer 	English Eighth Edition
267 	Moss Monster 	Creature - Monster 3/6 	3GG 	Common 	Glen Angus 	English Eighth Edition
268 	Nantuko Disciple 	Creature - Insect Druid 2/2 	3G 	Common 	Justin Sweet 	English Eighth Edition
269 	Natural Affinity 	Instant 	2G 	Rare 	Pete Venters 	English Eighth Edition
270 	Naturalize 	Instant 	1G 	Common 	Tim Hildebrandt 	English Eighth Edition
271 	Norwood Ranger 	Creature - Elf 1/2 	G 	Common 	Ron Spencer 	English Eighth Edition
272 	Plow Under 	Sorcery 	3GG 	Rare 	Rob Alexander 	English Eighth Edition
273 	Primeval Force 	Creature - Elemental 8/8 	2GGG 	Rare 	Randy Gallegos 	English Eighth Edition
274 	Rampant Growth 	Sorcery 	1G 	Common 	Tom Kyffin 	English Eighth Edition
275 	Regeneration 	Enchant Creature 	1G 	Common 	Adam Rex 	English Eighth Edition
276 	Revive 	Sorcery 	1G 	Uncommon 	Matthew D. Wilson 	English Eighth Edition
277 	Rhox 	Creature - Beast 5/5 	4GG 	Rare 	Carl Critchlow 	English Eighth Edition
278 	Rushwood Dryad 	Creature - Dryad 2/1 	1G 	Common 	Todd Lockwood 	English Eighth Edition
