1 	Abyssal Gatekeeper 	Summon Gatekeeper 1/1 	1B 	Common 	Mark Tedin 	English Weatherlight
30 	Abduction 	Enchant Creature 	2UU 	Uncommon 	Colin MacNeil 	English Weatherlight
31 	Abjure 	Interrupt 	U 	Common 	Ted Naifeh 	English Weatherlight
32 	Ancestral Knowledge 	Enchantment 	1U 	Rare 	Colin MacNeil 	English Weatherlight
33 	Apathy 	Enchant Creature 	U 	Common 	Phil Foglio 	English Weatherlight
34 	Argivian Restoration 	Sorcery 	2UU 	Uncommon 	Roger Raupp 	English Weatherlight
35 	Avizoa 	Summon Avizoa 2/2 	3U 	Rare 	Paolo Parente 	English Weatherlight
36 	Cloud Djinn 	Summon Djinn 5/4 	5U 	Uncommon 	Mike Dringenberg 	English Weatherlight
37 	Disrupt 	Interrupt 	U 	Common 	Adam Rex 	English Weatherlight
38 	Ertai's Familiar 	Summon Illusion 2/2 	1U 	Rare 	Kipling West 	English Weatherlight
39 	Flux 	Sorcery 	2U 	Common 	Richard Kane Ferguson 	English Weatherlight
40 	Fog Elemental 	Summon Elemental 4/4 	2U 	Common 	Jon J Muth 	English Weatherlight
41 	Mana Chains 	Enchant Creature 	U 	Common 	Bryan Talbot 	English Weatherlight
42 	Manta Ray 	Summon Fish 3/3 	1UU 	Common 	Una Fricker 	English Weatherlight
43 	Merfolk Traders 	Summon Merfolk 1/2 	1U 	Common 	DiTerlizzi 	English Weatherlight
44 	Noble Benefactor 	Summon Cleric 2/2 	2U 	Uncommon 	DiTerlizzi 	English Weatherlight
45 	Ophidian 	Summon Snake 1/3 	2U 	Common 	Cliff Nielsen 	English Weatherlight
46 	Paradigm Shift 	Sorcery 	1U 	Rare 	Cliff Nielsen 	English Weatherlight
47 	Pendrell Mists 	Enchantment 	3U 	Rare 	Andrew Robinson 	English Weatherlight
48 	Phantom Warrior 	Summon Illusion 2/2 	1UU 	Uncommon 	John Matson 	English Weatherlight
49 	Phantom Wings 	Enchant Creature 	1U 	Common 	Una Fricker 	English Weatherlight
50 	Psychic Vortex 	Enchantment 	2UU 	Rare 	Steve Luke 	English Weatherlight
51 	Relearn 	Sorcery 	1UU 	Uncommon 	Zina Saunders 	English Weatherlight
52 	Sage Owl 	Summon Bird 1/1 	1U 	Common 	Mark Poole 	English Weatherlight
53 	Teferi's Veil 	Enchantment 	1U 	Uncommon 	Brom 	English Weatherlight
54 	Timid Drake 	Summon Drake 3/3 	2U 	Uncommon 	Mike Dringenberg 	English Weatherlight
55 	Tolarian Drake 	Summon Drake 2/4 	2U 	Common 	Mark Harrison 	English Weatherlight
56 	Tolarian Entrancer 	Summon Wizard 1/1 	1U 	Rare 	Bryan Talbot 	English Weatherlight
57 	Tolarian Serpent 	Summon Serpent 7/7 	5UU 	Rare 	Stuart Griffin 	English Weatherlight
58 	Vodalian Illusionist 	Summon Merfolk 2/2 	2U 	Uncommon 	John Matson 	English Weatherlight
59 	Aboroth 	Summon Aboroth 9/9 	4GG 	Rare 	Brom 	English Weatherlight
60 	Arctic Wolves 	Summon Wolves 4/5 	3GG 	Uncommon 	Steve White 	English Weatherlight
61 	Barishi 	Summon Barishi 4/3 	2GG 	Uncommon 	Ted Naifeh 	English Weatherlight
62 	Blossoming Wreath 	Instant 	G 	Common 	Brian Durfee 	English Weatherlight
63 	Briar Shield 	Enchant Creature 	G 	Common 	Scott Kirschner 	English Weatherlight
64 	Call of the Wild 	Enchantment 	2GG 	Rare 	Brom 	English Weatherlight
65 	Choking Vines 	Instant 	XG 	Common 	Ted Naifeh 	English Weatherlight
66 	Dense Foliage 	Enchantment 	2G 	Rare 	Alan Rabinowitz 	English Weatherlight
67 	Downdraft 	Enchantment 	2G 	Uncommon 	John Matson 	English Weatherlight
68 	Fallow Wurm 	Summon Wurm 4/4 	2G 	Uncommon 	Stephen L. Walsh 	English Weatherlight
69 	Familiar Ground 	Enchantment 	2G 	Uncommon 	Jeff Miracola 	English Weatherlight
70 	Fungus Elemental 	Summon Elemental 3/3 	3G 	Rare 	Scott M. Fischer 	English Weatherlight
71 	Gaea's Blessing 	Sorcery 	1G 	Uncommon 	Rebecca Guay 	English Weatherlight
72 	Harvest Wurm 	Summon Wurm 3/2 	1G 	Common 	Stephen L. Walsh 	English Weatherlight
73 	Liege of the Hollows 	Summon Spirit 3/4 	2GG 	Rare 	Ron Spencer 	English Weatherlight
74 	Llanowar Behemoth 	Summon Behemoth 4/4 	3GG 	Uncommon 	Hannibal King 	English Weatherlight
75 	Llanowar Druid 	Summon Elf 1/2 	1G 	Common 	Pete Venters 	English Weatherlight
76 	Llanowar Sentinel 	Summon Elf 2/3 	2G 	Common 	Douglas Shuler 	English Weatherlight
77 	Mwonvuli Ooze 	Summon Ooze 1+*/1+* 	G 	Rare 	Zina Saunders 	English Weatherlight
78 	Nature's Kiss 	Enchant Creature 	1G 	Common 	Scott M. Fischer 	English Weatherlight
79 	Nature's Resurgence 	Sorcery 	2GG 	Rare 	Scott M. Fischer 	English Weatherlight
80 	Redwood Treefolk 	Summon Treefolk 3/6 	4G 	Common 	Phil Foglio 	English Weatherlight
81 	Rogue Elephant 	Summon Elephant 3/3 	G 	Common 	Steve White 	English Weatherlight
82 	Striped Bears 	Summon Bears 2/2 	3G 	Common 	Una Fricker 	English Weatherlight
83 	Sylvan Hierophant 	Summon Cleric 1/2 	1G 	Uncommon 	Brian Durfee 	English Weatherlight
84 	Tranquil Grove 	Enchantment 	1G 	Rare 	Dylan Martens 	English Weatherlight
85 	Uktabi Efreet 	Summon Efreet 5/4 	2GG 	Common 	Alan Rabinowitz 	English Weatherlight
86 	Veteran Explorer 	Summon Soldier 1/1 	G 	Uncommon 	David A. Cherry 	English Weatherlight
87 	Vitalize 	Instant 	G 	Common 	Pete Venters 	English Weatherlight
88 	Æher Flash 	Enchantment 	2RR 	Uncommon 	Ron Spencer 	English Weatherlight
89 	Betrothed of Fire 	Enchant Creature 	1R 	Common 	Clint Langley 	English Weatherlight
90 	Bloodrock Cyclops 	Summon Cyclops 3/3 	2R 	Common 	Tom Wärstrand 	English Weatherlight
91 	Bogardan Firefiend 	Summon Spirit 2/1 	2R 	Common 	Terese Nielsen 	English Weatherlight
92 	Boiling Blood 	Instant 	2R 	Common 	Cliff Nielsen 	English Weatherlight
93 	Cinder Giant 	Summon Giant 5/3 	3R 	Uncommon 	Rogéo Vilela 	English Weatherlight
94 	Cinder Wall 	Summon Wall 3/3 	R 	Common 	Randy Gallegos 	English Weatherlight
95 	Cone of Flame 	Sorcery 	3RR 	Uncommon 	Ron Spencer 	English Weatherlight
96 	Desperate Gambit 	Instant 	R 	Uncommon 	Pete Venters 	English Weatherlight
97 	Dwarven Berserker 	Summon Dwarf 1/1 	1R 	Common 	Douglas Shuler 	English Weatherlight
98 	Dwarven Thaumaturgist 	Summon Dwarf 1/2 	2R 	Rare 	Kipling West 	English Weatherlight
99 	Fervor 	Enchantment 	2R 	Rare 	Franz Vohwinkel 	English Weatherlight
100 	Fire Whip 	Enchant Creature 	1R 	Common 	Jeff Miracola 	English Weatherlight
101 	Firestorm 	Instant 	R 	Rare 	Jeff Miracola 	English Weatherlight
102 	Fit of Rage 	Sorcery 	1R 	Common 	Douglas Shuler 	English Weatherlight
103 	Goblin Bomb 	Enchantment 	1R 	Rare 	Ron Spencer 	English Weatherlight
104 	Goblin Grenadiers 	Summon Goblins 2/2 	3R 	Uncommon 	Dan Frazier 	English Weatherlight
105 	Goblin Vandal 	Summon Goblin 1/1 	R 	Common 	Franz Vohwinkel 	English Weatherlight
106 	Heart of Bogardan 	Enchantment 	2RR 	Rare 	Terese Nielsen 	English Weatherlight
107 	Heat Stroke 	Enchantment 	2R 	Rare 	Andrew Robinson 	English Weatherlight
108 	Hurloon Shaman 	Summon Minotaur 2/3 	1RR 	Uncommon 	Scott M. Fischer 	English Weatherlight
109 	Lava Hounds 	Summon Hounds 4/4 	2RR 	Uncommon 	Steve White 	English Weatherlight
110 	Lava Storm 	Instant 	3RR 	Common 	Scott Kirschner 	English Weatherlight
111 	Maraxus of Keld 	Summon Legend */* 	4RR 	Rare 	Adrian Smith 	English Weatherlight
112 	Orcish Settlers 	Summon Orcs 1/1 	1R 	Uncommon 	Pete Venters 	English Weatherlight
113 	Roc Hatchling 	Summon Bird 0/1 	R 	Uncommon 	Una Fricker 	English Weatherlight
114 	Sawtooth Ogre 	Summon Ogre 3/3 	2RR 	Common 	Brom 	English Weatherlight
115 	Thunderbolt 	Instant 	1R 	Common 	Dylan Martens 	English Weatherlight
116 	Thundermare 	Summon Thundermare 5/5 	5R 	Rare 	Bob Eggleton 	English Weatherlight
117 	Abeyance 	Instant 	1W 	Rare 	Thomas Gianni 	English Weatherlight
118 	Alabaster Dragon 	Summon Dragon 4/4 	4WW 	Rare 	Bob Eggleton 	English Weatherlight
119 	Alms 	Enchantment 	W 	Common 	Rogéo Vilela 	English Weatherlight
120 	Angelic Renewal 	Enchantment 	1W 	Common 	Rebecca Guay 	English Weatherlight
121 	Ardent Militia 	Summon Soldiers 2/5 	4W 	Common 	Zina Saunders 	English Weatherlight
122 	Argivian Find 	Instant 	W 	Uncommon 	Roger Raupp 	English Weatherlight
123 	Aura of Silence 	Enchantment 	1WW 	Uncommon 	D. Alexander Gregory 	English Weatherlight
124 	Benalish Infantry 	Summon Soldiers 1/3 	2W 	Common 	Dan Frazier 	English Weatherlight
125 	Benalish Knight 	Summon Knight 2/2 	2W 	Common 	Zina Saunders 	English Weatherlight
126 	Benalish Missionary 	Summon Cleric 1/1 	W 	Common 	Pete Venters 	English Weatherlight
127 	Debt of Loyalty 	Instant 	1WW 	Rare 	Pete Venters 	English Weatherlight
128 	Duskrider Falcon 	Summon Falcon 1/1 	1W 	Common 	Cecil Fernando 	English Weatherlight
129 	Empyrial Armor 	Enchant Creature 	1WW 	Common 	D. Alexander Gregory 	English Weatherlight
130 	Foriysian Brigade 	Summon Soldiers 2/4 	3W 	Uncommon 	Kev Walker 	English Weatherlight
131 	Gerrard's Wisdom 	Sorcery 	2WW 	Uncommon 	Heather Hudson 	English Weatherlight
132 	Guided Strike 	Instant 	1W 	Common 	Gary Leach 	English Weatherlight
133 	Heavy Ballista 	Summon Soldiers 2/3 	3W 	Common 	Ron Spencer 	English Weatherlight
134 	Inner Sanctum 	Enchantment 	1WW 	Rare 	D. Alexander Gregory 	English Weatherlight
135 	Kithkin Armor 	Enchant Creature 	W 	Common 	Charles Gillespie 	English Weatherlight
136 	Master of Arms 	Summon Soldier 2/2 	2W 	Uncommon 	Dan Frazier 	English Weatherlight
137 	Mistmoon Griffin 	Summon Griffin 2/2 	3W 	Uncommon 	David A. Cherry 	English Weatherlight
138 	Peacekeeper 	Summon Peacekeeper 1/1 	2W 	Rare 	Donato Giancola 	English Weatherlight
139 	Revered Unicorn 	Summon Unicorn 2/3 	1W 	Uncommon 	David A. Cherry 	English Weatherlight
140 	Serenity 	Enchantment 	1W 	Rare 	Cliff Nielsen 	English Weatherlight
141 	Serra's Blessing 	Enchantment 	1W 	Uncommon 	Rebecca Guay 	English Weatherlight
142 	Soul Shepherd 	Summon Cleric 2/1 	1W 	Common 	John Coulthart 	English Weatherlight
143 	Southern Paladin 	Summon Knight 3/3 	2WW 	Rare 	Douglas Shuler 	English Weatherlight
144 	Tariff 	Sorcery 	1W 	Rare 	Kev Walker 	English Weatherlight
145 	Volunteer Reserves 	Summon Soldiers 2/4 	1W 	Uncommon 	Kev Walker 	English Weatherlight
146 	Böm Strip 	Artifact 	3 	Rare 	Steve Luke 	English Weatherlight
147 	Bubble Matrix 	Artifact 	4 	Rare 	Brom 	English Weatherlight
148 	Chimeric Sphere 	Artifact 	3 	Uncommon 	Colin MacNeil 	English Weatherlight
149 	Dingus Staff 	Artifact 	4 	Uncommon 	Richard Kane Ferguson 	English Weatherlight
150 	Jabari's Banner 	Artifact 	2 	Uncommon 	Mark Harrison 	English Weatherlight
151 	Jangling Automaton 	Artifact Creature 3/2 	3 	Common 	Adam Rex 	English Weatherlight
152 	Mana Web 	Artifact 	3 	Rare 	Hannibal King 	English Weatherlight
153 	Mind Stone 	Artifact 	2 	Common 	Adam Rex 	English Weatherlight
154 	Null Rod 	Artifact 	2 	Rare 	Anson Maddocks 	English Weatherlight
155 	Phyrexian Furnace 	Artifact 	1 	Uncommon 	George Pratt 	English Weatherlight
156 	Serrated Biskelion 	Artifact Creature 2/2 	3 	Uncommon 	Ron Spencer 	English Weatherlight
157 	Steel Golem 	Artifact Creature 3/4 	3 	Uncommon 	Donato Giancola 	English Weatherlight
158 	Straw Golem 	Artifact Creature 2/3 	1 	Uncommon 	Bryan Talbot 	English Weatherlight
159 	Thran Forge 	Artifact 	3 	Uncommon 	Mark Poole 	English Weatherlight
160 	Thran Tome 	Artifact 	4 	Rare 	Donato Giancola 	English Weatherlight
161 	Touchstone 	Artifact 	2 	Uncommon 	George Pratt 	English Weatherlight
162 	Well of Knowledge 	Artifact 	3 	Rare 	D. Alexander Gregory 	English Weatherlight
163 	Xanthic Statue 	Artifact 	8 	Rare 	Hannibal King 	English Weatherlight
164 	Gemstone Mine 	Land 		Uncommon 	Brom 	English Weatherlight
165 	Lotus Vale 	Land 		Rare 	John Avon 	English Weatherlight
166 	Scorched Ruins 	Land 		Rare 	John Avon 	English Weatherlight
167 	Winding Canyons 	Land 		Rare 	John Avon 	English Weatherlight
