1 	Abandon Hope 	Sorcery 	X1B 	Uncommon 	Alan Pollack 	English Tempest
30 	Fevered Convulsions 	Enchantment 	BB 	Rare 	Jeff Miracola 	English Tempest
31 	Gravedigger 	Summon Zombie 2/2 	3B 	Common 	Dermot Power 	English Tempest
32 	Imps' Taunt 	Instant 	1B 	Uncommon 	Colin MacNeil 	English Tempest
33 	Kezzerdrix 	Summon Beast 4/4 	2BB 	Rare 	Matthew Wilson 	English Tempest
34 	Knight of Dusk 	Summon Knight 2/2 	1BB 	Uncommon 	Ron Spencer 	English Tempest
35 	Leeching Licid 	Summon Licid 1/1 	1B 	Uncommon 	Joel Biske 	English Tempest
36 	Living Death 	Sorcery 	3BB 	Rare 	Charles Gillespie 	English Tempest
37 	Maddening Imp 	Summon Imp 1/1 	2B 	Rare 	Zina Saunders 	English Tempest
38 	Marsh Lurker 	Summon Beast 3/2 	3B 	Common 	Tom Kyffin 	English Tempest
39 	Mindwhip Sliver 	Summon Sliver 2/2 	2B 	Uncommon 	Jeff Miracola 	English Tempest
40 	Minion of the Wastes 	Summon Minion */* 	3BBB 	Rare 	Scott Kirschner 	English Tempest
41 	Perish 	Sorcery 	2B 	Uncommon 	Rebecca Guay 	English Tempest
42 	Pit Imp 	Summon Imp 0/1 	B 	Common 	Phil Foglio 	English Tempest
43 	Rain of Tears 	Sorcery 	1BB 	Uncommon 	Charles Gillespie 	English Tempest
44 	Rats of Rath 	Summon Rats 2/1 	1B 	Common 	John Matson 	English Tempest
45 	Reanimate 	Sorcery 	B 	Uncommon 	Robert Bliss 	English Tempest
46 	Reckless Spite 	Instant 	1BB 	Uncommon 	Pete Venters 	English Tempest
47 	Sadistic Glee 	Enchant Creature 	B 	Common 	Pete Venters 	English Tempest
48 	Sarcomancy 	Enchantment 	B 	Rare 	Daren Bader 	English Tempest
49 	Screeching Harpy 	Summon Beast 2/2 	2BB 	Uncommon 	Una Fricker 	English Tempest
50 	Servant of Volrath 	Summon Minion 3/3 	2B 	Common 	Brian Snõ 	English Tempest
51 	Skyshroud Vampire 	Summon Vampire 3/3 	3BB 	Uncommon 	Gary Leach 	English Tempest
52 	Souldrinker 	Summon Spirit 2/2 	3B 	Uncommon 	Dermot Power 	English Tempest
53 	Spinal Graft 	Enchant Creature 	1B 	Common 	Ron Spencer 	English Tempest
54 	Benthic Behemoth 	Summon Serpent 7/6 	5UUU 	Rare 	Jim Nelson 	English Tempest
55 	Capsize 	Instant 	1UU 	Common 	Tom Wärstrand 	English Tempest
56 	Chill 	Enchantment 	1U 	Uncommon 	Greg Simanson 	English Tempest
57 	Counterspell 	Interrupt 	UU 	Common 	Stephen Daniele 	English Tempest
58 	Dismiss 	Interrupt 	2UU 	Uncommon 	Donato Giancola 	English Tempest
59 	Dream Cache 	Sorcery 	2U 	Common 	Phil Foglio 	English Tempest
60 	Duplicity 	Enchantment 	3UU 	Rare 	Dan Frazier 	English Tempest
61 	Ertai's Meddling 	Interrupt 	XU 	Rare 	Steve Luke 	English Tempest
62 	Escaped Shapeshifter 	Summon Shapeshifter 3/4 	3UU 	Rare 	Douglas Shuler 	English Tempest
63 	Fighting Drake 	Summon Drake 2/4 	2UU 	Uncommon 	DiTerlizzi 	English Tempest
64 	Fylamarid 	Summon Beast 1/3 	1UU 	Uncommon 	Una Fricker 	English Tempest
65 	Gaseous Form 	Enchant Creature 	2U 	Common 	Roger Raupp 	English Tempest
66 	Giant Crab 	Summon Crab 3/3 	4U 	Common 	Tom Kyffin 	English Tempest
67 	Horned Turtle 	Summon Turtle 1/4 	2U 	Common 	DiTerlizzi 	English Tempest
68 	Insight 	Enchantment 	2U 	Uncommon 	Ron Chironna 	English Tempest
69 	Interdict 	Interrupt 	1U 	Uncommon 	Jeff Laubenstein 	English Tempest
70 	Intuition 	Instant 	2U 	Rare 	April Lee 	English Tempest
71 	Legacy's Allure 	Enchantment 	UU 	Uncommon 	Daren Bader 	English Tempest
72 	Legerdemain 	Sorcery 	2UU 	Uncommon 	Daren Bader 	English Tempest
73 	Mana Severance 	Sorcery 	1U 	Rare 	Terese Nielsen 	English Tempest
74 	Manta Riders 	Summon Merfolk 1/1 	U 	Common 	Kaja Foglio 	English Tempest
75 	Mawcor 	Summon Beast 3/3 	3UU 	Rare 	John Matson 	English Tempest
76 	Meditate 	Instant 	2U 	Rare 	Susan Van Camp 	English Tempest
77 	Mnemonic Sliver 	Summon Sliver 2/2 	2U 	Uncommon 	Randy Gallegos 	English Tempest
78 	Power Sink 	Interrupt 	XU 	Common 	Jeff Miracola 	English Tempest
79 	Precognition 	Enchantment 	4U 	Rare 	Jeff Miracola 	English Tempest
80 	Propaganda 	Enchantment 	2U 	Uncommon 	Jeff Miracola 	English Tempest
81 	Rootwater Diver 	Summon Merfolk 1/1 	U 	Uncommon 	Ron Spencer 	English Tempest
82 	Rootwater Hunter 	Summon Merfolk 1/1 	2U 	Common 	Brom 	English Tempest
83 	Rootwater Matriarch 	Summon Merfolk 2/3 	2UU 	Rare 	Randy Gallegos 	English Tempest
84 	Rootwater Shaman 	Summon Merfolk 2/2 	2U 	Rare 	Paolo Parente 	English Tempest
85 	Sea Monster 	Summon Serpent 6/6 	4UU 	Common 	Daniel Gelon 	English Tempest
86 	Shadow Rift 	Instant 	U 	Common 	Adam Rex 	English Tempest
87 	Shimmering Wings 	Enchant Creature 	U 	Common 	Steve Luke 	English Tempest
88 	Skyshroud Condor 	Summon Bird 2/2 	1U 	Uncommon 	Doug Chaffee 	English Tempest
89 	Spell Blast 	Interrupt 	XU 	Common 	Steve Luke 	English Tempest
90 	Steal Enchantment 	Enchant Enchantment 	UU 	Uncommon 	Hannibal King 	English Tempest
91 	Stinging Licid 	Summon Licid 1/1 	1U 	Uncommon 	Paolo Parente 	English Tempest
92 	Thalakos Dreamsower 	Summon Wizard 1/1 	2U 	Uncommon 	Susan Van Camp 	English Tempest
93 	Thalakos Mistfolk 	Summon Illusion 2/1 	2U 	Common 	Richard Kane Ferguson 	English Tempest
94 	Thalakos Seer 	Summon Wizard 1/1 	UU 	Common 	Ron Spencer 	English Tempest
95 	Thalakos Sentry 	Summon Soldier 1/2 	1U 	Common 	Andrew Robinson 	English Tempest
96 	Time Ebb 	Sorcery 	2U 	Common 	Thomas M. Baxa 	English Tempest
97 	Time Warp 	Sorcery 	3UU 	Rare 	Pete Venters 	English Tempest
98 	Tradewind Rider 	Summon Spirit 1/4 	3U 	Rare 	John Matson 	English Tempest
99 	Twitch 	Instant 	2U 	Common 	DiTerlizzi 	English Tempest
100 	Unstable Shapeshifter 	Summon Shapeshifter 0/1 	3U 	Rare 	Terese Nielsen 	English Tempest
101 	Volrath's Curse 	Enchant Creature 	1U 	Common 	Daren Bader 	English Tempest
102 	Whim of Volrath 	Instant 	U 	Rare 	Anthony S. Waters 	English Tempest
103 	Whispers of the Muse 	Instant 	U 	Uncommon 	Quinton Hoover 	English Tempest
104 	Wind Dancer 	Summon Faerie 1/1 	1U 	Uncommon 	Susan Van Camp 	English Tempest
105 	Wind Drake 	Summon Drake 2/2 	2U 	Common 	Greg Simanson 	English Tempest
106 	Winged Sliver 	Summon Sliver 1/1 	1U 	Common 	Anthony S. Waters 	English Tempest
107 	Aluren 	Enchantment 	2GG 	Rare 	April Lee 	English Tempest
108 	Apes of Rath 	Summon Apes 5/4 	2GG 	Uncommon 	Jeff Laubenstein 	English Tempest
109 	Bayou Dragonfly 	Summon Insect 1/1 	1G 	Common 	DiTerlizzi 	English Tempest
110 	Broken Fall 	Enchantment 	2G 	Common 	Zina Saunders 	English Tempest
111 	Canopy Spider 	Summon Spider 1/3 	1G 	Common 	Christopher Rush 	English Tempest
112 	Charging Rhino 	Summon Rhino 4/4 	3GG 	Uncommon 	Daren Bader 	English Tempest
113 	Choke 	Enchantment 	2G 	Uncommon 	Terese Nielsen 	English Tempest
114 	Crazed Armodon 	Summon Elephant 3/3 	2GG 	Rare 	Gary Leach 	English Tempest
115 	Dirtcowl Wurm 	Summon Wurm 3/4 	4G 	Rare 	Dan Frazier 	English Tempest
116 	Earthcraft 	Enchantment 	1G 	Rare 	Randy Gallegos 	English Tempest
117 	Eladamri, Lord of Leaves 	Summon Legend 2/2 	GG 	Rare 	Ron Chironna 	English Tempest
118 	Eladamri's Vineyard 	Enchantment 	G 	Rare 	Ron Chironna 	English Tempest
119 	Elven Warhounds 	Summon Hounds 2/2 	3G 	Rare 	Kev Walker 	English Tempest
120 	Elvish Fury 	Instant 	G 	Common 	Quinton Hoover 	English Tempest
121 	Flailing Drake 	Summon Drake 2/3 	3G 	Uncommon 	Heather Hudson 	English Tempest
122 	Frog Tongue 	Enchant Creature 	G 	Common 	Phil Foglio 	English Tempest
123 	Fugitive Druid 	Summon Druid 3/2 	3G 	Rare 	Quinton Hoover 	English Tempest
124 	Harrow 	Instant 	2G 	Uncommon 	Eric David Anderson 	English Tempest
125 	Heartwood Dryad 	Summon Dryad 2/1 	1G 	Common 	Rebecca Guay 	English Tempest
126 	Heartwood Giant 	Summon Giant 4/4 	3GG 	Rare 	Randy Elliott 	English Tempest
127 	Heartwood Treefolk 	Summon Treefolk 3/4 	2GG 	Uncommon 	Daren Bader 	English Tempest
128 	Horned Sliver 	Summon Sliver 2/2 	2G 	Uncommon 	L. A. Williams 	English Tempest
129 	Krakilin 	Summon Beast 0/0 	XGG 	Uncommon 	Richard Kane Ferguson 	English Tempest
130 	Mirri's Guile 	Enchantment 	G 	Rare 	Brom 	English Tempest
131 	Mongrel Pack 	Summon Hounds 4/1 	3G 	Rare 	Jeff Miracola 	English Tempest
132 	Muscle Sliver 	Summon Sliver 1/1 	1G 	Common 	Richard Kane Ferguson 	English Tempest
133 	Natural Spring 	Sorcery 	3GG 	Common 	Susan Van Camp 	English Tempest
134 	Nature's Revolt 	Enchantment 	3GG 	Rare 	Donato Giancola 	English Tempest
135 	Needle Storm 	Sorcery 	2G 	Uncommon 	Val Mayerik 	English Tempest
136 	Nurturing Licid 	Summon Licid 1/1 	1G 	Uncommon 	Mark Poole 	English Tempest
137 	Overrun 	Sorcery 	2GGG 	Uncommon 	Jeff Miracola 	English Tempest
138 	Pincher Beetles 	Summon Insects 3/1 	2G 	Common 	Stephen Daniele 	English Tempest
139 	Rampant Growth 	Sorcery 	1G 	Common 	Tom Kyffin 	English Tempest
140 	Reality Anchor 	Instant 	1G 	Common 	Randy Gallegos 	English Tempest
141 	Reap 	Instant 	1G 	Uncommon 	Ron Chironna 	English Tempest
142 	Recycle 	Enchantment 	4GG 	Rare 	Phil Foglio 	English Tempest
143 	Respite 	Instant 	1G 	Common 	Rebecca Guay 	English Tempest
144 	Root Maze 	Enchantment 	G 	Rare 	Rebecca Guay 	English Tempest
145 	Rootbreaker Wurm 	Summon Wurm 6/6 	5GG 	Common 	Richard Kane Ferguson 	English Tempest
146 	Rootwalla 	Summon Lizard 2/2 	2G 	Common 	Roger Raupp 	English Tempest
147 	Scragnoth 	Summon Beast 3/4 	4G 	Uncommon 	Jeff Laubenstein 	English Tempest
148 	Seeker of Skybreak 	Summon Elf 2/1 	1G 	Common 	Daren Bader 	English Tempest
149 	Skyshroud Elf 	Summon Elf 1/1 	1G 	Common 	Jeff Miracola 	English Tempest
150 	Skyshroud Ranger 	Summon Elf 1/1 	G 	Common 	Steve Luke 	English Tempest
151 	Skyshroud Troll 	Summon Giant 3/3 	2GG 	Common 	Matthew Wilson 	English Tempest
152 	Spike Drone 	Summon Spike 0/0 	G 	Common 	Charles Gillespie 	English Tempest
153 	Storm Front 	Enchantment 	G 	Uncommon 	William O'Connor 	English Tempest
154 	Trained Armodon 	Summon Elephant 3/3 	1GG 	Common 	Gary Leach 	English Tempest
155 	Tranquility 	Sorcery 	2G 	Common 	Margaret Organ-Kean 	English Tempest
156 	Trumpeting Armodon 	Summon Elephant 3/3 	3G 	Uncommon 	Gary Leach 	English Tempest
157 	Verdant Force 	Summon Elemental 7/7 	5GGG 	Rare 	DiTerlizzi 	English Tempest
158 	Verdigris 	Instant 	2G 	Uncommon 	Zina Saunders 	English Tempest
159 	Winter's Grasp 	Sorcery 	1GG 	Uncommon 	Tom Wärstrand 	English Tempest
160 	Aftershock 	Sorcery 	2RR 	Common 	Hannibal King 	English Tempest
161 	Ancient Runes 	Enchantment 	2R 	Uncommon 	Susan Van Camp 	English Tempest
162 	Apocalypse 	Sorcery 	2RRR 	Rare 	L. A. Williams 	English Tempest
163 	Barbed Sliver 	Summon Sliver 2/2 	2R 	Uncommon 	Scott Kirschner 	English Tempest
164 	Blood Frenzy 	Instant 	1R 	Common 	Paolo Parente 	English Tempest
165 	Boil 	Instant 	3R 	Uncommon 	Jason Alexander Behnke 	English Tempest
166 	Canyon Drake 	Summon Drake 1/2 	2RR 	Rare 	Quinton Hoover 	English Tempest
167 	Canyon Wildcat 	Summon Cat 2/1 	1R 	Common 	Gary Leach 	English Tempest
168 	Chaotic Goo 	Summon Ooze 0/0 	2RR 	Rare 	L. A. Williams 	English Tempest
169 	Crown of Flames 	Enchant Creature 	R 	Common 	William O'Connor 	English Tempest
170 	Deadshot 	Sorcery 	3R 	Rare 	Heather Hudson 	English Tempest
171 	Enraging Licid 	Summon Licid 1/1 	1R 	Uncommon 	Doug Chaffee 	English Tempest
172 	Firefly 	Summon Insect 1/1 	3R 	Uncommon 	Stephen Daniele 	English Tempest
173 	Fireslinger 	Summon Wizard 1/1 	1R 	Common 	Jeff Reitz 	English Tempest
174 	Flowstone Giant 	Summon Giant 3/3 	2RR 	Common 	Joel Biske 	English Tempest
175 	Flowstone Salamander 	Summon Salamander 3/4 	3RR 	Uncommon 	Daniel Gelon 	English Tempest
176 	Flowstone Wyvern 	Summon Drake 3/3 	3RR 	Rare 	Stephen Daniele 	English Tempest
177 	Furnace of Rath 	Enchantment 	1RRR 	Rare 	John Matson 	English Tempest
178 	Giant Strength 	Enchant Creature 	RR 	Common 	Pete Venters 	English Tempest
179 	Goblin Bombardment 	Enchantment 	1R 	Uncommon 	Brian Snõ 	English Tempest
180 	Hand to Hand 	Enchantment 	2R 	Rare 	Carl Frank 	English Tempest
181 	Havoc 	Enchantment 	1R 	Uncommon 	Donato Giancola 	English Tempest
182 	Heart Sliver 	Summon Sliver 1/1 	1R 	Common 	Ron Spencer 	English Tempest
183 	Jackal Pup 	Summon Hound 2/1 	R 	Uncommon 	Susan Van Camp 	English Tempest
184 	Kindle 	Instant 	1R 	Common 	Donato Giancola 	English Tempest
185 	Lightning Blast 	Instant 	3R 	Common 	Richard Thomas 	English Tempest
186 	Lightning Elemental 	Summon Elemental 4/1 	3R 	Common 	D. Alexander Gregory 	English Tempest
187 	Lowland Giant 	Summon Giant 4/3 	2RR 	Common 	Paolo Parente 	English Tempest
188 	Magmasaur 	Summon Elemental 0/0 	3RR 	Rare 	Daniel Gelon 	English Tempest
189 	Mogg Conscripts 	Summon Goblins 2/2 	R 	Common 	Pete Venters 	English Tempest
190 	Mogg Fanatic 	Summon Goblin 1/1 	R 	Common 	Brom 	English Tempest
191 	Mogg Raider 	Summon Goblin 1/1 	R 	Common 	Brian Snõ 	English Tempest
192 	Mogg Squad 	Summon Goblins 3/3 	1R 	Uncommon 	Joel Biske 	English Tempest
193 	No Quarter 	Enchantment 	3R 	Rare 	Doug Chaffee 	English Tempest
194 	Opportunist 	Summon Soldier 2/2 	2R 	Uncommon 	Dan Frazier 	English Tempest
195 	Pallimud 	Summon Beast */3 	2R 	Rare 	Quinton Hoover 	English Tempest
196 	Rathi Dragon 	Summon Dragon 5/5 	2RR 	Rare 	Christopher Rush 	English Tempest
197 	Renegade Warlord 	Summon Soldier 3/3 	4R 	Uncommon 	Ron Spencer 	English Tempest
198 	Rolling Thunder 	Sorcery 	XRR 	Common 	Richard Thomas 	English Tempest
199 	Sandstone Warrior 	Summon Soldier 1/3 	2RR 	Common 	Stephen Daniele 	English Tempest
200 	Scorched Earth 	Sorcery 	XR 	Rare 	Nicola Leonard 	English Tempest
201 	Searing Touch 	Instant 	R 	Uncommon 	D. Alexander Gregory 	English Tempest
202 	Shadowstorm 	Sorcery 	R 	Uncommon 	Adam Rex 	English Tempest
203 	Shatter 	Instant 	1R 	Common 	Jason Alexander Behnke 	English Tempest
204 	Shocker 	Summon Insect 1/1 	1R 	Rare 	Thomas M. Baxa 	English Tempest
205 	Starke of Rath 	Summon Legend 2/2 	1RR 	Rare 	Dan Frazier 	English Tempest
206 	Stone Rain 	Sorcery 	2R 	Common 	Christopher Rush 	English Tempest
207 	Stun 	Instant 	1R 	Common 	Terese Nielsen 	English Tempest
208 	Sudden Impact 	Instant 	3R 	Uncommon 	Alan Pollack 	English Tempest
209 	Tahngarth's Rage 	Enchant Creature 	R 	Uncommon 	Hannibal King 	English Tempest
210 	Tooth and Claw 	Enchantment 	3R 	Rare 	Val Mayerik 	English Tempest
211 	Wall of Diffusion 	Summon Wall 0/5 	1R 	Common 	DiTerlizzi 	English Tempest
212 	Wild Wurm 	Summon Wurm 5/4 	3R 	Uncommon 	Randy Elliott 	English Tempest
213 	Advance Scout 	Summon Soldier 1/1 	1W 	Common 	Heather Hudson 	English Tempest
214 	Angelic Protector 	Summon Angel 2/2 	3W 	Uncommon 	DiTerlizzi 	English Tempest
215 	Anoint 	Instant 	W 	Common 	Eric David Anderson 	English Tempest
216 	Armor Sliver 	Summon Sliver 2/2 	2W 	Uncommon 	Scott Kirschner 	English Tempest
217 	Armored Pegasus 	Summon Pegasus 1/2 	1W 	Common 	Una Fricker 	English Tempest
218 	Auratog 	Summon Atog 1/2 	1W 	Rare 	Jeff Miracola 	English Tempest
219 	Avenging Angel 	Summon Angel 3/3 	3WW 	Rare 	Matthew Wilson 	English Tempest
220 	Circle of Protection: Black 	Enchantment 	1W 	Common 	Harold McNeill 	English Tempest
221 	Circle of Protection: Blue 	Enchantment 	1W 	Common 	Harold McNeill 	English Tempest
222 	Circle of Protection: Green 	Enchantment 	1W 	Common 	Harold McNeill 	English Tempest
223 	Circle of Protection: Red 	Enchantment 	1W 	Common 	Harold McNeill 	English Tempest
224 	Circle of Protection: Shadow 	Enchantment 	1W 	Common 	Harold McNeill 	English Tempest
225 	Circle of Protection: White 	Enchantment 	1W 	Common 	Harold McNeill 	English Tempest
226 	Clergy en-Vec 	Summon Cleric 1/1 	1W 	Common 	Heather Hudson 	English Tempest
227 	Cloudchaser Eagle 	Summon Bird 2/2 	3W 	Common 	Una Fricker 	English Tempest
228 	Disenchant 	Instant 	1W 	Common 	L. A. Williams 	English Tempest
229 	Elite Javelineer 	Summon Soldier 2/2 	2W 	Common 	Mark Poole 	English Tempest
230 	Field of Souls 	Enchantment 	2WW 	Rare 	Richard Kane Ferguson 	English Tempest
231 	Flickering Ward 	Enchant Creature 	W 	Uncommon 	Greg Simanson 	English Tempest
232 	Gallantry 	Instant 	1W 	Uncommon 	Douglas Shuler 	English Tempest
233 	Gerrard's Battle Cry 	Enchantment 	W 	Rare 	Val Mayerik 	English Tempest
234 	Hanna's Custody 	Enchantment 	2W 	Rare 	DiTerlizzi 	English Tempest
235 	Hero's Resolve 	Enchant Creature 	1W 	Common 	Pete Venters 	English Tempest
236 	Humility 	Enchantment 	2WW 	Rare 	Phil Foglio 	English Tempest
237 	Invulnerability 	Instant 	1W 	Uncommon 	Brian Snõ 	English Tempest
238 	Knight of Dawn 	Summon Knight 2/2 	1WW 	Uncommon 	Ron Spencer 	English Tempest
239 	Light of Day 	Enchantment 	3W 	Uncommon 	Drew Tucker 	English Tempest
240 	Marble Titan 	Summon Giant 3/3 	3W 	Rare 	Brom 	English Tempest
241 	Master Decoy 	Summon Soldier 1/2 	1W 	Common 	Phil Foglio 	English Tempest
242 	Mounted Archers 	Summon Soldiers 2/3 	3W 	Common 	Kev Walker 	English Tempest
243 	Oracle en-Vec 	Summon Wizard 1/1 	1W 	Rare 	Dan Frazier 	English Tempest
244 	Orim, Samite Healer 	Summon Legend 1/3 	1WW 	Rare 	Kaja Foglio 	English Tempest
245 	Orim's Prayer 	Enchantment 	1WW 	Uncommon 	Donato Giancola 	English Tempest
246 	Pacifism 	Enchant Creature 	1W 	Common 	Adam Rex 	English Tempest
247 	Pegasus Refuge 	Enchantment 	3W 	Rare 	Kev Walker 	English Tempest
248 	Quickening Licid 	Summon Licid 1/1 	1W 	Uncommon 	Andrew Robinson 	English Tempest
249 	Repentance 	Sorcery 	2W 	Uncommon 	Ron Spencer 	English Tempest
250 	Sacred Guide 	Summon Cleric 1/1 	W 	Rare 	Zina Saunders 	English Tempest
251 	Safeguard 	Enchantment 	3WW 	Rare 	Thomas M. Baxa 	English Tempest
252 	Serene Offering 	Instant 	1W 	Uncommon 	Paolo Parente 	English Tempest
253 	Soltari Crusader 	Summon Knight 2/1 	2W 	Uncommon 	Randy Gallegos 	English Tempest
254 	Soltari Emissary 	Summon Soldier 2/1 	1W 	Rare 	Adam Rex 	English Tempest
255 	Soltari Foot Soldier 	Summon Soldier 1/1 	W 	Common 	Janet Aulisio 	English Tempest
256 	Soltari Lancer 	Summon Knight 2/2 	2W 	Common 	Matthew Wilson 	English Tempest
257 	Soltari Monk 	Summon Cleric 2/1 	WW 	Uncommon 	Janet Aulisio 	English Tempest
258 	Soltari Priest 	Summon Cleric 2/1 	WW 	Uncommon 	Janet Aulisio 	English Tempest
259 	Soltari Trooper 	Summon Soldier 1/1 	1W 	Common 	Kev Walker 	English Tempest
260 	Spirit Mirror 	Enchantment 	2WW 	Rare 	D. Alexander Gregory 	English Tempest
261 	Staunch Defenders 	Summon Soldiers 3/4 	3WW 	Uncommon 	Mark Poole 	English Tempest
262 	Talon Sliver 	Summon Sliver 1/1 	1W 	Common 	Mike Raabe 	English Tempest
263 	Warmth 	Enchantment 	1W 	Uncommon 	Drew Tucker 	English Tempest
264 	Winds of Rath 	Sorcery 	3WW 	Rare 	Drew Tucker 	English Tempest
265 	Worthy Cause 	Instant 	W 	Uncommon 	John Matson 	English Tempest
266 	Altar of Dementia 	Artifact 	2 	Rare 	Brom 	English Tempest
267 	Booby Trap 	Artifact 	6 	Rare 	Doug Chaffee 	English Tempest
268 	Bottle Gnomes 	Artifact Creature 1/3 	3 	Uncommon 	Kaja Foglio 	English Tempest
269 	Coiled Tinviper 	Artifact Creature 2/1 	3 	Common 	John Matson 	English Tempest
270 	Cold Storage 	Artifact 	4 	Rare 	Greg Simanson 	English Tempest
271 	Cursed Scroll 	Artifact 	1 	Rare 	D. Alexander Gregory 	English Tempest
272 	Echo Chamber 	Artifact 	4 	Rare 	Donato Giancola 	English Tempest
273 	Emerald Medallion 	Artifact 	2 	Rare 	Sue Ellen Brown 	English Tempest
274 	Emmessi Tome 	Artifact 	4 	Rare 	Tom Wärstrand 	English Tempest
275 	Energizer 	Artifact Creature 2/2 	4 	Rare 	Val Mayerik 	English Tempest
276 	Essence Bottle 	Artifact 	2 	Uncommon 	Donato Giancola 	English Tempest
277 	Excavator 	Artifact 	2 	Uncommon 	Tom Kyffin 	English Tempest
278 	Flowstone Sculpture 	Artifact Creature 4/4 	6 	Rare 	Hannibal King 	English Tempest
279 	Fool's Tome 	Artifact 	4 	Rare 	Julie Baroh 	English Tempest
280 	Grindstone 	Artifact 	1 	Rare 	Greg Simanson 	English Tempest
281 	Helm of Possession 	Artifact 	4 	Rare 	Janet Aulisio 	English Tempest
282 	Jet Medallion 	Artifact 	2 	Rare 	Sue Ellen Brown 	English Tempest
283 	Jinxed Idol 	Artifact 	2 	Rare 	John Matson 	English Tempest
284 	Lotus Petal 	Artifact 	0 	Common 	April Lee 	English Tempest
285 	Magnetic Web 	Artifact 	2 	Rare 	Adam Rex 	English Tempest
286 	Manakin 	Artifact Creature 1/1 	2 	Common 	Scott Kirschner 	English Tempest
287 	Metallic Sliver 	Artifact Creature 1/1 	1 	Common 	L. A. Williams 	English Tempest
288 	Mogg Cannon 	Artifact 	2 	Uncommon 	Mike Raabe 	English Tempest
289 	Patchwork Gnomes 	Artifact Creature 2/1 	3 	Uncommon 	Mike Raabe 	English Tempest
290 	Pearl Medallion 	Artifact 	2 	Rare 	Sue Ellen Brown 	English Tempest
291 	Phyrexian Grimoire 	Artifact 	3 	Rare 	Doug Chaffee 	English Tempest
292 	Phyrexian Hulk 	Artifact Creature 5/4 	6 	Uncommon 	Matthew Wilson 	English Tempest
293 	Phyrexian Splicer 	Artifact 	2 	Uncommon 	Brom 	English Tempest
294 	Puppet Strings 	Artifact 	3 	Uncommon 	Scott Kirschner 	English Tempest
295 	Ruby Medallion 	Artifact 	2 	Rare 	Sue Ellen Brown 	English Tempest
296 	Sapphire Medallion 	Artifact 	2 	Rare 	Sue Ellen Brown 	English Tempest
297 	Scalding Tongs 	Artifact 	2 	Rare 	Randy Gallegos 	English Tempest
298 	Scroll Rack 	Artifact 	2 	Rare 	Heather Hudson 	English Tempest
299 	Squee's Toy 	Artifact 	1 	Common 	Heather Hudson 	English Tempest
300 	Static Orb 	Artifact 	3 	Rare 	Dermot Power 	English Tempest
301 	Telethopter 	Artifact Creature 3/1 	4 	Uncommon 	Thomas M. Baxa 	English Tempest
