1 	Aegis of Honor 	Enchantment 	W 	Rare 	Ron Spears 	English Odyssey
29 	Lieutenant Kirtar 	Creature - Bird Soldier Legend 2/2 	1WW 	Rare 	Paolo Parente 	English Odyssey
30 	Life Burst 	Instant 	1W 	Common 	John Avon 	English Odyssey
31 	Luminous Guardian 	Creature - Guardian 1/4 	3W 	Uncommon 	Terese Nielsen 	English Odyssey
32 	Master Apothecary 	Creature - Cleric 2/2 	WWW 	Rare 	Terese Nielsen 	English Odyssey
33 	Mystic Crusader 	Creature - Nomad Mystic 2/1 	1WW 	Rare 	Kev Walker 	English Odyssey
34 	Mystic Penitent 	Creature - Nomad Mystic 1/1 	W 	Uncommon 	Larry Elmore 	English Odyssey
35 	Mystic Visionary 	Creature - Nomad Mystic 2/1 	1W 	Common 	Matt Cavotta 	English Odyssey
36 	Mystic Zealot 	Creature - Nomad Mystic 2/4 	3W 	Common 	Paolo Parente 	English Odyssey
37 	Nomad Decoy 	Creature - Nomad 1/2 	2W 	Uncommon 	Pete Venters 	English Odyssey
38 	Patrol Hound 	Creature - Hound 2/2 	1W 	Common 	Daren Bader 	English Odyssey
39 	Pianna, Nomad Captain 	Creature - Nomad Legend 2/2 	1WW 	Rare 	D. Alexander Gregory 	English Odyssey
40 	Pilgrim of Justice 	Creature - Cleric 1/3 	2W 	Common 	Orizio Daniele 	English Odyssey
41 	Pilgrim of Virtue 	Creature - Cleric 1/3 	2W 	Common 	Massimilano Frezzato 	English Odyssey
42 	Ray of Distortion 	Instant 	3W 	Common 	Carl Critchlow 	English Odyssey
43 	Resilient Wanderer 	Creature - Nomad 2/3 	2WW 	Uncommon 	Clyde Caldwell 	English Odyssey
44 	Sacred Rites 	Instant 	W 	Common 	Bradley Williams 	English Odyssey
45 	Second Thoughts 	Instant 	4W 	Common 	Ray Lago 	English Odyssey
46 	Shelter 	Instant 	1W 	Common 	Christopher Moeller 	English Odyssey
47 	Soulcatcher 	Creature - Bird Soldier 1/1 	1W 	Uncommon 	Ron Spencer 	English Odyssey
48 	Sphere of Duty 	Enchantment 	3W 	Uncommon 	Christopher Moeller 	English Odyssey
49 	Sphere of Grace 	Enchantment 	3W 	Uncommon 	Christopher Moeller 	English Odyssey
50 	Sphere of Law 	Enchantment 	3W 	Uncommon 	Christopher Moeller 	English Odyssey
51 	Sphere of Reason 	Enchantment 	3W 	Uncommon 	Christopher Moeller 	English Odyssey
52 	Sphere of Truth 	Enchantment 	3W 	Uncommon 	Christopher Moeller 	English Odyssey
53 	Spiritualize 	Instant 	2W 	Uncommon 	Christopher Moeller 	English Odyssey
54 	Tattoo Ward 	Enchant Creature 	2W 	Uncommon 	Ben Thompson 	English Odyssey
55 	Testament of Faith 	Enchantment 	W 	Uncommon 	Roger Raupp 	English Odyssey
56 	Tireless Tribe 	Creature - Nomad 1/1 	W 	Common 	Carl Critchlow 	English Odyssey
57 	Wayward Angel 	Creature - Angel Horror 4/4 	4WW 	Rare 	Mark Tedin 	English Odyssey
58 	Aboshan, Cephalid Emperor 	Creature - Cephalid Legend 3/3 	4UU 	Rare 	Christopher Moeller 	English Odyssey
59 	Aboshan's Desire 	Enchant Creature 	U 	Common 	Ciruelo 	English Odyssey
60 	Æher Burst 	Instant 	1U 	Common 	Adam Rex 	English Odyssey
61 	Amugaba 	Creature - Illusion 6/6 	5UU 	Rare 	Heather Hudson 	English Odyssey
62 	Aura Graft 	Instant 	1U 	Uncommon 	Ray Lago 	English Odyssey
63 	Aven Fisher 	Creature - Bird Soldier 2/2 	3U 	Common 	Christopher Moeller 	English Odyssey
64 	Aven Smokeweaver 	Creature - Bird Soldier 2/3 	2UU 	Uncommon 	Kev Walker 	English Odyssey
65 	Aven Windreader 	Creature - Bird Soldier Wizard 3/3 	3UU 	Common 	Greg & Tim Hildebrandt 	English Odyssey
66 	Balshan Beguiler 	Creature - Wizard 1/1 	2U 	Uncommon 	Ray Lago 	English Odyssey
67 	Balshan Griffin 	Creature - Griffin 3/2 	3UU 	Uncommon 	Wayne England 	English Odyssey
68 	Bamboozle 	Sorcery 	2U 	Uncommon 	Alan Pollack 	English Odyssey
69 	Battle of Wits 	Enchantment 	3UU 	Rare 	Mark Brill 	English Odyssey
70 	Careful Study 	Sorcery 	U 	Common 	Scott M. Fischer 	English Odyssey
71 	Cephalid Broker 	Creature - Cephalid 2/2 	3U 	Uncommon 	Dave Dorman 	English Odyssey
72 	Cephalid Looter 	Creature - Cephalid 2/1 	2U 	Common 	Keith Garletts 	English Odyssey
73 	Cephalid Retainer 	Creature - Cephalid 2/3 	2UU 	Rare 	Tony Szczudlo 	English Odyssey
74 	Cephalid Scout 	Creature - Cephalid Wizard 1/1 	1U 	Common 	Alan Pollack 	English Odyssey
75 	Cephalid Shrine 	Enchantment 	1UU 	Rare 	Wayne England 	English Odyssey
76 	Chamber of Manipulation 	Enchant Land 	2UU 	Uncommon 	Wayne England 	English Odyssey
77 	Cognivore 	Creature - Lhurgoyf */* 	6UU 	Rare 	Adam Rex 	English Odyssey
78 	Concentrate 	Sorcery 	2UU 	Uncommon 	Glen Angus & Arnie Swekel 	English Odyssey
79 	Cultural Exchange 	Sorcery 	4UU 	Rare 	Daren Bader 	English Odyssey
80 	Deluge 	Instant 	2U 	Uncommon 	Wayne England 	English Odyssey
81 	Dematerialize 	Sorcery 	3U 	Common 	Mike Ploog 	English Odyssey
82 	Divert 	Instant 	U 	Rare 	Christopher Moeller 	English Odyssey
83 	Dreamwinder 	Creature - Serpent 4/3 	3U 	Common 	Wayne England 	English Odyssey
84 	Escape Artist 	Creature - Wizard 1/1 	1U 	Common 	Scott M. Fischer 	English Odyssey
85 	Extract 	Sorcery 	U 	Rare 	Matt Cavotta 	English Odyssey
86 	Fervent Denial 	Instant 	3UU 	Uncommon 	Scott M. Fischer 	English Odyssey
87 	Immobilizing Ink 	Enchant Creature 	1U 	Common 	Darrell Riche 	English Odyssey
88 	Laquatus's Creativity 	Sorcery 	4U 	Uncommon 	Don Hazeltine 	English Odyssey
89 	Patron Wizard 	Creature - Wizard 2/2 	UUU 	Rare 	Donato Giancola 	English Odyssey
90 	Pedantic Learning 	Enchantment 	UU 	Rare 	Heather Hudson 	English Odyssey
91 	Peek 	Instant 	U 	Common 	Adam Rex 	English Odyssey
92 	Persuasion 	Enchant Creature 	3UU 	Rare 	Adam Rex 	English Odyssey
93 	Phantom Whelp 	Creature - Hound 2/2 	1U 	Common 	Wayne England 	English Odyssey
94 	Predict 	Instant 	1U 	Uncommon 	Rebecca Guay 	English Odyssey
95 	Psionic Gift 	Enchant Creature 	1U 	Common 	Orizio Daniele 	English Odyssey
96 	Pulsating Illusion 	Creature - Illusion 0/1 	4U 	Uncommon 	Arnie Swekel 	English Odyssey
97 	Puppeteer 	Creature - Wizard 1/2 	2U 	Uncommon 	Scott M. Fischer 	English Odyssey
98 	Repel 	Instant 	3U 	Common 	Terese Nielsen 	English Odyssey
99 	Rites of Refusal 	Instant 	1U 	Common 	Bradley Williams 	English Odyssey
100 	Scrivener 	Creature - Townsfolk 2/2 	4U 	Common 	Kev Walker 	English Odyssey
101 	Shifty Doppelganger 	Creature - Shapeshifter 1/1 	2U 	Rare 	Greg Staples 	English Odyssey
102 	Standstill 	Enchantment 	1U 	Uncommon 	Heather Hudson 	English Odyssey
103 	Syncopate 	Instant 	XU 	Common 	Pete Venters 	English Odyssey
104 	Think Tank 	Enchantment 	2U 	Uncommon 	Jim Nelson 	English Odyssey
105 	Thought Devourer 	Creature - Beast 4/4 	2UU 	Rare 	Jim Nelson 	English Odyssey
106 	Thought Eater 	Creature - Beast 2/2 	1U 	Uncommon 	Luca Zontini 	English Odyssey
107 	Thought Nibbler 	Creature - Beast 1/1 	U 	Common 	Arnie Swekel 	English Odyssey
108 	Time Stretch 	Sorcery 	8UU 	Rare 	Paolo Parente 	English Odyssey
109 	Touch of Invisibility 	Sorcery 	3U 	Common 	Eric Peterson 	English Odyssey
110 	Traumatize 	Sorcery 	3UU 	Rare 	Greg Staples 	English Odyssey
111 	Treetop Sentinel 	Creature - Bird Soldier 2/3 	2UU 	Uncommon 	Carl Critchlow 	English Odyssey
112 	Unifying Theory 	Enchantment 	1U 	Rare 	Ron Spears 	English Odyssey
113 	Upheaval 	Sorcery 	4UU 	Rare 	Kev Walker 	English Odyssey
114 	Words of Wisdom 	Instant 	1U 	Common 	Eric Peterson 	English Odyssey
115 	Afflict 	Instant 	2B 	Common 	Roger Raupp 	English Odyssey
116 	Bloodcurdler 	Creature - Horror 1/1 	1B 	Rare 	Adam Rex 	English Odyssey
117 	Braids, Cabal Minion 	Creature - Minion Legend 2/2 	2BB 	Rare 	Eric Peterson 	English Odyssey
118 	Buried Alive 	Sorcery 	2B 	Uncommon 	Greg Staples 	English Odyssey
119 	Cabal Inquisitor 	Creature - Minion 1/1 	1B 	Common 	Alex Horley-Orlandelli 	English Odyssey
120 	Cabal Patriarch 	Creature - Wizard Legend 5/5 	3BBB 	Rare 	Mark Zug 	English Odyssey
121 	Cabal Shrine 	Enchantment 	1BB 	Rare 	Ben Thompson 	English Odyssey
122 	Caustic Tar 	Enchant Land 	4BB 	Uncommon 	John Avon 	English Odyssey
123 	Childhood Horror 	Creature - Horror 2/2 	3B 	Uncommon 	Larry Elmore 	English Odyssey
124 	Coffin Purge 	Instant 	B 	Common 	Pete Venters 	English Odyssey
125 	Crypt Creeper 	Creature - Zombie 2/1 	1B 	Common 	John Matson 	English Odyssey
126 	Cursed Monstrosity 	Creature - Horror 4/3 	4B 	Rare 	Jeff Remmer 	English Odyssey
127 	Decaying Soil 	Enchantment 	1BB 	Rare 	Don Hazeltine 	English Odyssey
128 	Decompose 	Sorcery 	1B 	Uncommon 	Tony Szczudlo 	English Odyssey
129 	Diabolic Tutor 	Sorcery 	2BB 	Uncommon 	Rick Farrell 	English Odyssey
130 	Dirty Wererat 	Creature - Minion Rat 2/3 	3B 	Common 	Daren Bader 	English Odyssey
131 	Dusk Imp 	Creature - Imp 2/1 	2B 	Common 	Edward P. Beard, Jr. 	English Odyssey
132 	Entomb 	Instant 	B 	Rare 	Ron Spears 	English Odyssey
133 	Execute 	Instant 	2B 	Uncommon 	Gary Ruddell 	English Odyssey
134 	Face of Fear 	Creature - Horror 3/4 	5B 	Uncommon 	Thomas M. Baxa 	English Odyssey
135 	Famished Ghoul 	Creature - Zombie 3/2 	3B 	Uncommon 	Adam Rex 	English Odyssey
136 	Filthy Cur 	Creature - Hound 2/2 	1B 	Common 	Adam Rex 	English Odyssey
137 	Fledgling Imp 	Creature - Imp 2/2 	2B 	Common 	John Matson 	English Odyssey
138 	Frightcrawler 	Creature - Horror 1/1 	1B 	Common 	Matt Cavotta 	English Odyssey
139 	Ghastly Demise 	Instant 	B 	Common 	Gary Ruddell 	English Odyssey
140 	Gravedigger 	Creature - Zombie 2/2 	3B 	Common 	Tony Szczudlo 	English Odyssey
141 	Gravestorm 	Enchantment 	BBB 	Rare 	Alex Horley-Orlandelli 	English Odyssey
142 	Haunting Echoes 	Sorcery 	3BB 	Rare 	Arnie Swekel 	English Odyssey
143 	Hint of Insanity 	Sorcery 	2B 	Rare 	Luca Zontini 	English Odyssey
144 	Infected Vermin 	Creature - Rat 1/1 	2B 	Uncommon 	Anthony S. Waters 	English Odyssey
145 	Innocent Blood 	Sorcery 	B 	Common 	Carl Critchlow 	English Odyssey
146 	Last Rites 	Sorcery 	2B 	Common 	Bradley Williams 	English Odyssey
147 	Malevolent Awakening 	Enchantment 	1BB 	Uncommon 	Alex Horley-Orlandelli 	English Odyssey
148 	Mind Burst 	Sorcery 	1B 	Common 	Marc Fishman 	English Odyssey
149 	Mindslicer 	Creature - Horror 4/3 	2BB 	Rare 	Kev Walker 	English Odyssey
150 	Morbid Hunger 	Sorcery 	4BB 	Common 	Eric Peterson 	English Odyssey
151 	Morgue Theft 	Sorcery 	1B 	Common 	Justin Sweet 	English Odyssey
152 	Mortivore 	Creature - Lhurgoyf */* 	2BB 	Rare 	Anthony S. Waters 	English Odyssey
153 	Nefarious Lich 	Enchantment 	BBBB 	Rare 	Jerry Tiritilli 	English Odyssey
154 	Overeager Apprentice 	Creature - Minion 1/2 	2B 	Common 	Ray Lago 	English Odyssey
155 	Painbringer 	Creature - Minion 1/1 	2BB 	Uncommon 	Pete Venters 	English Odyssey
156 	Patriarch's Desire 	Enchant Creature 	3B 	Common 	Eric Peterson 	English Odyssey
157 	Repentant Vampire 	Creature - Vampire 3/3 	3BB 	Rare 	Mark Tedin 	English Odyssey
158 	Rotting Giant 	Creature - Zombie Giant 3/3 	1B 	Uncommon 	Kev Walker 	English Odyssey
159 	Sadistic Hypnotist 	Creature - Minion 2/2 	3BB 	Uncommon 	Paolo Parente 	English Odyssey
160 	Screams of the Damned 	Enchantment 	3BB 	Uncommon 	Jerry Tiritilli 	English Odyssey
161 	Skeletal Scrying 	Instant 	XB 	Uncommon 	Bob Petillo 	English Odyssey
162 	Skull Fracture 	Sorcery 	B 	Uncommon 	Paolo Parente 	English Odyssey
163 	Stalking Bloodsucker 	Creature - Vampire 4/4 	4BB 	Rare 	Greg Staples 	English Odyssey
164 	Tainted Pact 	Instant 	1B 	Rare 	Adam Rex 	English Odyssey
165 	Tombfire 	Sorcery 	B 	Rare 	Arnie Swekel 	English Odyssey
166 	Traveling Plague 	Enchant Creature 	3BB 	Rare 	Dave Dorman 	English Odyssey
167 	Whispering Shade 	Creature - Shade 1/1 	3B 	Common 	Daren Bader 	English Odyssey
168 	Zombie Assassin 	Creature - Zombie Assassin 3/2 	4B 	Common 	Pete Venters 	English Odyssey
169 	Zombie Cannibal 	Creature - Zombie 1/1 	B 	Common 	Adam Rex 	English Odyssey
170 	Zombie Infestation 	Enchantment 	1B 	Uncommon 	Thomas M. Baxa 	English Odyssey
171 	Zombify 	Sorcery 	3B 	Uncommon 	Mark Romanoski 	English Odyssey
172 	Acceptable Losses 	Sorcery 	3R 	Common 	Mike Ploog 	English Odyssey
173 	Anarchist 	Creature - Townsfolk 2/2 	4R 	Common 	Greg & Tim Hildebrandt 	English Odyssey
174 	Ashen Firebeast 	Creature - Beast 6/6 	6RR 	Rare 	Mark Tedin 	English Odyssey
175 	Barbarian Lunatic 	Creature - Barbarian 2/1 	2R 	Common 	Ron Spears 	English Odyssey
176 	Bash to Bits 	Instant 	3R 	Uncommon 	Gary Ruddell 	English Odyssey
177 	Battle Strain 	Enchantment 	1R 	Uncommon 	Dave Dorman 	English Odyssey
178 	Blazing Salvo 	Instant 	R 	Common 	rk post 	English Odyssey
179 	Bomb Squad 	Creature - Dwarf 1/1 	3R 	Rare 	Greg & Tim Hildebrandt 	English Odyssey
180 	Burning Sands 	Enchantment 	3RR 	Rare 	Ron Spencer 	English Odyssey
181 	Chainflinger 	Creature - Beast 2/2 	3R 	Common 	Scott M. Fischer 	English Odyssey
182 	Chance Encounter 	Enchantment 	2RR 	Rare 	Mark Brill 	English Odyssey
183 	Demolish 	Sorcery 	3R 	Uncommon 	Gary Ruddell 	English Odyssey
184 	Demoralize 	Instant 	2R 	Common 	Greg & Tim Hildebrandt 	English Odyssey
185 	Dwarven Grunt 	Creature - Dwarf 1/1 	R 	Common 	Mike Ploog 	English Odyssey
186 	Dwarven Recruiter 	Creature - Dwarf 2/2 	2R 	Uncommon 	Ciruelo 	English Odyssey
187 	Dwarven Shrine 	Enchantment 	1RR 	Rare 	Matt Cavotta 	English Odyssey
188 	Dwarven Strike Force 	Creature - Dwarf 4/3 	4R 	Uncommon 	Mike Ploog 	English Odyssey
189 	Earth Rift 	Sorcery 	3R 	Common 	Wayne England 	English Odyssey
190 	Ember Beast 	Creature - Beast 3/4 	2R 	Common 	Wayne England 	English Odyssey
191 	Engulfing Flames 	Instant 	R 	Uncommon 	Marc Fishman 	English Odyssey
192 	Epicenter 	Sorcery 	4R 	Rare 	Anthony S. Waters 	English Odyssey
193 	Firebolt 	Sorcery 	R 	Common 	Ron Spencer 	English Odyssey
194 	Flame Burst 	Instant 	1R 	Common 	Ron Spencer 	English Odyssey
195 	Frenetic Ogre 	Creature - Ogre 2/3 	4R 	Uncommon 	Ron Spears 	English Odyssey
196 	Halberdier 	Creature - Barbarian 3/1 	3R 	Common 	Ben Thompson 	English Odyssey
197 	Impulsive Maneuvers 	Enchantment 	2RR 	Rare 	Dave Dorman 	English Odyssey
198 	Kamahl, Pit Fighter 	Creature - Barbarian Legend 6/1 	4RR 	Rare 	Kev Walker 	English Odyssey
199 	Kamahl's Desire 	Enchant Creature 	1R 	Common 	Dave Dorman 	English Odyssey
200 	Lava Blister 	Sorcery 	1R 	Uncommon 	Rob Alexander 	English Odyssey
201 	Liquid Fire 	Sorcery 	4RR 	Uncommon 	Greg Staples 	English Odyssey
202 	Mad Dog 	Creature - Hound 2/2 	1R 	Common 	Ron Spencer 	English Odyssey
203 	Magma Vein 	Enchantment 	2R 	Uncommon 	Glen Angus 	English Odyssey
204 	Magnivore 	Creature - Lhurgoyf */* 	2RR 	Rare 	Carl Critchlow 	English Odyssey
205 	Mine Layer 	Creature - Dwarf 1/1 	3R 	Rare 	Mark Brill 	English Odyssey
206 	Minotaur Explorer 	Creature - Minotaur 3/3 	1R 	Uncommon 	Dave Dorman 	English Odyssey
207 	Molten Influence 	Instant 	1R 	Rare 	Franz Vohwinkel 	English Odyssey
208 	Mudhole 	Instant 	2R 	Rare 	Gary Ruddell 	English Odyssey
209 	Need for Speed 	Enchantment 	R 	Rare 	Christopher Moeller 	English Odyssey
210 	Obstinate Familiar 	Creature - Lizard 1/1 	R 	Rare 	Terese Nielsen 	English Odyssey
211 	Pardic Firecat 	Creature - Cat 2/3 	3R 	Common 	Glen Angus 	English Odyssey
212 	Pardic Miner 	Creature - Dwarf 1/1 	1R 	Rare 	Tony Szczudlo 	English Odyssey
213 	Pardic Swordsmith 	Creature - Dwarf 1/1 	2R 	Common 	Bob Petillo 	English Odyssey
214 	Price of Glory 	Enchantment 	2R 	Uncommon 	Darrell Riche 	English Odyssey
215 	Reckless Charge 	Sorcery 	R 	Common 	Scott M. Fischer 	English Odyssey
216 	Recoup 	Sorcery 	1R 	Uncommon 	Dave Dorman 	English Odyssey
217 	Rites of Initiation 	Instant 	R 	Common 	Bradley Williams 	English Odyssey
218 	Savage Firecat 	Creature - Cat 0/0 	3RR 	Rare 	Dave Dorman 	English Odyssey
219 	Scorching Missile 	Sorcery 	3R 	Common 	Don Hazeltine 	English Odyssey
220 	Seize the Day 	Sorcery 	3R 	Rare 	Greg Staples 	English Odyssey
221 	Shower of Coals 	Sorcery 	3RR 	Uncommon 	Matt Cavotta 	English Odyssey
222 	Spark Mage 	Creature - Dwarf Wizard 1/1 	R 	Uncommon 	Paolo Parente 	English Odyssey
223 	Steam Vines 	Enchant Land 	1RR 	Uncommon 	Anthony S. Waters 	English Odyssey
224 	Thermal Blast 	Instant 	4R 	Common 	Franz Vohwinkel 	English Odyssey
225 	Tremble 	Sorcery 	1R 	Common 	Ciruelo 	English Odyssey
226 	Volcanic Spray 	Sorcery 	1R 	Uncommon 	Matt Cavotta 	English Odyssey
227 	Volley of Boulders 	Sorcery 	8R 	Rare 	Tony Szczudlo 	English Odyssey
228 	Whipkeeper 	Creature - Dwarf 1/1 	2RR 	Uncommon 	Ron Spencer 	English Odyssey
229 	Bearscape 	Enchantment 	1GG 	Rare 	Heather Hudson 	English Odyssey
230 	Beast Attack 	Instant 	2GGG 	Uncommon 	Ciruelo 	English Odyssey
231 	Call of the Herd 	Sorcery 	2G 	Rare 	Carl Critchlow 	English Odyssey
232 	Cartographer 	Creature - Townsfolk 2/2 	2G 	Common 	Donato Giancola 	English Odyssey
233 	Chatter of the Squirrel 	Sorcery 	G 	Common 	Jim Nelson 	English Odyssey
234 	Chlorophant 	Creature - Elemental 1/1 	GGG 	Rare 	John Avon 	English Odyssey
235 	Crashing Centaur 	Creature - Centaur 3/4 	4GG 	Uncommon 	Eric Peterson 	English Odyssey
236 	Deep Reconnaissance 	Sorcery 	2G 	Uncommon 	Jeff Remmer 	English Odyssey
237 	Diligent Farmhand 	Creature - Druid 1/1 	G 	Common 	Gary Ruddell 	English Odyssey
238 	Druid Lyrist 	Creature - Druid 1/1 	G 	Common 	Mark Zug 	English Odyssey
239 	Druid's Call 	Enchant Creature 	1G 	Uncommon 	Greg & Tim Hildebrandt 	English Odyssey
240 	Elephant Ambush 	Instant 	2GG 	Common 	Anthony S. Waters 	English Odyssey
241 	Gorilla Titan 	Creature - Ape 4/4 	3GG 	Uncommon 	Heather Hudson 	English Odyssey
242 	Ground Seal 	Enchantment 	1G 	Rare 	Edward P. Beard, Jr. 	English Odyssey
243 	Holistic Wisdom 	Enchantment 	1GG 	Rare 	Rebecca Guay 	English Odyssey
244 	Howling Gale 	Instant 	1G 	Uncommon 	Greg Staples 	English Odyssey
245 	Ivy Elemental 	Creature - Elemental 0/0 	XG 	Rare 	Ron Spencer 	English Odyssey
246 	Krosan Archer 	Creature - Centaur 2/3 	3G 	Common 	Ron Spears 	English Odyssey
247 	Krosan Avenger 	Creature - Druid 3/1 	2G 	Common 	D. Alexander Gregory 	English Odyssey
248 	Krosan Beast 	Creature - Squirrel Beast 1/1 	3G 	Rare 	Kev Walker 	English Odyssey
249 	Leaf Dancer 	Creature - Centaur 2/2 	1GG 	Common 	Greg & Tim Hildebrandt 	English Odyssey
250 	Metamorphic Wurm 	Creature - Elephant Wurm 3/3 	3GG 	Uncommon 	Thomas M. Baxa 	English Odyssey
251 	Moment's Peace 	Instant 	1G 	Common 	Rebecca Guay 	English Odyssey
252 	Muscle Burst 	Instant 	1G 	Common 	Gary Ruddell 	English Odyssey
253 	Nantuko Disciple 	Creature - Insect Druid 2/2 	3G 	Common 	Justin Sweet 	English Odyssey
254 	Nantuko Elder 	Creature - Insect Druid 1/2 	2G 	Uncommon 	Daren Bader 	English Odyssey
255 	Nantuko Mentor 	Creature - Insect Druid 1/1 	2G 	Rare 	John Matson 	English Odyssey
256 	Nantuko Shrine 	Enchantment 	1GG 	Rare 	Rebecca Guay 	English Odyssey
257 	New Frontiers 	Sorcery 	XG 	Rare 	Ron Spencer 	English Odyssey
258 	Nimble Mongoose 	Creature - Mongoose 1/1 	G 	Uncommon 	Terese Nielsen 	English Odyssey
259 	Nut Collector 	Creature - Druid 1/1 	5G 	Rare 	Christopher Moeller 	English Odyssey
260 	Overrun 	Sorcery 	2GGG 	Uncommon 	Carl Critchlow 	English Odyssey
261 	Piper's Melody 	Sorcery 	G 	Uncommon 	Greg & Tim Hildebrandt 	English Odyssey
262 	Primal Frenzy 	Enchant Creature 	G 	Common 	Alex Horley-Orlandelli 	English Odyssey
263 	Rabid Elephant 	Creature - Elephant 3/4 	4G 	Common 	Dave Dorman 	English Odyssey
264 	Refresh 	Instant 	2G 	Common 	Keith Garletts 	English Odyssey
265 	Rites of Spring 	Sorcery 	1G 	Common 	Bradley Williams 	English Odyssey
266 	Roar of the Wurm 	Sorcery 	6G 	Uncommon 	Kev Walker 	English Odyssey
267 	Seton, Krosan Protector 	Creature - Centaur Druid Legend 2/2 	GGG 	Rare 	Greg Staples 	English Odyssey
268 	Seton's Desire 	Enchant Creature 	2G 	Common 	Ciruelo 	English Odyssey
269 	Simplify 	Sorcery 	G 	Common 	Greg & Tim Hildebrandt 	English Odyssey
270 	Skyshooter 	Creature - Centaur 1/2 	1G 	Uncommon 	Jerry Tiritilli 	English Odyssey
271 	Spellbane Centaur 	Creature - Centaur 3/2 	2G 	Rare 	Rick Farrell 	English Odyssey
272 	Springing Tiger 	Creature - Cat 3/3 	3G 	Common 	Arnie Swekel 	English Odyssey
273 	Squirrel Mob 	Creature - Squirrel 2/2 	1GG 	Rare 	Carl Critchlow 	English Odyssey
274 	Squirrel Nest 	Enchant Land 	1GG 	Uncommon 	Anthony S. Waters 	English Odyssey
275 	Still Life 	Enchantment 	1GG 	Uncommon 	Matt Cavotta 	English Odyssey
276 	Stone-Tongue Basilisk 	Creature - Basilisk 4/5 	4GGG 	Rare 	Wayne England 	English Odyssey
277 	Sylvan Might 	Instant 	1G 	Uncommon 	Arnie Swekel 	English Odyssey
278 	Terravore 	Creature - Lhurgoyf */* 	1GG 	Rare 	Jim Nelson 	English Odyssey
279 	Twigwalker 	Creature - Insect 2/2 	2G 	Uncommon 	Carl Critchlow 	English Odyssey
280 	Verdant Succession 	Enchantment 	4G 	Rare 	Edward P. Beard, Jr. 	English Odyssey
281 	Vivify 	Instant 	2G 	Uncommon 	Greg Staples 	English Odyssey
282 	Werebear 	Creature - Druid Bear 1/1 	1G 	Common 	Carl Critchlow 	English Odyssey
283 	Wild Mongrel 	Creature - Hound 2/2 	1G 	Common 	Anthony S. Waters 	English Odyssey
284 	Woodland Druid 	Creature - Druid 1/2 	G 	Common 	Rick Farrell 	English Odyssey
285 	Zoologist 	Creature - Druid 1/2 	3G 	Rare 	Alex Horley-Orlandelli 	English Odyssey
286 	Atogatog 	Creature - Atog Legend 5/5 	WUBRG 	Rare 	Ron Spears 	English Odyssey
