1 	Abyssal Specter 	Summon Specter 2/3 	2BB 	Uncommon 	George Pratt 	English Fifth Edition
52 	Rag Man 	Summon Rag Man 2/1 	2BB 	Rare 	Daniel Gelon 	English Fifth Edition
53 	Raise Dead 	Sorcery 	B 	Common 	David Seeley 	English Fifth Edition
54 	Scathe Zombies 	Summon Zombies 2/2 	2B 	Common 	Tom Kyffin 	English Fifth Edition
55 	Sengir Autocrat 	Summon Autocrat 2/2 	3B 	Rare 	David A. Cherry 	English Fifth Edition
56 	Sorceress Queen 	Summon Sorceress 1/1 	1BB 	Rare 	Kaja Foglio 	English Fifth Edition
57 	Stromgald Cabal 	Summon Knights 2/2 	1BB 	Rare 	Anson Maddocks 	English Fifth Edition
58 	Terror 	Instant 	1B 	Common 	Ron Spencer 	English Fifth Edition
59 	The Wretched 	Summon Wretched 2/5 	3BB 	Rare 	Christopher Rush 	English Fifth Edition
60 	Thrull Retainer 	Enchant Creature 	B 	Uncommon 	Ron Spencer 	English Fifth Edition
61 	Torture 	Enchant Creature 	B 	Common 	Mark Tedin 	English Fifth Edition
62 	Touch of Death 	Sorcery 	2B 	Common 	Melissa A. Benson 	English Fifth Edition
63 	Unholy Strength 	Enchant Creature 	B 	Common 	Tom Kyffin 	English Fifth Edition
64 	Vampire Bats 	Summon Bats 0/1 	B 	Common 	Anson Maddocks 	English Fifth Edition
65 	Wall of Bone 	Summon Wall 1/4 	2B 	Uncommon 	Anson Maddocks 	English Fifth Edition
66 	Warp Artifact 	Enchant Artifact 	BB 	Rare 	Amy Weber 	English Fifth Edition
67 	Weakness 	Enchant Creature 	B 	Common 	Kev Walker 	English Fifth Edition
68 	Xenic Poltergeist 	Summon Poltergeist 1/1 	1BB 	Rare 	Mike Kerr 	English Fifth Edition
69 	Zombie Master 	Summon Lord 2/3 	1BB 	Rare 	Stuart Griffin 	English Fifth Edition
70 	Æher Storm 	Enchantment 	3U 	Uncommon 	Mark Tedin 	English Fifth Edition
71 	Air Elemental 	Summon Elemental 4/4 	3UU 	Uncommon 	D. Alexander Gregory 	English Fifth Edition
72 	Anti-Magic Aura 	Enchant Creature 	2U 	Uncommon 	Zak Plucinski 	English Fifth Edition
73 	Azure Drake 	Summon Drake 2/4 	3U 	Uncommon 	Janine Johnston 	English Fifth Edition
74 	Binding Grasp 	Enchant Creature 	3U 	Uncommon 	Jeff Miracola 	English Fifth Edition
75 	Boomerang 	Instant 	UU 	Common 	Alan Rabinowitz 	English Fifth Edition
76 	Brainstorm 	Instant 	U 	Common 	Christopher Rush 	English Fifth Edition
77 	Counterspell 	Interrupt 	UU 	Common 	Hannibal King 	English Fifth Edition
78 	Dance of Many 	Enchantment 	UU 	Rare 	Sandra Everingham 	English Fifth Edition
79 	Dandâ	Summon Dandâ4/1 	UU 	Common 	Drew Tucker 	English Fifth Edition
80 	Dark Maze 	Summon Wall 4/5 	4U 	Common 	David Seeley 	English Fifth Edition
81 	Deflection 	Interrupt 	3U 	Rare 	Mike Raabe 	English Fifth Edition
82 	Drain Power 	Sorcery 	UU 	Rare 	Jerry Tiritilli 	English Fifth Edition
83 	Energy Flux 	Enchantment 	2U 	Uncommon 	Kaja Foglio 	English Fifth Edition
84 	Enervate 	Instant 	1U 	Common 	L. A. Williams 	English Fifth Edition
85 	Feedback 	Enchant Enchantment 	2U 	Uncommon 	Quinton Hoover 	English Fifth Edition
86 	Flight 	Enchant Creature 	U 	Common 	Jerry Tiritilli 	English Fifth Edition
87 	Flood 	Enchantment 	U 	Common 	Dennis Detwiller 	English Fifth Edition
88 	Force Spike 	Interrupt 	U 	Common 	John Matson 	English Fifth Edition
89 	Forget 	Sorcery 	UU 	Rare 	Mike Kimble 	English Fifth Edition
90 	Gaseous Form 	Enchant Creature 	2U 	Common 	Doug Keith 	English Fifth Edition
91 	Glacial Wall 	Summon Wall 0/7 	2U 	Uncommon 	Greg Simanson 	English Fifth Edition
92 	Homarid Warrior 	Summon Homarid 3/3 	4U 	Common 	Pete Venters 	English Fifth Edition
93 	Hurkyl's Recall 	Instant 	1U 	Rare 	Né Thomas 	English Fifth Edition
94 	Hydroblast 	Interrupt 	U 	Uncommon 	Kaja Foglio 	English Fifth Edition
95 	Juxtapose 	Sorcery 	3U 	Rare 	Justin Hampton 	English Fifth Edition
96 	Krovikan Sorcerer 	Summon Wizard 1/1 	2U 	Common 	Pat Morrissey 	English Fifth Edition
97 	Labyrinth Minotaur 	Summon Minotaur 1/4 	3U 	Common 	Anson Maddocks 	English Fifth Edition
98 	Leviathan 	Summon Leviathan 10/10 	5UUUU 	Rare 	Mark Tedin 	English Fifth Edition
99 	Lifetap 	Enchantment 	UU 	Uncommon 	Mike Dringenberg 	English Fifth Edition
100 	Lord of Atlantis 	Summon Lord 2/2 	UU 	Rare 	Melissa A. Benson 	English Fifth Edition
101 	Magical Hack 	Interrupt 	U 	Rare 	Julie Baroh 	English Fifth Edition
102 	Magus of the Unseen 	Summon Wizard 1/1 	1U 	Rare 	Kaja Foglio 	English Fifth Edition
103 	Memory Lapse 	Interrupt 	1U 	Common 	Mark Tedin 	English Fifth Edition
104 	Merfolk of the Pearl Trident 	Summon Merfolk 1/1 	U 	Common 	John Matson 	English Fifth Edition
105 	Mind Bomb 	Sorcery 	U 	Uncommon 	Mark Tedin 	English Fifth Edition
106 	Phantasmal Forces 	Summon Phantasm 4/1 	3U 	Uncommon 	Mark Poole 	English Fifth Edition
107 	Phantasmal Terrain 	Enchant Land 	UU 	Common 	David A. Cherry 	English Fifth Edition
108 	Phantom Monster 	Summon Phantasm 3/3 	3U 	Uncommon 	Rebecca Guay 	English Fifth Edition
109 	Pirate Ship 	Summon Ship 4/3 	4U 	Rare 	Tom Wärstrand 	English Fifth Edition
110 	Portent 	Sorcery 	U 	Common 	Liz Danforth 	English Fifth Edition
111 	Power Sink 	Interrupt 	XU 	Common 	Richard Thomas 	English Fifth Edition
112 	Prodigal Sorcerer 	Summon Wizard 1/1 	2U 	Common 	Douglas Shuler 	English Fifth Edition
113 	Psychic Venom 	Enchant Land 	1U 	Common 	Brian Snõ 	English Fifth Edition
114 	Ray of Command 	Instant 	3U 	Common 	Harold McNeill 	English Fifth Edition
115 	Recall 	Sorcery 	XXU 	Rare 	Richard Kane Ferguson 	English Fifth Edition
116 	Reef Pirates 	Summon Ships 2/2 	1UU 	Common 	Tom Wärstrand 	English Fifth Edition
117 	Remove Soul 	Interrupt 	1U 	Common 	Mike Dringenberg 	English Fifth Edition
118 	Sea Serpent 	Summon Serpent 5/5 	5U 	Common 	Ian Miller 	English Fifth Edition
119 	Sea Spirit 	Summon Spirit 2/3 	4U 	Uncommon 	DiTerlizzi 	English Fifth Edition
120 	Sea Sprite 	Summon Faerie 1/1 	1U 	Uncommon 	Rebecca Guay 	English Fifth Edition
121 	Seasinger 	Summon Merfolk 0/1 	1UU 	Uncommon 	John Matson 	English Fifth Edition
122 	Segovian Leviathan 	Summon Leviathan 3/3 	4U 	Uncommon 	Melissa A. Benson 	English Fifth Edition
123 	Sibilant Spirit 	Summon Spirit 5/6 	5U 	Rare 	Ron Spencer 	English Fifth Edition
124 	Sleight of Mind 	Interrupt 	U 	Rare 	Mark Poole 	English Fifth Edition
125 	Soul Barrier 	Enchantment 	2U 	Common 	Harold McNeill 	English Fifth Edition
126 	Spell Blast 	Interrupt 	XU 	Common 	Greg Simanson 	English Fifth Edition
127 	Stasis 	Enchantment 	1U 	Rare 	Fay Jones 	English Fifth Edition
128 	Steal Artifact 	Enchant Artifact 	2UU 	Uncommon 	John Coulthart 	English Fifth Edition
129 	Time Elemental 	Summon Elemental 0/2 	2U 	Rare 	Amy Weber 	English Fifth Edition
130 	Twiddle 	Instant 	U 	Common 	Rob Alexander 	English Fifth Edition
131 	Unstable Mutation 	Enchant Creature 	U 	Common 	Charles Gillespie 	English Fifth Edition
132 	Unsummon 	Instant 	U 	Common 	Douglas Shuler 	English Fifth Edition
133 	Updraft 	Instant 	1U 	Common 	John Matson 	English Fifth Edition
134 	Vodalian Soldiers 	Summon Merfolk 1/2 	1U 	Common 	Melissa A. Benson 	English Fifth Edition
135 	Wall of Air 	Summon Wall 1/5 	1UU 	Uncommon 	Richard Kane Ferguson 	English Fifth Edition
136 	Wind Spirit 	Summon Spirit 3/2 	4U 	Uncommon 	Kaja Foglio 	English Fifth Edition
137 	Zephyr Falcon 	Summon Falcon 1/1 	1U 	Common 	Heather Hudson 	English Fifth Edition
138 	Zur's Weirding 	Enchantment 	3U 	Rare 	Liz Danforth 	English Fifth Edition
139 	An-Havva Constable 	Summon Constable 2/1+* 	1GG 	Rare 	Dan Frazier 	English Fifth Edition
140 	Aspect of Wolf 	Enchant Creature 	1G 	Rare 	Janine Johnston 	English Fifth Edition
141 	Aurochs 	Summon Aurochs 2/3 	3G 	Common 	Steve White 	English Fifth Edition
142 	Birds of Paradise 	Summon Mana Birds 0/1 	G 	Rare 	Mark Poole 	English Fifth Edition
143 	Carapace 	Enchant Creature 	G 	Common 	Anson Maddocks 	English Fifth Edition
144 	Cat Warriors 	Summon Cat Warriors 2/2 	1GG 	Common 	Melissa A. Benson 	English Fifth Edition
145 	Chub Toad 	Summon Toad 1/1 	2G 	Common 	Daniel Gelon 	English Fifth Edition
146 	Cockatrice 	Summon Cockatrice 2/4 	3GG 	Rare 	Dan Frazier 	English Fifth Edition
147 	Craw Giant 	Summon Giant 6/4 	3GGGG 	Uncommon 	Scott Kirschner 	English Fifth Edition
148 	Craw Wurm 	Summon Wurm 6/4 	4GG 	Common 	Daniel Gelon 	English Fifth Edition
149 	Crumble 	Instant 	G 	Uncommon 	Jesper Myrfors 	English Fifth Edition
150 	Desert Twister 	Sorcery 	4GG 	Uncommon 	Susan Van Camp 	English Fifth Edition
151 	Durkwood Boars 	Summon Boars 4/4 	4G 	Common 	Mike Kimble 	English Fifth Edition
152 	Elder Druid 	Summon Cleric 2/2 	3G 	Rare 	Richard Kane Ferguson 	English Fifth Edition
153 	Elven Riders 	Summon Riders 3/3 	3GG 	Uncommon 	Dan Frazier 	English Fifth Edition
154 	Elvish Archers 	Summon Elves 2/1 	1G 	Rare 	Anson Maddocks 	English Fifth Edition
155 	Fog 	Instant 	G 	Common 	John Avon 	English Fifth Edition
156 	Force of Nature 	Summon Force 8/8 	2GGGG 	Rare 	Pete Venters 	English Fifth Edition
157 	Foxfire 	Instant 	2G 	Common 	Margaret Organ-Kean 	English Fifth Edition
158 	Fungusaur 	Summon Fungusaur 2/2 	3G 	Rare 	Scott M. Fischer 	English Fifth Edition
159 	Fyndhorn Elder 	Summon Elf 1/1 	2G 	Uncommon 	Donato Giancola 	English Fifth Edition
160 	GhazbáOgre 	Summon Ogre 2/2 	G 	Common 	Mike Raabe 	English Fifth Edition
161 	Giant Growth 	Instant 	G 	Common 	DiTerlizzi 	English Fifth Edition
162 	Giant Spider 	Summon Spider 2/4 	3G 	Common 	Brian Snõ 	English Fifth Edition
163 	Grizzly Bears 	Summon Bears 2/2 	1G 	Common 	Una Fricker 	English Fifth Edition
164 	Hungry Mist 	Summon Mist 6/2 	2GG 	Common 	Heather Hudson 	English Fifth Edition
165 	Hurricane 	Sorcery 	XG 	Uncommon 	Cornelius Brudi 	English Fifth Edition
166 	Instill Energy 	Enchant Creature 	G 	Uncommon 	Ron Spencer 	English Fifth Edition
167 	Ironroot Treefolk 	Summon Treefolk 3/5 	4G 	Common 	Jerry Tiritilli 	English Fifth Edition
168 	Johtull Wurm 	Summon Wurm 6/6 	5G 	Uncommon 	Ian Miller 	English Fifth Edition
169 	Killer Bees 	Summon Bees 0/1 	1GG 	Uncommon 	Phil Foglio 	English Fifth Edition
170 	Ley Druid 	Summon Cleric 1/1 	2G 	Common 	Sandra Everingham 	English Fifth Edition
171 	Lhurgoyf 	Summon Lhurgoyf */1+* 	2GG 	Rare 	Pete Venters 	English Fifth Edition
172 	Lifeforce 	Enchantment 	GG 	Uncommon 	Ron Spencer 	English Fifth Edition
173 	Living Artifact 	Enchant Artifact 	G 	Rare 	Anson Maddocks 	English Fifth Edition
174 	Living Lands 	Enchantment 	3G 	Rare 	John Matson 	English Fifth Edition
175 	Llanowar Elves 	Summon Elves 1/1 	G 	Common 	Anson Maddocks 	English Fifth Edition
176 	Lure 	Enchant Creature 	1GG 	Uncommon 	Anson Maddocks 	English Fifth Edition
177 	Marsh Viper 	Summon Viper 1/2 	3G 	Common 	Ron Spencer 	English Fifth Edition
178 	Nature's Lore 	Sorcery 	1G 	Common 	Alan Rabinowitz 	English Fifth Edition
179 	Pradesh Gypsies 	Summon Gypsies 1/1 	2G 	Common 	Quinton Hoover 	English Fifth Edition
180 	Primal Order 	Enchantment 	2GG 	Rare 	David A. Cherry 	English Fifth Edition
181 	Rabid Wombat 	Summon Wombat 0/1 	2GG 	Uncommon 	Kaja Foglio 	English Fifth Edition
182 	Radjan Spirit 	Summon Spirit 3/2 	3G 	Uncommon 	Christopher Rush 	English Fifth Edition
183 	Regeneration 	Enchant Creature 	1G 	Common 	Quinton Hoover 	English Fifth Edition
184 	Scaled Wurm 	Summon Wurm 7/6 	7G 	Common 	Daniel Gelon 	English Fifth Edition
185 	Scavenger Folk 	Summon Scavenger Folk 1/1 	G 	Common 	Jeff Miracola 	English Fifth Edition
186 	Scryb Sprites 	Summon Faeries 1/1 	G 	Common 	Amy Weber 	English Fifth Edition
187 	Shanodin Dryads 	Summon Nymphs 1/1 	G 	Common 	Gary Leach 	English Fifth Edition
188 	Shrink 	Instant 	G 	Common 	Liz Danforth 	English Fifth Edition
189 	Stampede 	Instant 	1GG 	Rare 	Jeff A. Menges 	English Fifth Edition
190 	Stream of Life 	Sorcery 	XG 	Common 	Terese Nielsen 	English Fifth Edition
191 	Sylvan Library 	Enchantment 	1G 	Rare 	Harold McNeill 	English Fifth Edition
192 	Tarpan 	Summon Tarpan 1/1 	G 	Common 	Margaret Organ-Kean 	English Fifth Edition
193 	Thicket Basilisk 	Summon Basilisk 2/4 	3GG 	Uncommon 	Dan Frazier 	English Fifth Edition
194 	Titania's Song 	Enchantment 	3G 	Rare 	D. Alexander Gregory 	English Fifth Edition
195 	Tranquility 	Sorcery 	2G 	Common 	Douglas Shuler 	English Fifth Edition
196 	Tsunami 	Sorcery 	3G 	Uncommon 	Richard Thomas 	English Fifth Edition
197 	Untamed Wilds 	Sorcery 	2G 	Uncommon 	Né Thomas 	English Fifth Edition
198 	Venom 	Enchant Creature 	1GG 	Common 	Tom Wärstrand 	English Fifth Edition
199 	Verduran Enchantress 	Summon Enchantress 0/2 	1GG 	Rare 	Kev Brockschmidt 	English Fifth Edition
200 	Wall of Brambles 	Summon Wall 2/3 	2G 	Uncommon 	Tony Roberts 	English Fifth Edition
201 	Wanderlust 	Enchant Creature 	2G 	Uncommon 	Rebecca Guay 	English Fifth Edition
202 	War Mammoth 	Summon Mammoth 3/3 	3G 	Common 	Jeff A. Menges 	English Fifth Edition
203 	Whirling Dervish 	Summon Dervish 1/1 	GG 	Uncommon 	Susan Van Camp 	English Fifth Edition
204 	Wild Growth 	Enchant Land 	G 	Common 	Pat Morrissey 	English Fifth Edition
205 	Winter Blast 	Sorcery 	XG 	Uncommon 	Kaja Foglio 	English Fifth Edition
206 	Wolverine Pack 	Summon Wolverine Pack 2/4 	2GG 	Uncommon 	Steve White 	English Fifth Edition
207 	Wyluli Wolf 	Summon Wolf 1/1 	1G 	Rare 	Susan Van Camp 	English Fifth Edition
208 	Ambush Party 	Summon Ambush Party 3/1 	4R 	Common 	Charles Gillespie 	English Fifth Edition
209 	Atog 	Summon Atog 1/2 	1R 	Uncommon 	Jesper Myrfors 	English Fifth Edition
210 	Ball Lightning 	Summon Ball Lightning 6/1 	RRR 	Rare 	Quinton Hoover 	English Fifth Edition
211 	Bird Maiden 	Summon Bird Maiden 1/2 	2R 	Common 	Kaja Foglio 	English Fifth Edition
212 	Blood Lust 	Instant 	1R 	Common 	Anson Maddocks 	English Fifth Edition
213 	Brassclaw Orcs 	Summon Orcs 3/2 	2R 	Common 	Rob Alexander 	English Fifth Edition
214 	Brothers of Fire 	Summon Brothers 2/2 	1RR 	Common 	Mark Tedin 	English Fifth Edition
215 	Cave People 	Summon Cave People 1/4 	1RR 	Uncommon 	Steve Luke 	English Fifth Edition
216 	Conquer 	Enchant Land 	3RR 	Uncommon 	Gary Leach 	English Fifth Edition
217 	Crimson Manticore 	Summon Manticore 2/2 	2RR 	Rare 	Roger Raupp 	English Fifth Edition
218 	Detonate 	Sorcery 	XR 	Uncommon 	Randy Asplund 	English Fifth Edition
219 	Disintegrate 	Sorcery 	XR 	Common 	Anson Maddocks 	English Fifth Edition
220 	Dwarven Catapult 	Instant 	XR 	Uncommon 	Jeff A. Menges 	English Fifth Edition
221 	Dwarven Soldier 	Summon Dwarf 2/1 	1R 	Common 	Randy Asplund 	English Fifth Edition
222 	Dwarven Warriors 	Summon Dwarves 1/1 	2R 	Common 	Douglas Shuler 	English Fifth Edition
223 	Earthquake 	Sorcery 	XR 	Rare 	Richard Kane Ferguson 	English Fifth Edition
224 	Errantry 	Enchant Creature 	1R 	Common 	Scott Kirschner 	English Fifth Edition
225 	Eternal Warrior 	Enchant Creature 	R 	Common 	Anson Maddocks 	English Fifth Edition
226 	Fire Drake 	Summon Drake 1/2 	1RR 	Uncommon 	Christopher Rush 	English Fifth Edition
227 	Fireball 	Sorcery 	XR 	Common 	Mark Tedin 	English Fifth Edition
228 	Firebreathing 	Enchant Creature 	R 	Common 	Dan Frazier 	English Fifth Edition
229 	Flame Spirit 	Summon Spirit 2/3 	4R 	Uncommon 	Justin Hampton 	English Fifth Edition
230 	Flare 	Instant 	2R 	Common 	Andrew Robinson 	English Fifth Edition
231 	Flashfires 	Sorcery 	3R 	Uncommon 	Dameon Willich 	English Fifth Edition
232 	Game of Chaos 	Sorcery 	RRR 	Rare 	Thomas Gianni 	English Fifth Edition
233 	Giant Strength 	Enchant Creature 	RR 	Common 	Kev Walker 	English Fifth Edition
234 	Goblin Digging Team 	Summon Goblins 1/1 	R 	Common 	Phil Foglio 	English Fifth Edition
235 	Goblin Hero 	Summon Goblin 2/2 	2R 	Common 	Pete Venters 	English Fifth Edition
236 	Goblin King 	Summon Lord 2/2 	1RR 	Rare 	Phil Foglio 	English Fifth Edition
237 	Goblin War Drums 	Enchantment 	2R 	Common 	Dan Frazier 	English Fifth Edition
238 	Goblin Warrens 	Enchantment 	2R 	Rare 	Dan Frazier 	English Fifth Edition
239 	Hill Giant 	Summon Giant 3/3 	3R 	Common 	Charles Gillespie 	English Fifth Edition
240 	Hurloon Minotaur 	Summon Minotaur 2/3 	1RR 	Common 	Anson Maddocks 	English Fifth Edition
241 	Imposing Visage 	Enchant Creature 	R 	Common 	Brian Snõ 	English Fifth Edition
242 	Incinerate 	Instant 	1R 	Common 	Scott M. Fischer 	English Fifth Edition
243 	Inferno 	Instant 	5RR 	Rare 	Mike Kerr 	English Fifth Edition
244 	Ironclaw Curse 	Enchant Creature 	R 	Rare 	Dennis Detwiller 	English Fifth Edition
245 	Ironclaw Orcs 	Summon Orcs 2/2 	1R 	Common 	Anson Maddocks 	English Fifth Edition
246 	Jokulhaups 	Sorcery 	4RR 	Rare 	Mike Kerr 	English Fifth Edition
247 	Keldon Warlord 	Summon Lord */* 	2RR 	Uncommon 	Kev Brockschmidt 	English Fifth Edition
248 	Mana Clash 	Sorcery 	R 	Rare 	Mark Tedin 	English Fifth Edition
249 	Mana Flare 	Enchantment 	2R 	Rare 	Christopher Rush 	English Fifth Edition
250 	Manabarbs 	Enchantment 	3R 	Rare 	Greg Simanson 	English Fifth Edition
251 	Mons's Goblin Raiders 	Summon Goblins 1/1 	R 	Common 	Pete Venters 	English Fifth Edition
252 	Mountain Goat 	Summon Goat 1/1 	R 	Common 	Cornelius Brudi 	English Fifth Edition
253 	Orcish Artillery 	Summon Orcs 1/3 	1RR 	Uncommon 	Dan Frazier 	English Fifth Edition
254 	Orcish Captain 	Summon Orc 1/1 	R 	Uncommon 	Charles Gillespie 	English Fifth Edition
255 	Orcish Conscripts 	Summon Orcs 2/2 	R 	Common 	Douglas Shuler 	English Fifth Edition
256 	Orcish Farmer 	Summon Orc 2/2 	1RR 	Common 	Dan Frazier 	English Fifth Edition
257 	Orcish Oriflamme 	Enchantment 	3R 	Uncommon 	Dan Frazier 	English Fifth Edition
258 	Orcish Squatters 	Summon Orcs 2/3 	4R 	Rare 	Richard Kane Ferguson 	English Fifth Edition
259 	Orgg 	Summon Orgg 6/6 	3RR 	Rare 	Daniel Gelon 	English Fifth Edition
260 	Panic 	Instant 	R 	Common 	Greg Simanson 	English Fifth Edition
261 	Primordial Ooze 	Summon Ooze 1/1 	R 	Uncommon 	Randy Gallegos 	English Fifth Edition
262 	Pyroblast 	Interrupt 	R 	Uncommon 	Kaja Foglio 	English Fifth Edition
263 	Pyrotechnics 	Sorcery 	4R 	Uncommon 	Anson Maddocks 	English Fifth Edition
264 	Sabretooth Tiger 	Summon Tiger 2/1 	2R 	Common 	Melissa A. Benson 	English Fifth Edition
265 	Shatter 	Instant 	1R 	Common 	Hannibal King 	English Fifth Edition
266 	Shatterstorm 	Sorcery 	2RR 	Rare 	James Allen 	English Fifth Edition
267 	Shivan Dragon 	Summon Dragon 5/5 	4RR 	Rare 	Melissa A. Benson 	English Fifth Edition
268 	Smoke 	Enchantment 	RR 	Rare 	Tom Kyffin 	English Fifth Edition
269 	Stone Giant 	Summon Giant 3/4 	2RR 	Uncommon 	James Allen 	English Fifth Edition
270 	Stone Rain 	Sorcery 	2R 	Common 	Tony Roberts 	English Fifth Edition
271 	Stone Spirit 	Summon Spirit 4/3 	4R 	Uncommon 	James Allen 	English Fifth Edition
272 	The Brute 	Enchant Creature 	1R 	Common 	Douglas Shuler 	English Fifth Edition
273 	Wall of Fire 	Summon Wall 0/5 	1RR 	Uncommon 	Tony Roberts 	English Fifth Edition
274 	Wall of Stone 	Summon Wall 0/8 	1RR 	Uncommon 	Thomas Gianni 	English Fifth Edition
275 	Winds of Change 	Sorcery 	R 	Rare 	Blackie del Rio 	English Fifth Edition
276 	Word of Blasting 	Instant 	1R 	Uncommon 	Ken Meyer, Jr. 	English Fifth Edition
277 	Abbey Gargoyles 	Summon Gargoyles 3/4 	2WWW 	Uncommon 	Christopher Rush 	English Fifth Edition
278 	Akron Legionnaire 	Summon Legionnaire 8/4 	6WW 	Rare 	Mark Poole 	English Fifth Edition
279 	Alabaster Potion 	Instant 	XWW 	Common 	Harold McNeill 	English Fifth Edition
280 	Angry Mob 	Summon Mob 2+*/2+* 	2WW 	Uncommon 	Drew Tucker 	English Fifth Edition
281 	Animate Wall 	Enchant Creature 	W 	Rare 	Richard Kane Ferguson 	English Fifth Edition
