1 	Balduvian Dead 	Summon Zombies 2/3 	3B 	Uncommon 	Mike Kimble 	English Alliances
97 	Balduvian War-Makers 	Summon Barbarians 3/3 	4R 	Common 	Mike Kimble 	English Alliances
98 	Balduvian War-Makers 	Summon Barbarians 3/3 	4R 	Common 	Mike Kimble 	English Alliances
99 	Bestial Fury 	Enchant Creature 	2R 	Common 	Mike Raabe 	English Alliances
100 	Bestial Fury 	Enchant Creature 	2R 	Common 	Mike Raabe 	English Alliances
101 	Burnout 	Interrupt 	1R 	Uncommon 	Mike Raabe 	English Alliances
102 	Chaos Harlequin 	Summon Harlequin 2/4 	2RR 	Rare 	Alan Rabinowitz 	English Alliances
103 	Death Spark 	Instant 	R 	Uncommon 	Mark Tedin 	English Alliances
104 	Enslaved Scout 	Summon Goblin 2/2 	2R 	Common 	Rebecca Guay 	English Alliances
105 	Enslaved Scout 	Summon Goblin 2/2 	2R 	Common 	Rebecca Guay 	English Alliances
106 	Gorilla Shaman 	Summon Gorilla 1/1 	R 	Common 	Anthony Waters 	English Alliances
107 	Gorilla Shaman 	Summon Gorilla 1/1 	R 	Common 	Anthony Waters 	English Alliances
108 	Gorilla War Cry 	Instant 	1R 	Common 	Bryon Wackwitz 	English Alliances
109 	Gorilla War Cry 	Instant 	1R 	Common 	Bryon Wackwitz 	English Alliances
110 	Guerrilla Tactics 	Instant 	1R 	Common 	Randy Asplund-Faith 	English Alliances
111 	Guerrilla Tactics 	Instant 	1R 	Common 	Randy Asplund-Faith 	English Alliances
112 	Omen of Fire 	Instant 	3RR 	Rare 	Pete Venters 	English Alliances
113 	Pillage 	Sorcery 	1RR 	Uncommon 	Richard Kane Ferguson 	English Alliances
114 	Primitive Justice 	Sorcery 	1R 	Uncommon 	Anthony Waters 	English Alliances
115 	Pyrokinesis 	Instant 	4RR 	Uncommon 	Ron Spencer 	English Alliances
116 	Rogue Skycaptain 	Summon Mercenary 3/4 	2R 	Rare 	Randy Asplund-Faith 	English Alliances
117 	Soldier of Fortune 	Summon Mercenary 1/1 	R 	Uncommon 	Douglas Shuler 	English Alliances
118 	Storm Shaman 	Summon Cleric 0/4 	2R 	Common 	Carol Heyer 	English Alliances
119 	Storm Shaman 	Summon Cleric 0/4 	2R 	Common 	Carol Heyer 	English Alliances
120 	Varchild's Crusader 	Summon Knight 3/2 	3R 	Common 	Mark Poole 	English Alliances
121 	Varchild's Crusader 	Summon Knight 3/2 	3R 	Common 	Mark Poole 	English Alliances
122 	Varchild's War-Riders 	Summon War-Riders 3/4 	1R 	Rare 	Susan Van Camp 	English Alliances
123 	Veteran's Voice 	Enchant Creature 	R 	Common 	Andi Rusu 	English Alliances
124 	Veteran's Voice 	Enchant Creature 	R 	Common 	Andi Rusu 	English Alliances
125 	Carrier Pigeons 	Summon Pigeons 1/1 	3W 	Common 	Pat Morrissey 	English Alliances
126 	Carrier Pigeons 	Summon Pigeons 1/1 	3W 	Common 	Pat Morrissey 	English Alliances
127 	Errand of Duty 	Instant 	1W 	Common 	Julie Baroh 	English Alliances
128 	Errand of Duty 	Instant 	1W 	Common 	Julie Baroh 	English Alliances
129 	Exile 	Instant 	2W 	Rare 	Rob Alexander 	English Alliances
130 	Inheritance 	Enchantment 	W 	Uncommon 	Kaja Foglio 	English Alliances
131 	Ivory Gargoyle 	Summon Gargoyle 2/2 	4W 	Rare 	Quinton Hoover 	English Alliances
132 	Juniper Order Advocate 	Summon Knight 1/2 	2W 	Uncommon 	Douglas Shuler 	English Alliances
133 	Kjeldoran Escort 	Summon Soldier 2/3 	2WW 	Common 	Bryon Wackwitz 	English Alliances
134 	Kjeldoran Escort 	Summon Soldier 2/3 	2WW 	Common 	Bryon Wackwitz 	English Alliances
135 	Kjeldoran Home Guard 	Summon Soldier 1/6 	3W 	Uncommon 	Andi Rusu 	English Alliances
136 	Kjeldoran Pride 	Enchant Creature 	1W 	Common 	Kaja Foglio 	English Alliances
137 	Kjeldoran Pride 	Enchant Creature 	1W 	Common 	Kaja Foglio 	English Alliances
138 	Martyrdom 	Instant 	1WW 	Common 	Mark Poole 	English Alliances
139 	Martyrdom 	Instant 	1WW 	Common 	Mark Poole 	English Alliances
140 	Noble Steeds 	Enchantment 	2W 	Common 	Rebecca Guay 	English Alliances
141 	Noble Steeds 	Enchantment 	2W 	Common 	Rebecca Guay 	English Alliances
142 	Reinforcements 	Instant 	W 	Common 	Diana Vick 	English Alliances
143 	Reinforcements 	Instant 	W 	Common 	Diana Vick 	English Alliances
144 	Reprisal 	Instant 	1W 	Common 	Randy Asplund-Faith 	English Alliances
145 	Reprisal 	Instant 	1W 	Common 	Randy Asplund-Faith 	English Alliances
146 	Royal Decree 	Enchantment 	2WW 	Rare 	Pete Venters 	English Alliances
147 	Royal Herbalist 	Summon Cleric 1/1 	W 	Common 	Douglas Shuler 	English Alliances
148 	Royal Herbalist 	Summon Cleric 1/1 	W 	Common 	Douglas Shuler 	English Alliances
149 	Scars of the Veteran 	Instant 	4W 	Uncommon 	Dan Frazier 	English Alliances
150 	Seasoned Tactician 	Summon Tactician 1/3 	2W 	Uncommon 	Dan Frazier 	English Alliances
151 	Sustaining Spirit 	Summon Guardian 0/3 	1W 	Rare 	Rebecca Guay 	English Alliances
152 	Sworn Defender 	Summon Knight 1/3 	2WW 	Rare 	D. Alexander Gregory 	English Alliances
153 	Unlikely Alliance 	Enchantment 	1W 	Uncommon 	Phil Foglio 	English Alliances
154 	Wild Aesthir 	Summon Aesthir 1/1 	2W 	Common 	Greg Simanson 	English Alliances
155 	Wild Aesthir 	Summon Aesthir 1/1 	2W 	Common 	Greg Simanson 	English Alliances
156 	Aesthir Glider 	Artifact Creature 2/1 	3 	Common 	Ruth Thompson 	English Alliances
157 	Aesthir Glider 	Artifact Creature 2/1 	3 	Common 	Ruth Thompson 	English Alliances
158 	Ashnod's Cylix 	Artifact 	2 	Rare 	Nicola Leonard 	English Alliances
159 	Astrolabe 	Artifact 	3 	Common 	Amy Weber 	English Alliances
160 	Astrolabe 	Artifact 	3 	Common 	Amy Weber 	English Alliances
161 	Floodwater Dam 	Artifact 	3 	Rare 	Randy Gallegos 	English Alliances
162 	Gustha's Scepter 	Artifact 	0 	Rare 	Sandra Everingham 	English Alliances
163 	Helm of Obedience 	Artifact 	4 	Rare 	Brian Snõ 	English Alliances
164 	Lodestone Bauble 	Artifact 	0 	Rare 	Douglas Shuler 	English Alliances
165 	Mishra's Groundbreaker 	Artifact 	4 	Uncommon 	Randy Gallegos 	English Alliances
166 	Mystic Compass 	Artifact 	2 	Uncommon 	Amy Weber 	English Alliances
167 	Phyrexian Devourer 	Artifact Creature 1/1 	6 	Rare 	Mark Tedin 	English Alliances
168 	Phyrexian Portal 	Artifact 	3 	Rare 	Pete Venters 	English Alliances
169 	Phyrexian War Beast 	Artifact Creature 3/4 	3 	Common 	Bill Sienkiewicz 	English Alliances
170 	Phyrexian War Beast 	Artifact Creature 3/4 	3 	Common 	Bill Sienkiewicz 	English Alliances
171 	Scarab of the Unseen 	Artifact 	2 	Uncommon 	Sandra Everingham 	English Alliances
172 	Shield Sphere 	Artifact Creature 0/6 	0 	Uncommon 	Alan Rabinowitz 	English Alliances
173 	Sol Grail 	Artifact 	3 	Uncommon 	Christopher Rush 	English Alliances
174 	Soldevi Digger 	Artifact 	2 	Rare 	Amy Weber 	English Alliances
175 	Soldevi Sentry 	Artifact Creature 1/1 	1 	Common 	Alan Rabinowitz 	English Alliances
176 	Soldevi Sentry 	Artifact Creature 1/1 	1 	Common 	Alan Rabinowitz 	English Alliances
177 	Soldevi Steam Beast 	Artifact Creature 4/2 	5 	Common 	Bill Sienkiewicz 	English Alliances
178 	Soldevi Steam Beast 	Artifact Creature 4/2 	5 	Common 	Bill Sienkiewicz 	English Alliances
179 	Storm Cauldron 	Artifact 	5 	Rare 	Dan Frazier 	English Alliances
180 	Urza's Engine 	Artifact Creature 1/5 	5 	Uncommon 	Greg Simanson 	English Alliances
181 	Whirling Catapult 	Artifact 	4 	Uncommon 	Dan Frazier 	English Alliances
182 	Balduvian Trading Post 	Land 		Rare 	Tom Wärstrand 	English Alliances
183 	Heart of Yavimaya 	Land 		Rare 	Pete Venters 	English Alliances
184 	Kjeldoran Outpost 	Land 		Rare 	Jeff A. Menges 	English Alliances
185 	Lake of the Dead 	Land 		Rare 	Pete Venters 	English Alliances
186 	School of the Unseen 	Land 		Uncommon 	Pat Morrissey 	English Alliances
187 	Sheltered Valley 	Land 		Rare 	Rob Alexander 	English Alliances
188 	Soldevi Excavations 	Land 		Rare 	Liz Danforth 	English Alliances
189 	Thawing Glaciers 	Land 		Rare 	Jeff A. Menges 	English Alliances
190 	Energy Arc 	Instant 	WU 	Uncommon 	Terese Nielsen 	English Alliances
191 	Lim-DûPaladin 	Summon Paladin 0/3 	2BR 	Uncommon 	Christopher Rush 	English Alliances
192 	Lim-DûVault 	Instant 	UB 	Uncommon 	Rob Alexander 	English Alliances
193 	Lord of Tresserhorn 	Summon Legend 10/4 	1UBR 	Rare 	Anson Maddocks 	English Alliances
194 	Misfortune 	Sorcery 	1BRG 	Rare 	Ron Spencer 	English Alliances
195 	Nature's Blessing 	Enchantment 	2WG 	Uncommon 	Sandra Everingham 	English Alliances
196 	Phelddagrif 	Summon Legend 4/4 	1WUG 	Rare 	Amy Weber 	English Alliances
197 	Surge of Strength 	Instant 	RG 	Uncommon 	Ruth Thompson 	English Alliances
198 	Wandering Mage 	Summon Cleric 0/3 	WUB 	Rare 	Pete Venters 	English Alliances
199 	Winter's Night 	Enchant World 	WRG 	Rare 	Rob Alexander 	English Alliances
