1 	Amulet of Kroog 	Mono Artifact 	2 	Common (C4) 	Margaret Organ-Kean 	English Antiquities
61 	Citanul Druid 	Summon Druid 1/1 	1G 	Uncommon (U3) 	Jeff A. Menges 	English Antiquities
62 	Crumble 	Instant 	G 	Common (C4) 	Jesper Myrfors 	English Antiquities
63 	Gaea's Avenger 	Summon Gaea's Avenger 1+*/1+* 	1GG 	Rare (U1) 	Pete Venters 	English Antiquities
64 	Powerleech 	Enchantment 	GG 	Uncommon (U3) 	Christopher Rush 	English Antiquities
65 	Titania's Song 	Enchantment 	3G 	Uncommon (U3) 	Kerstin Kaman 	English Antiquities
66 	Mishra's Factory 	Land 		Uncommon (U1) 	Kaja & Phil Foglio 	English Antiquities
67 	Mishra's Factory 	Land 		Uncommon (C1) 	Kaja & Phil Foglio 	English Antiquities
68 	Mishra's Factory 	Land 		Uncommon (U1) 	Kaja & Phil Foglio 	English Antiquities
69 	Mishra's Factory 	Land 		Uncommon (U1) 	Kaja & Phil Foglio 	English Antiquities
70 	Mishra's Workshop 	Land 		Rare (U1) 	Kaja Foglio 	English Antiquities
71 	Strip Mine 	Land 		Uncommon (U1) 	Daniel Gelon 	English Antiquities
72 	Strip Mine 	Land 		Uncommon (U1) 	Daniel Gelon 	English Antiquities
73 	Strip Mine 	Land 		Uncommon (C1) 	Daniel Gelon 	English Antiquities
74 	Strip Mine 	Land 		Uncommon (U1) 	Daniel Gelon 	English Antiquities
75 	Urza's Mine 	Land 		Common (C2) 	Anson Maddocks 	English Antiquities
76 	Urza's Mine 	Land 		Common (C1) 	Anson Maddocks 	English Antiquities
77 	Urza's Mine 	Land 		Common (C1) 	Anson Maddocks 	English Antiquities
78 	Urza's Mine 	Land 		Common (C2) 	Anson Maddocks 	English Antiquities
79 	Urza's Power Plant 	Land 		Common (C2) 	Mark Tedin 	English Antiquities
80 	Urza's Power Plant 	Land 		Common (C1) 	Mark Tedin 	English Antiquities
81 	Urza's Power Plant 	Land 		Common (C1) 	Mark Tedin 	English Antiquities
82 	Urza's Power Plant 	Land 		Common (C2) 	Mark Tedin 	English Antiquities
83 	Urza's Tower 	Land 		Common (C2) 	Mark Poole 	English Antiquities
84 	Urza's Tower 	Land 		Common (C1) 	Mark Poole 	English Antiquities
85 	Urza's Tower 	Land 		Common (C1) 	Mark Poole 	English Antiquities
86 	Urza's Tower 	Land 		Common (C1) 	Mark Poole 	English Antiquities
87 	Artifact Blast 	Interrupt 	R 	Common (C4) 	Mark Poole 	English Antiquities
88 	Atog 	Summon Atog 1/2 	1R 	Common (C4) 	Jesper Myrfors 	English Antiquities
89 	Detonate 	Sorcery 	XR 	Uncommon (U3) 	Randy Asplund-Faith 	English Antiquities
90 	Dwarven Weaponsmith 	Summon Dwarves 1/1 	1R 	Uncommon (U3) 	Mark Poole 	English Antiquities
91 	Goblin Artisans 	Summon Goblins 1/1 	R 	Uncommon (U3) 	Julie Baroh 	English Antiquities
92 	Orcish Mechanics 	Summon Orcs 1/1 	2R 	Common (C4) 	Pete Venters 	English Antiquities
93 	Shatterstorm 	Sorcery 	2RR 	Rare (U1) 	Mark Poole 	English Antiquities
94 	Argivian Archaeologist 	Summon Archaeologist 1/1 	1WW 	Rare (U1) 	Amy Weber 	English Antiquities
95 	Argivian Blacksmith 	Summon Smith 2/2 	1WW 	Common (C4) 	Kerstin Kaman 	English Antiquities
96 	Artifact Ward 	Enchant Creature 	W 	Common (C4) 	Douglas Shuler 	English Antiquities
97 	Circle of Protection: Artifacts 	Enchantment 	1W 	Uncommon (U3) 	Pete Venters 	English Antiquities
98 	Damping Field 	Enchantment 	2W 	Uncommon (U3) 	Justin Hampton 	English Antiquities
99 	Martyrs of Korlis 	Summon Bodyguard 1/6 	3WW 	Uncommon (U3) 	Margaret Organ-Kean 	English Antiquities
100 	Reverse Polarity 	Instant 	WW 	Common (C4) 	Justin Hampton 	English Antiquities
