1 	Angel of Mercy 	Creature - Angel 3/3 	4W 	Uncommon 	Melissa A. Benson 	English Ninth Edition
48 	Story Circle 	Enchantment 	1WW 	Rare 	Alan Pollack 	English Ninth Edition
49 	Suntail Hawk 	Creature - Bird 1/1 	W 	Common 	Heather Hudson 	English Ninth Edition
50 	Tempest of Light 	Instant 	2W 	Uncommon 	Wayne England 	English Ninth Edition
51 	Venerable Monk 	Creature - Human Monk Cleric 2/2 	2W 	Common 	D. Alexander Gregory 	English Ninth Edition
52 	Veteran Cavalier 	Creature - Human Knight 2/2 	WW 	Common 	rk post 	English Ninth Edition
53 	Warrior's Honor 	Instant 	2W 	Common 	D. Alexander Gregory 	English Ninth Edition
54 	Weathered Wayfarer 	Creature - Human Nomad Cleric 1/1 	W 	Rare 	Greg & Tim Hildebrandt 	English Ninth Edition
55 	Worship 	Enchantment 	3W 	Rare 	Mark Zug 	English Ninth Edition
56 	Wrath of God 	Sorcery 	2WW 	Rare 	Kev Walker 	English Ninth Edition
57 	Zealous Inquisitor 	Creature - Human Cleric 2/2 	2W 	Uncommon 	Wayne England 	English Ninth Edition
58 	Air Elemental 	Creature - Elemental 4/4 	3UU 	Uncommon 	Nick Percival 	English Ninth Edition
59 	Annex 	Enchantment - Aura 	2UU 	Uncommon 	John Avon 	English Ninth Edition
60 	Archivist 	Creature - Human Wizard 1/1 	2UU 	Rare 	Donato Giancola 	English Ninth Edition
61 	Aven Fisher 	Creature - Bird Soldier 2/2 	3U 	Common 	Christopher Moeller 	English Ninth Edition
62 	Aven Windreader 	Creature - Bird Soldier Wizard 3/3 	3UU 	Common 	Greg & Tim Hildebrandt 	English Ninth Edition
63 	Azure Drake 	Creature - Drake 2/4 	3U 	Uncommon 	Janine Johnston 	English Ninth Edition
64 	Baleful Stare 	Sorcery 	2U 	Uncommon 	Randy Gallegos 	English Ninth Edition
65 	Battle of Wits 	Enchantment 	3UU 	Rare 	Edward P. Beard, Jr. 	English Ninth Edition
66 	Boomerang 	Instant 	UU 	Common 	Arnie Swekel 	English Ninth Edition
67 	Clone 	Creature - Shapeshifter 0/0 	3U 	Rare 	Kev Walker 	English Ninth Edition
68 	Confiscate 	Enchantment - Aura 	4UU 	Uncommon 	Adam Rex 	English Ninth Edition
69 	Counsel of the Soratami 	Sorcery 	2U 	Common 	Randy Gallegos 	English Ninth Edition
70 	Cowardice 	Enchantment 	3UU 	Rare 	Michael Sutfin 	English Ninth Edition
71 	Crafty Pathmage 	Creature - Human Wizard 1/1 	2U 	Common 	Wayne England 	English Ninth Edition
72 	Daring Apprentice 	Creature - Human Wizard 1/1 	1UU 	Rare 	Dany Orizio 	English Ninth Edition
73 	Dehydration 	Enchantment - Aura 	3U 	Common 	Arnie Swekel 	English Ninth Edition
74 	Dream Prowler 	Creature - Illusion 1/5 	2UU 	Uncommon 	Matt Cavotta 	English Ninth Edition
75 	Evacuation 	Instant 	3UU 	Rare 	Rob Alexander 	English Ninth Edition
76 	Exhaustion 	Sorcery 	2U 	Uncommon 	Paolo Parente 	English Ninth Edition
77 	Fishliver Oil 	Enchantment - Aura 	1U 	Common 	Ralph Horsley 	English Ninth Edition
78 	Fleeting Image 	Creature - Illusion 2/1 	2U 	Rare 	Dave Dorman 	English Ninth Edition
79 	Flight 	Enchantment - Aura 	U 	Common 	Arnie Swekel 	English Ninth Edition
80 	Fugitive Wizard 	Creature - Human Wizard 1/1 	U 	Common 	Jim Nelson 	English Ninth Edition
81 	Horned Turtle 	Creature - Turtle 1/4 	2U 	Common 	DiTerlizzi 	English Ninth Edition
82 	Imaginary Pet 	Creature - Illusion 4/4 	1U 	Rare 	Christopher Rush 	English Ninth Edition
83 	Levitation 	Enchantment 	2UU 	Uncommon 	Heather Hudson 	English Ninth Edition
84 	Lumengrid Warden 	Creature - Human Wizard 1/3 	1U 	Common 	Francis Tsai 	English Ninth Edition
85 	Mahamoti Djinn 	Creature - Djinn 5/6 	4UU 	Rare 	Greg Staples 	English Ninth Edition
86 	Mana Leak 	Instant 	1U 	Common 	Christopher Rush 	English Ninth Edition
87 	Mind Bend 	Instant 	U 	Rare 	Tony Szczudlo 	English Ninth Edition
88 	Phantom Warrior 	Creature - Illusion 2/2 	1UU 	Uncommon 	Greg Staples 	English Ninth Edition
89 	Plagiarize 	Instant 	3U 	Rare 	Jeremy Jarvis 	English Ninth Edition
90 	Polymorph 	Sorcery 	3U 	Rare 	Robert Bliss 	English Ninth Edition
91 	Puppeteer 	Creature - Human Wizard 1/2 	2U 	Uncommon 	Scott M. Fischer 	English Ninth Edition
92 	Reminisce 	Sorcery 	2U 	Uncommon 	Ralph Horsley 	English Ninth Edition
93 	Remove Soul 	Instant 	1U 	Common 	Adam Rex 	English Ninth Edition
94 	Rewind 	Instant 	2UU 	Uncommon 	Dermot Power 	English Ninth Edition
95 	Sage Aven 	Creature - Bird Wizard 1/3 	3U 	Common 	Randy Gallegos 	English Ninth Edition
96 	Sea Monster 	Creature - Serpent 6/6 	4UU 	Common 	Daniel Gelon 	English Ninth Edition
97 	Sea's Claim 	Enchantment - Aura 	U 	Common 	Thomas Gianni 	English Ninth Edition
98 	Sift 	Sorcery 	3U 	Common 	Jeremy Jarvis 	English Ninth Edition
99 	Sleight of Hand 	Sorcery 	U 	Common 	Jim Murray 	English Ninth Edition
100 	Storm Crow 	Creature - Bird 1/2 	1U 	Common 	John Matson 	English Ninth Edition
101 	Telepathy 	Enchantment 	U 	Uncommon 	Matthew D. Wilson 	English Ninth Edition
102 	Temporal Adept 	Creature - Human Wizard 1/1 	1UU 	Rare 	Mark Tedin 	English Ninth Edition
103 	Thieving Magpie 	Creature - Bird 1/3 	2UU 	Uncommon 	Una Fricker 	English Ninth Edition
104 	Thought Courier 	Creature - Human Wizard 1/1 	1U 	Uncommon 	Stephen Tappin 	English Ninth Edition
105 	Tidal Kraken 	Creature - Kraken 6/6 	5UUU 	Rare 	Christopher Moeller 	English Ninth Edition
106 	Tidings 	Sorcery 	3UU 	Uncommon 	Pete Venters 	English Ninth Edition
107 	Time Ebb 	Sorcery 	2U 	Common 	Thomas M. Baxa 	English Ninth Edition
108 	Trade Routes 	Enchantment 	1U 	Rare 	Matt Cavotta 	English Ninth Edition
109 	Traumatize 	Sorcery 	3UU 	Rare 	Greg Staples 	English Ninth Edition
110 	Treasure Trove 	Enchantment 	2UU 	Uncommon 	Brian Despain 	English Ninth Edition
111 	Wanderguard Sentry 	Creature - Drone 3/3 	4U 	Common 	Luca Zontini 	English Ninth Edition
112 	Wind Drake 	Creature - Drake 2/2 	2U 	Common 	Tom Wärstrand 	English Ninth Edition
113 	Withering Gaze 	Sorcery 	2U 	Uncommon 	Randy Gallegos 	English Ninth Edition
114 	Zur's Weirding 	Enchantment 	3U 	Rare 	rk post 	English Ninth Edition
115 	Blackmail 	Sorcery 	B 	Uncommon 	Christopher Moeller 	English Ninth Edition
116 	Bog Imp 	Creature - Imp 1/1 	1B 	Common 	Carl Critchlow 	English Ninth Edition
117 	Bog Wraith 	Creature - Wraith 3/3 	3B 	Uncommon 	Ted Naifeh 	English Ninth Edition
118 	Coercion 	Sorcery 	2B 	Common 	DiTerlizzi 	English Ninth Edition
119 	Consume Spirit 	Sorcery 	X1B 	Uncommon 	Matt Thompson 	English Ninth Edition
120 	Contaminated Bond 	Enchantment - Aura 	1B 	Common 	Thomas M. Baxa 	English Ninth Edition
121 	Cruel Edict 	Sorcery 	1B 	Uncommon 	Michael Sutfin 	English Ninth Edition
122 	Dark Banishing 	Instant 	2B 	Common 	Dermot Power 	English Ninth Edition
123 	Death Pits of Rath 	Enchantment 	3BB 	Rare 	Greg & Tim Hildebrandt 	English Ninth Edition
124 	Deathgazer 	Creature - Lizard 2/2 	3B 	Uncommon 	Donato Giancola 	English Ninth Edition
125 	Diabolic Tutor 	Sorcery 	2BB 	Uncommon 	Rick Farrell 	English Ninth Edition
126 	Drudge Skeletons 	Creature - Skeleton 1/1 	1B 	Uncommon 	Jim Nelson 	English Ninth Edition
127 	Enfeeblement 	Enchantment - Aura 	BB 	Common 	John Bolton 	English Ninth Edition
128 	Execute 	Instant 	2B 	Uncommon 	Gary Ruddell 	English Ninth Edition
129 	Fear 	Enchantment - Aura 	BB 	Common 	Adam Rex 	English Ninth Edition
130 	Festering Goblin 	Creature - Zombie Goblin 1/1 	B 	Common 	Thomas M. Baxa 	English Ninth Edition
131 	Final Punishment 	Sorcery 	3BB 	Rare 	Matt Thompson 	English Ninth Edition
132 	Foul Imp 	Creature - Imp 2/2 	BB 	Common 	Kev Walker 	English Ninth Edition
133 	Giant Cockroach 	Creature - Insect 4/2 	3B 	Common 	Heather Hudson 	English Ninth Edition
134 	Gluttonous Zombie 	Creature - Zombie 3/3 	4B 	Uncommon 	Thomas M. Baxa 	English Ninth Edition
135 	Grave Pact 	Enchantment 	1BBB 	Rare 	Puddnhead 	English Ninth Edition
136 	Gravedigger 	Creature - Zombie 2/2 	3B 	Common 	Dermot Power 	English Ninth Edition
137 	Hell's Caretaker 	Creature - Horror 1/1 	3B 	Rare 	Greg Staples 	English Ninth Edition
138 	Highway Robber 	Creature - Human Mercenary 2/2 	2BB 	Common 	Kev Walker 	English Ninth Edition
139 	Hollow Dogs 	Creature - Hound 3/3 	4B 	Common 	Jeff Miracola 	English Ninth Edition
140 	Horror of Horrors 	Enchantment 	3BB 	Uncommon 	Simon Bisley 	English Ninth Edition
141 	Hypnotic Specter 	Creature - Specter 2/2 	1BB 	Rare 	Greg Staples 	English Ninth Edition
142 	Looming Shade 	Creature - Shade 1/1 	2B 	Common 	Kev Walker 	English Ninth Edition
143 	Lord of the Undead 	Creature - Zombie Lord 2/2 	1BB 	Rare 	Brom 	English Ninth Edition
144 	Megrim 	Enchantment 	2B 	Uncommon 	Nick Percival 	English Ninth Edition
145 	Mind Rot 	Sorcery 	2B 	Common 	Steve Luke 	English Ninth Edition
146 	Mindslicer 	Creature - Horror 4/3 	2BB 	Rare 	Kev Walker 	English Ninth Edition
147 	Mortivore 	Creature - Lhurgoyf */* 	2BB 	Rare 	Anthony S. Waters 	English Ninth Edition
148 	Nantuko Husk 	Creature - Zombie Insect 2/2 	2B 	Uncommon 	Carl Critchlow 	English Ninth Edition
149 	Nekrataal 	Creature - Human Assassin 2/1 	2BB 	Uncommon 	Adrian Smith 	English Ninth Edition
150 	Nightmare 	Creature - Nightmare */* 	5B 	Rare 	Carl Critchlow 	English Ninth Edition
151 	Persecute 	Sorcery 	2BB 	Rare 	D. Alexander Gregory 	English Ninth Edition
152 	Phyrexian Arena 	Enchantment 	1BB 	Rare 	Carl Critchlow 	English Ninth Edition
153 	Phyrexian Gargantua 	Creature - Horror 4/4 	4BB 	Uncommon 	Carl Critchlow 	English Ninth Edition
154 	Plague Beetle 	Creature - Insect 1/1 	B 	Common 	Tom Fleming 	English Ninth Edition
155 	Plague Wind 	Sorcery 	7BB 	Rare 	Alan Pollack 	English Ninth Edition
156 	Raise Dead 	Sorcery 	B 	Common 	Carl Critchlow 	English Ninth Edition
157 	Ravenous Rats 	Creature - Rat 1/1 	1B 	Common 	Carl Critchlow 	English Ninth Edition
158 	Razortooth Rats 	Creature - Rat 2/1 	2B 	Common 	Carl Critchlow 	English Ninth Edition
159 	Royal Assassin 	Creature - Human Assassin 1/1 	1BB 	Rare 	Mark Zug 	English Ninth Edition
160 	Scathe Zombies 	Creature - Zombie 2/2 	2B 	Common 	Kev Walker 	English Ninth Edition
161 	Sengir Vampire 	Creature - Vampire 4/4 	3BB 	Rare 	Kev Walker 	English Ninth Edition
162 	Serpent Warrior 	Creature - Snake Warrior 3/3 	2B 	Common 	Ron Spencer 	English Ninth Edition
163 	Slay 	Instant 	2B 	Uncommon 	Ben Thompson 	English Ninth Edition
164 	Soul Feast 	Sorcery 	3BB 	Uncommon 	Adam Rex 	English Ninth Edition
165 	Spineless Thug 	Creature - Zombie Mercenary 2/2 	1B 	Common 	Matthew D. Wilson 	English Ninth Edition
166 	Swarm of Rats 	Creature - Rat */1 	1B 	Uncommon 	Kev Walker 	English Ninth Edition
167 	Underworld Dreams 	Enchantment 	BBB 	Rare 	Carl Critchlow 	English Ninth Edition
168 	Unholy Strength 	Enchantment - Aura 	B 	Common 	Puddnhead 	English Ninth Edition
169 	Will-o'-the-Wisp 	Creature - Spirit 0/1 	B 	Rare 	Rob Alexander 	English Ninth Edition
170 	Yawgmoth Demon 	Creature - Demon 6/6 	4BB 	Rare 	Pete Venters 	English Ninth Edition
171 	Zombify 	Sorcery 	3B 	Uncommon 	Mark Romanoski 	English Ninth Edition
172 	Anaba Shaman 	Creature - Minotaur Shaman 2/2 	3R 	Common 	Simon Bisley 	English Ninth Edition
173 	Anarchist 	Creature - Human Wizard 2/2 	4R 	Uncommon 	Brom 	English Ninth Edition
174 	Balduvian Barbarians 	Creature - Human Barbarian 3/2 	1RR 	Common 	Jim Nelson 	English Ninth Edition
175 	Blaze 	Sorcery 	XR 	Uncommon 	Alex Horley-Orlandelli 	English Ninth Edition
176 	Blood Moon 	Enchantment 	2R 	Rare 	Franz Vohwinkel 	English Ninth Edition
177 	Bloodfire Colossus 	Creature - Giant 6/6 	6RR 	Rare 	Greg Staples 	English Ninth Edition
178 	Boiling Seas 	Sorcery 	3R 	Uncommon 	Tom Wärstrand 	English Ninth Edition
179 	Demolish 	Sorcery 	3R 	Uncommon 	Gary Ruddell 	English Ninth Edition
180 	Enrage 	Instant 	XR 	Uncommon 	Justin Sweet 	English Ninth Edition
181 	Firebreathing 	Enchantment - Aura 	R 	Common 	Mike Kerr 	English Ninth Edition
182 	Flame Wave 	Sorcery 	3RRRR 	Uncommon 	Donato Giancola 	English Ninth Edition
183 	Flashfires 	Sorcery 	3R 	Uncommon 	Randy Gallegos 	English Ninth Edition
184 	Flowstone Crusher 	Creature - Beast 4/4 	3RR 	Uncommon 	Ben Thompson 	English Ninth Edition
185 	Flowstone Shambler 	Creature - Beast 2/2 	2R 	Common 	Jim Nelson 	English Ninth Edition
186 	Flowstone Slide 	Sorcery 	X2RR 	Rare 	Chippy 	English Ninth Edition
187 	Form of the Dragon 	Enchantment 	4RRR 	Rare 	Carl Critchlow 	English Ninth Edition
188 	Furnace of Rath 	Enchantment 	1RRR 	Rare 	John Matson 	English Ninth Edition
189 	Goblin Balloon Brigade 	Creature - Goblin Warrior 1/1 	R 	Uncommon 	Lars Grant-West 	English Ninth Edition
190 	Goblin Brigand 	Creature - Goblin Warrior 2/2 	1R 	Common 	Arnie Swekel 	English Ninth Edition
191 	Goblin Chariot 	Creature - Goblin Warrior 2/2 	2R 	Common 	John Howe 	English Ninth Edition
192 	Goblin King 	Creature - Goblin Lord 2/2 	1RR 	Rare 	Ron Spears 	English Ninth Edition
193 	Goblin Mountaineer 	Creature - Goblin Scout 1/1 	R 	Common 	Pete Venters 	English Ninth Edition
194 	Goblin Piker 	Creature - Goblin Warrior 2/1 	1R 	Common 	DiTerlizzi 	English Ninth Edition
195 	Goblin Sky Raider 	Creature - Goblin Warrior 1/2 	2R 	Common 	Daren Bader 	English Ninth Edition
196 	Guerrilla Tactics 	Instant 	1R 	Uncommon 	Ron Spencer 	English Ninth Edition
197 	Hill Giant 	Creature - Giant 3/3 	3R 	Common 	Dany Orizio 	English Ninth Edition
198 	Karplusan Yeti 	Creature - Yeti 3/3 	3RR 	Rare 	Wayne England 	English Ninth Edition
199 	Kird Ape 	Creature - Ape 1/1 	R 	Uncommon 	Terese Nielsen 	English Ninth Edition
200 	Lava Axe 	Sorcery 	4R 	Common 	Brian Snõ 	English Ninth Edition
201 	Lightning Elemental 	Creature - Elemental 4/1 	3R 	Common 	Kev Walker 	English Ninth Edition
202 	Magnivore 	Creature - Lhurgoyf */* 	2RR 	Rare 	Carl Critchlow 	English Ninth Edition
203 	Mana Clash 	Sorcery 	R 	Rare 	Ron Spencer 	English Ninth Edition
204 	Mogg Sentry 	Creature - Goblin Warrior 1/1 	R 	Rare 	Greg Staples 	English Ninth Edition
205 	Ogre Taskmaster 	Creature - Ogre 4/3 	3R 	Uncommon 	Dany Orizio 	English Ninth Edition
206 	Orcish Artillery 	Creature - Orc Warrior 1/3 	1RR 	Uncommon 	Jeff Miracola 	English Ninth Edition
207 	Panic Attack 	Sorcery 	2R 	Common 	Mike Ploog 	English Ninth Edition
208 	Pyroclasm 	Sorcery 	1R 	Uncommon 	John Avon 	English Ninth Edition
209 	Raging Goblin 	Creature - Goblin Berserker 1/1 	R 	Common 	Jeff Miracola 	English Ninth Edition
210 	Rathi Dragon 	Creature - Dragon 5/5 	2RR 	Rare 	Christopher Rush 	English Ninth Edition
211 	Reflexes 	Enchantment - Aura 	R 	Common 	Donato Giancola 	English Ninth Edition
212 	Relentless Assault 	Sorcery 	2RR 	Rare 	Greg & Tim Hildebrandt 	English Ninth Edition
213 	Rogue Kavu 	Creature - Kavu 1/1 	1R 	Common 	Darrell Riche 	English Ninth Edition
214 	Rukh Egg 	Creature - Egg 0/3 	3R 	Rare 	Mark Zug 	English Ninth Edition
215 	Sandstone Warrior 	Creature - Human Soldier 1/3 	2RR 	Common 	Lars Grant-West 	English Ninth Edition
216 	Seething Song 	Instant 	2R 	Common 	Martina Pilcerova 	English Ninth Edition
217 	Shard Phoenix 	Creature - Phoenix 2/2 	4R 	Rare 	Paolo Parente 	English Ninth Edition
218 	Shatter 	Instant 	1R 	Common 	Jason Alexander Behnke 	English Ninth Edition
219 	Shivan Dragon 	Creature - Dragon 5/5 	4RR 	Rare 	Donato Giancola 	English Ninth Edition
220 	Shock 	Instant 	R 	Common 	Randy Gallegos 	English Ninth Edition
221 	Stone Rain 	Sorcery 	2R 	Common 	John Matson 	English Ninth Edition
222 	Sudden Impact 	Instant 	3R 	Uncommon 	Simon Bisley 	English Ninth Edition
223 	Threaten 	Sorcery 	2R 	Uncommon 	Pete Venters 	English Ninth Edition
224 	Thundermare 	Creature - Thundermare 5/5 	5R 	Rare 	Bob Eggleton 	English Ninth Edition
225 	Viashino Sandstalker 	Creature - Viashino Warrior 4/2 	1RR 	Uncommon 	Andrew Robinson 	English Ninth Edition
226 	Volcanic Hammer 	Sorcery 	1R 	Common 	Ben Thompson 	English Ninth Edition
227 	Whip Sergeant 	Creature - Human Soldier 2/1 	2R 	Uncommon 	Paolo Parente 	English Ninth Edition
228 	Wildfire 	Sorcery 	4RR 	Rare 	Carl Critchlow 	English Ninth Edition
229 	Anaconda 	Creature - Snake 3/3 	3G 	Uncommon 	Andrew Robinson 	English Ninth Edition
230 	Ancient Silverback 	Creature - Ape 6/5 	4GG 	Rare 	Scott M. Fischer 	English Ninth Edition
231 	Biorhythm 	Sorcery 	6GG 	Rare 	Ron Spears 	English Ninth Edition
232 	Blanchwood Armor 	Enchantment - Aura 	2G 	Uncommon 	Paolo Parente 	English Ninth Edition
233 	Craw Wurm 	Creature - Wurm 6/4 	4GG 	Common 	Richard Sardinha 	English Ninth Edition
234 	Creeping Mold 	Sorcery 	2GG 	Uncommon 	Rob Alexander 	English Ninth Edition
235 	Early Harvest 	Instant 	1GG 	Rare 	Heather Hudson 	English Ninth Edition
236 	Elvish Bard 	Creature - Elf Shaman 2/4 	3GG 	Uncommon 	Rob Alexander 	English Ninth Edition
237 	Elvish Berserker 	Creature - Elf Berserker 1/1 	G 	Common 	Paolo Parente 	English Ninth Edition
238 	Elvish Champion 	Creature - Elf Lord 2/2 	1GG 	Rare 	D. Alexander Gregory 	English Ninth Edition
239 	Elvish Piper 	Creature - Elf Shaman 1/1 	3G 	Rare 	Rebecca Guay 	English Ninth Edition
240 	Elvish Warrior 	Creature - Elf Warrior 2/3 	GG 	Common 	Christopher Moeller 	English Ninth Edition
241 	Emperor Crocodile 	Creature - Crocodile 5/5 	3G 	Rare 	Kev Walker 	English Ninth Edition
242 	Force of Nature 	Creature - Elemental 8/8 	2GGGG 	Rare 	Greg Staples 	English Ninth Edition
243 	Giant Growth 	Instant 	G 	Common 	Jim Murray 	English Ninth Edition
244 	Giant Spider 	Creature - Spider 2/4 	3G 	Common 	Randy Gallegos 	English Ninth Edition
245 	Greater Good 	Enchantment 	2GG 	Rare 	Douglas Shuler 	English Ninth Edition
246 	Grizzly Bears 	Creature - Bear 2/2 	1G 	Common 	D. J. Cleland-Hura 	English Ninth Edition
247 	Groundskeeper 	Creature - Human Druid 1/1 	G 	Uncommon 	Alan Rabinowitz 	English Ninth Edition
248 	Hunted Wumpus 	Creature - Beast 6/6 	3G 	Uncommon 	Thomas M. Baxa 	English Ninth Edition
249 	Kavu Climber 	Creature - Kavu 3/3 	3GG 	Common 	Rob Alexander 	English Ninth Edition
250 	King Cheetah 	Creature - Cat 3/2 	3G 	Uncommon 	Terese Nielsen 	English Ninth Edition
251 	Ley Druid 	Creature - Human Druid 1/1 	2G 	Uncommon 	Edward P. Beard, Jr. 	English Ninth Edition
252 	Llanowar Behemoth 	Creature - Elemental 4/4 	3GG 	Uncommon 	Kev Walker 	English Ninth Edition
253 	Llanowar Elves 	Creature - Elf Druid 1/1 	G 	Common 	Kev Walker 	English Ninth Edition
254 	Maro 	Creature - Elemental */* 	2GG 	Rare 	Stuart Griffin 	English Ninth Edition
255 	Might of Oaks 	Instant 	3G 	Rare 	Greg Staples 	English Ninth Edition
256 	Natural Affinity 	Instant 	2G 	Rare 	Pete Venters 	English Ninth Edition
257 	Natural Spring 	Sorcery 	3GG 	Common 	Janine Johnston 	English Ninth Edition
258 	Naturalize 	Instant 	1G 	Common 	Jeff Miracola 	English Ninth Edition
259 	Needle Storm 	Sorcery 	2G 	Uncommon 	Val Mayerik 	English Ninth Edition
260 	Norwood Ranger 	Creature - Elf Scout 1/2 	G 	Common 	Ron Spencer 	English Ninth Edition
261 	Order of the Sacred Bell 	Creature - Human Monk 4/3 	3G 	Common 	Carl Critchlow 	English Ninth Edition
262 	Overgrowth 	Enchantment - Aura 	2G 	Common 	Christopher Rush 	English Ninth Edition
263 	Rampant Growth 	Sorcery 	1G 	Common 	Tom Kyffin 	English Ninth Edition
264 	Reclaim 	Instant 	G 	Common 	Andrew Robinson 	English Ninth Edition
265 	Regeneration 	Enchantment - Aura 	1G 	Uncommon 	Adam Rex 	English Ninth Edition
266 	River Bear 	Creature - Bear 3/3 	3G 	Uncommon 	Una Fricker 	English Ninth Edition
267 	Rootbreaker Wurm 	Creature - Wurm 6/6 	5GG 	Uncommon 	Richard Kane Ferguson 	English Ninth Edition
268 	Rootwalla 	Creature - Lizard 2/2 	2G 	Common 	Roger Raupp 	English Ninth Edition
269 	Scaled Wurm 	Creature - Wurm 7/6 	7G 	Common 	Wayne England 	English Ninth Edition
270 	Seedborn Muse 	Creature - Spirit 2/4 	3GG 	Rare 	Adam Rex 	English Ninth Edition
271 	Silklash Spider 	Creature - Spider 2/7 	3GG 	Rare 	Iain McCaig 	English Ninth Edition
272 	Stream of Life 	Sorcery 	XG 	Uncommon 	Andrew Goldhawk 	English Ninth Edition
