1 	Angel of Retribution 	Creature - Angel 5/5 	6W 	Rare 	rk post 	English Torment
47 	Skywing Aven 	Creature - Bird Soldier 2/1 	2U 	Common 	Matt Cavotta 	English Torment
48 	Stupefying Touch 	Enchant Creature 	1U 	Uncommon 	Bradley Williams 	English Torment
49 	Turbulent Dreams 	Sorcery 	UU 	Rare 	Wayne England 	English Torment
50 	Boneshard Slasher 	Creature - Horror 1/1 	1B 	Uncommon 	Ron Spencer 	English Torment
51 	Cabal Ritual 	Instant 	1B 	Common 	Greg & Tim Hildebrandt 	English Torment
52 	Cabal Surgeon 	Creature - Minion 2/1 	2BB 	Common 	Donato Giancola 	English Torment
53 	Cabal Torturer 	Creature - Minion 1/1 	1BB 	Common 	Pete Venters 	English Torment
54 	Carrion Rats 	Creature - Rat 2/1 	B 	Common 	Edward P. Beard, Jr. 	English Torment
55 	Carrion Wurm 	Creature - Zombie Wurm 6/5 	3BB 	Uncommon 	Glen Angus 	English Torment
56 	Chainer, Dementia Master 	Creature - Minion Legend 3/3 	3BB 	Rare 	Mark Zug 	English Torment
57 	Chainer's Edict 	Sorcery 	1B 	Uncommon 	Ben Thompson 	English Torment
58 	Crippling Fatigue 	Sorcery 	1BB 	Common 	Heather Hudson 	English Torment
59 	Dawn of the Dead 	Enchantment 	2BBB 	Rare 	Pete Venters 	English Torment
60 	Faceless Butcher 	Creature - Nightmare Horror 2/3 	2BB 	Common 	Daren Bader 	English Torment
61 	Gloomdrifter 	Creature - Minion 2/2 	3B 	Uncommon 	Adam Rex 	English Torment
62 	Gravegouger 	Creature - Nightmare Horror 2/2 	2B 	Common 	Daren Bader 	English Torment
63 	Grotesque Hybrid 	Creature - Zombie 3/3 	4B 	Uncommon 	Terese Nielsen 	English Torment
64 	Hypnox 	Creature - Nightmare Horror 8/8 	8BBB 	Rare 	Greg Staples 	English Torment
65 	Ichorid 	Creature - Horror 3/1 	3B 	Rare 	rk post 	English Torment
66 	Insidious Dreams 	Instant 	3B 	Rare 	John Avon 	English Torment
67 	Laquatus's Champion 	Creature - Nightmare Horror 6/3 	4BB 	Rare 	Greg Staples 	English Torment
68 	Last Laugh 	Enchantment 	2BB 	Rare 	John Matson 	English Torment
69 	Mesmeric Fiend 	Creature - Nightmare Horror 1/1 	1B 	Common 	Dana Knutson 	English Torment
70 	Mind Sludge 	Sorcery 	4B 	Uncommon 	Eric Peterson 	English Torment
71 	Mortal Combat 	Enchantment 	2BB 	Rare 	Mike Ploog 	English Torment
72 	Mortiphobia 	Enchantment 	1BB 	Uncommon 	Christopher Moeller 	English Torment
73 	Mutilate 	Sorcery 	2BB 	Rare 	Eric Peterson 	English Torment
74 	Nantuko Shade 	Creature - Insect Shade 2/1 	BB 	Rare 	Brian Snõ 	English Torment
75 	Organ Grinder 	Creature - Zombie 3/1 	2B 	Common 	Adam Rex 	English Torment
76 	Psychotic Haze 	Instant 	2BB 	Common 	Alex Horley-Orlandelli 	English Torment
77 	Putrid Imp 	Creature - Zombie Imp 1/1 	B 	Common 	Wayne England 	English Torment
78 	Rancid Earth 	Sorcery 	1BB 	Common 	Ciruelo 	English Torment
79 	Restless Dreams 	Sorcery 	B 	Common 	John Matson 	English Torment
80 	Sengir Vampire 	Creature - Vampire 4/4 	3BB 	Rare 	Kev Walker 	English Torment
81 	Shade's Form 	Enchant Creature 	1BB 	Common 	Clyde Caldwell 	English Torment
82 	Shambling Swarm 	Creature - Horror 3/3 	1BBB 	Rare 	Arnie Swekel 	English Torment
83 	Sickening Dreams 	Sorcery 	1B 	Uncommon 	Scott M. Fischer 	English Torment
84 	Slithery Stalker 	Creature - Nightmare Horror 1/1 	1BB 	Uncommon 	John Avon 	English Torment
85 	Soul Scourge 	Creature - Nightmare Horror 3/2 	4B 	Common 	Carl Critchlow 	English Torment
86 	Strength of Lunacy 	Enchant Creature 	1B 	Uncommon 	Greg & Tim Hildebrandt 	English Torment
87 	Unhinge 	Sorcery 	2B 	Common 	Keith Garletts 	English Torment
88 	Waste Away 	Instant 	4B 	Common 	Alan Pollack 	English Torment
89 	Zombie Trailblazer 	Creature - Zombie 2/2 	BBB 	Uncommon 	Brian Snõ 	English Torment
90 	Accelerate 	Instant 	1R 	Common 	Gary Ruddell 	English Torment
91 	Balthor the Stout 	Creature - Dwarf Legend 2/2 	1RR 	Rare 	Ron Spears 	English Torment
92 	Barbarian Outcast 	Creature - Barbarian Beast 2/2 	1R 	Common 	Mark Tedin 	English Torment
93 	Crackling Club 	Enchant Creature 	R 	Common 	Mike Ploog 	English Torment
94 	Crazed Firecat 	Creature - Cat 4/4 	5RR 	Uncommon 	Ron Spears 	English Torment
95 	Devastating Dreams 	Sorcery 	RR 	Rare 	Tony Szczudlo 	English Torment
96 	Enslaved Dwarf 	Creature - Dwarf 1/1 	R 	Common 	Terese Nielsen 	English Torment
97 	Fiery Temper 	Instant 	1RR 	Common 	Greg & Tim Hildebrandt 	English Torment
98 	Flaming Gambit 	Instant 	XR 	Uncommon 	Donato Giancola 	English Torment
99 	Flash of Defiance 	Sorcery 	1R 	Common 	Carl Critchlow 	English Torment
100 	Grim Lavamancer 	Creature - Wizard 1/1 	R 	Rare 	Jim Nelson 	English Torment
101 	Hell-Bent Raider 	Creature - Barbarian 2/2 	1RR 	Rare 	Mike Ploog 	English Torment
102 	Kamahl's Sledge 	Sorcery 	5RR 	Common 	Don Hazeltine 	English Torment
103 	Longhorn Firebeast 	Creature - Beast 3/2 	2R 	Common 	Glen Angus 	English Torment
104 	Overmaster 	Sorcery 	R 	Rare 	Anthony S. Waters 	English Torment
105 	Pardic Arsonist 	Creature - Barbarian 3/3 	2RR 	Uncommon 	rk post 	English Torment
106 	Pardic Collaborator 	Creature - Barbarian 2/2 	3R 	Uncommon 	Pete Venters 	English Torment
107 	Pardic Lancer 	Creature - Barbarian 3/2 	4R 	Common 	Justin Sweet 	English Torment
108 	Petradon 	Creature - Nightmare Beast 5/6 	6RR 	Rare 	Jim Nelson 	English Torment
109 	Petravark 	Creature - Nightmare Beast 2/2 	3R 	Common 	Wayne England 	English Torment
110 	Pitchstone Wall 	Creature - Wall 2/5 	2R 	Uncommon 	David Martin 	English Torment
111 	Possessed Barbarian 	Creature - Barbarian Horror 3/3 	2RR 	Rare 	Scott M. Fischer 	English Torment
112 	Pyromania 	Enchantment 	2R 	Uncommon 	Christopher Moeller 	English Torment
113 	Radiate 	Instant 	3RR 	Rare 	Carl Critchlow 	English Torment
114 	Skullscorch 	Sorcery 	RR 	Rare 	Bradley Williams 	English Torment
115 	Sonic Seizure 	Instant 	R 	Common 	Terese Nielsen 	English Torment
116 	Temporary Insanity 	Instant 	3R 	Uncommon 	Mark Romanoski 	English Torment
117 	Violent Eruption 	Instant 	1RRR 	Uncommon 	Bob Petillo 	English Torment
118 	Acorn Harvest 	Sorcery 	3G 	Common 	Edward P. Beard, Jr. 	English Torment
119 	Anurid Scavenger 	Creature - Beast 3/3 	2G 	Uncommon 	Bob Petillo 	English Torment
120 	Arrogant Wurm 	Creature - Wurm 4/4 	3GG 	Uncommon 	John Avon 	English Torment
121 	Basking Rootwalla 	Creature - Lizard 1/1 	G 	Common 	Heather Hudson 	English Torment
122 	Centaur Chieftain 	Creature - Centaur 3/3 	3G 	Uncommon 	Justin Sweet 	English Torment
123 	Centaur Veteran 	Creature - Centaur 3/3 	5G 	Common 	Mark Zug 	English Torment
124 	Dwell on the Past 	Sorcery 	G 	Uncommon 	Rebecca Guay 	English Torment
125 	Far Wanderings 	Sorcery 	2G 	Common 	Darrell Riche 	English Torment
126 	Gurzigost 	Creature - Beast 6/8 	3GG 	Rare 	Scott M. Fischer 	English Torment
127 	Insist 	Sorcery 	G 	Rare 	Franz Vohwinkel 	English Torment
128 	Invigorating Falls 	Sorcery 	2GG 	Common 	Rebecca Guay 	English Torment
129 	Krosan Constrictor 	Creature - Snake 2/2 	3G 	Common 	Jim Nelson 	English Torment
130 	Krosan Restorer 	Creature - Druid 1/2 	2G 	Common 	Clyde Caldwell 	English Torment
131 	Nantuko Blightcutter 	Creature - Insect Druid 2/2 	2G 	Rare 	Matt Cavotta 	English Torment
132 	Nantuko Calmer 	Creature - Insect Druid 2/3 	2GG 	Common 	Mark Romanoski 	English Torment
133 	Nantuko Cultivator 	Creature - Insect Druid 2/2 	3G 	Rare 	Darrell Riche 	English Torment
134 	Narcissism 	Enchantment 	2G 	Uncommon 	Christopher Moeller 	English Torment
135 	Nostalgic Dreams 	Sorcery 	GG 	Rare 	Darrell Riche 	English Torment
136 	Parallel Evolution 	Sorcery 	3GG 	Rare 	Matt Cavotta 	English Torment
137 	Possessed Centaur 	Creature - Centaur Horror 3/3 	2GG 	Rare 	Alex Horley-Orlandelli 	English Torment
138 	Seton's Scout 	Creature - Centaur Druid 2/1 	1G 	Uncommon 	Mark Romanoski 	English Torment
139 	Cabal Coffers 	Land 		Uncommon 	Don Hazeltine 	English Torment
140 	Tainted Field 	Land 		Uncommon 	Don Hazeltine 	English Torment
141 	Tainted Isle 	Land 		Uncommon 	Alan Pollack 	English Torment
142 	Tainted Peak 	Land 		Uncommon 	Tony Szczudlo 	English Torment
143 	Tainted Wood 	Land 		Uncommon 	Rob Alexander 	English Torment
