1 	Abuna's Chant 	Instant 	3W 	Common 	John Matson 	English Fifth Dawn
21 	Acquire 	Sorcery 	3UU 	Rare 	Daren Bader 	English Fifth Dawn
22 	Advanced Hoverguard 	Creature - Drone 2/2 	3U 	Common 	Scott M. Fischer 	English Fifth Dawn
23 	Artificer's Intuition 	Enchantment 	1U 	Rare 	Wayne England 	English Fifth Dawn
24 	Beacon of Tomorrows 	Sorcery 	6UU 	Rare 	Jeremy Jarvis 	English Fifth Dawn
25 	Blinkmoth Infusion 	Instant 	12UU 	Rare 	Alan Pollack 	English Fifth Dawn
26 	Bringer of the Blue Dawn 	Creature - Bringer 5/5 	7UU 	Rare 	Greg Staples 	English Fifth Dawn
27 	Condescend 	Instant 	XU 	Common 	Ron Spears 	English Fifth Dawn
28 	Disruption Aura 	Enchant Artifact 	2U 	Uncommon 	Ron Spears 	English Fifth Dawn
29 	Early Frost 	Instant 	1U 	Common 	Ben Thompson 	English Fifth Dawn
30 	Eyes of the Watcher 	Enchantment 	2U 	Uncommon 	Ron Spears 	English Fifth Dawn
31 	Fold into Æher 	Instant 	2UU 	Uncommon 	Anthony S. Waters 	English Fifth Dawn
32 	Hoverguard Sweepers 	Creature - Drone 5/6 	6UU 	Rare 	Mark A. Nelson 	English Fifth Dawn
33 	Into Thin Air 	Instant 	5U 	Common 	Ittoku 	English Fifth Dawn
34 	Plasma Elemental 	Creature - Elemental 4/1 	5U 	Uncommon 	Kev Walker 	English Fifth Dawn
35 	Qumulox 	Creature - Beast 5/4 	6UU 	Uncommon 	Carl Critchlow 	English Fifth Dawn
36 	Serum Visions 	Sorcery 	U 	Common 	Ben Thompson 	English Fifth Dawn
37 	Spectral Shift 	Instant 	1U 	Rare 	John Avon 	English Fifth Dawn
38 	Thought Courier 	Creature - Human Wizard 1/1 	1U 	Common 	Stephen Tappin 	English Fifth Dawn
39 	Trinket Mage 	Creature - Human Wizard 2/2 	2U 	Common 	Mark A. Nelson 	English Fifth Dawn
40 	Vedalken Mastermind 	Creature - Vedalken Wizard 1/2 	UU 	Uncommon 	Darrell Riche 	English Fifth Dawn
41 	Beacon of Unrest 	Sorcery 	3BB 	Rare 	Alan Pollack 	English Fifth Dawn
42 	Blind Creeper 	Creature - Zombie Beast 3/3 	1B 	Common 	Carl Critchlow 	English Fifth Dawn
43 	Bringer of the Black Dawn 	Creature - Bringer 5/5 	7BB 	Rare 	Carl Critchlow 	English Fifth Dawn
44 	Cackling Imp 	Creature - Imp 2/2 	2BB 	Common 	Matt Thompson 	English Fifth Dawn
45 	Desecration Elemental 	Creature - Elemental 8/8 	3B 	Rare 	Pete Venters 	English Fifth Dawn
46 	Devour in Shadow 	Instant 	BB 	Uncommon 	Thomas M. Baxa 	English Fifth Dawn
47 	Dross Crocodile 	Creature - Zombie Crocodile 5/1 	3B 	Common 	Edward P. Beard, Jr. 	English Fifth Dawn
48 	Ebon Drake 	Creature - Drake 3/3 	2B 	Uncommon 	Pete Venters 	English Fifth Dawn
49 	Endless Whispers 	Enchantment 	2BB 	Rare 	Carl Critchlow 	English Fifth Dawn
50 	Fill with Fright 	Sorcery 	3B 	Common 	Luca Zontini 	English Fifth Dawn
51 	Fleshgrafter 	Creature - Human Warrior 2/2 	2B 	Common 	Jim Murray 	English Fifth Dawn
52 	Lose Hope 	Instant 	B 	Common 	Matt Cavotta 	English Fifth Dawn
53 	Mephidross Vampire 	Creature - Vampire 3/4 	4BB 	Rare 	Matthew D. Wilson 	English Fifth Dawn
54 	Moriok Rigger 	Creature - Human Rogue 2/2 	2B 	Rare 	Wayne England 	English Fifth Dawn
55 	Night's Whisper 	Sorcery 	1B 	Uncommon 	David Martin 	English Fifth Dawn
56 	Nim Grotesque 	Creature - Zombie 3/6 	6B 	Uncommon 	Anthony S. Waters 	English Fifth Dawn
57 	Plunge into Darkness 	Instant 	1B 	Rare 	Justin Sweet 	English Fifth Dawn
58 	Relentless Rats 	Creature - Rat 2/2 	1BB 	Uncommon 	Thomas M. Baxa 	English Fifth Dawn
59 	Shattered Dreams 	Sorcery 	B 	Uncommon 	Greg Staples 	English Fifth Dawn
60 	Vicious Betrayal 	Sorcery 	3BB 	Common 	Tomas Giorello 	English Fifth Dawn
61 	Beacon of Destruction 	Instant 	3RR 	Rare 	Greg Hildebrandt 	English Fifth Dawn
62 	Bringer of the Red Dawn 	Creature - Bringer 5/5 	7RR 	Rare 	Christopher Moeller 	English Fifth Dawn
63 	Cosmic Larva 	Creature - Beast 7/6 	1RR 	Rare 	Jeff Easley 	English Fifth Dawn
64 	Feedback Bolt 	Instant 	4R 	Uncommon 	Ron Spencer 	English Fifth Dawn
65 	Furnace Whelp 	Creature - Dragon 2/2 	2RR 	Uncommon 	Matt Cavotta 	English Fifth Dawn
66 	Goblin Brawler 	Creature - Goblin Warrior 2/2 	2R 	Common 	Heather Hudson 	English Fifth Dawn
67 	Granulate 	Sorcery 	2RR 	Rare 	Brian Snõ 	English Fifth Dawn
68 	Ion Storm 	Enchantment 	2R 	Rare 	Michael Sutfin 	English Fifth Dawn
69 	Iron-Barb Hellion 	Creature - Beast 5/4 	5R 	Uncommon 	Doug Chaffee 	English Fifth Dawn
70 	Krark-Clan Engineers 	Creature - Goblin Artificer 2/2 	3R 	Uncommon 	Pete Venters 	English Fifth Dawn
71 	Krark-Clan Ogre 	Creature - Ogre 3/3 	3RR 	Common 	Paolo Parente 	English Fifth Dawn
72 	Magma Giant 	Creature - Giant 5/5 	5RR 	Rare 	Nottsuo 	English Fifth Dawn
73 	Magma Jet 	Instant 	1R 	Uncommon 	Justin Sweet 	English Fifth Dawn
74 	Magnetic Theft 	Instant 	R 	Uncommon 	Dave Dorman 	English Fifth Dawn
75 	Mana Geyser 	Sorcery 	3RR 	Common 	Martina Pilcerova 	English Fifth Dawn
76 	Rain of Rust 	Instant 	3RR 	Common 	Tim Hildebrandt 	English Fifth Dawn
77 	Reversal of Fortune 	Sorcery 	4RR 	Rare 	Greg Hildebrandt 	English Fifth Dawn
78 	Screaming Fury 	Sorcery 	2R 	Common 	Edward P. Beard, Jr. 	English Fifth Dawn
79 	Spark Elemental 	Creature - Elemental 3/1 	R 	Common 	John Avon 	English Fifth Dawn
80 	Vulshok Sorcerer 	Creature - Human Shaman 1/1 	1RR 	Common 	rk post 	English Fifth Dawn
81 	All Suns' Dawn 	Sorcery 	4G 	Rare 	Glen Angus 	English Fifth Dawn
82 	Beacon of Creation 	Sorcery 	3G 	Rare 	Mark Tedin 	English Fifth Dawn
83 	Bringer of the Green Dawn 	Creature - Bringer 5/5 	7GG 	Rare 	Jim Murray 	English Fifth Dawn
84 	Channel the Suns 	Sorcery 	3G 	Uncommon 	Rob Alexander 	English Fifth Dawn
85 	Dawn's Reflection 	Enchant Land 	3G 	Common 	John Avon 	English Fifth Dawn
86 	Eternal Witness 	Creature - Human Shaman 2/1 	1GG 	Uncommon 	Terese Nielsen 	English Fifth Dawn
87 	Fangren Pathcutter 	Creature - Beast 4/6 	4GG 	Uncommon 	Rob Alexander 	English Fifth Dawn
88 	Ferocious Charge 	Instant 	2G 	Common 	Anthony S. Waters 	English Fifth Dawn
89 	Joiner Adept 	Creature - Elf Druid 2/1 	1G 	Rare 	Christopher Rush 	English Fifth Dawn
90 	Ouphe Vandals 	Creature - Ouphe 2/2 	2G 	Uncommon 	Thomas M. Baxa 	English Fifth Dawn
91 	Rite of Passage 	Enchantment 	2G 	Rare 	Kev Walker 	English Fifth Dawn
92 	Rude Awakening 	Sorcery 	4G 	Rare 	Ittoku 	English Fifth Dawn
93 	Sylvok Explorer 	Creature - Human Druid 1/1 	1G 	Common 	Wayne England 	English Fifth Dawn
94 	Tangle Asp 	Creature - Snake 1/2 	1G 	Common 	Daren Bader 	English Fifth Dawn
95 	Tel-Jilad Justice 	Instant 	1G 	Uncommon 	Alex Horley-Orlandelli 	English Fifth Dawn
96 	Tel-Jilad Lifebreather 	Creature - Troll Shaman 3/2 	4G 	Common 	Jim Nelson 	English Fifth Dawn
97 	Tornado Elemental 	Creature - Elemental 6/6 	5GG 	Rare 	Alex Horley-Orlandelli 	English Fifth Dawn
98 	Tyrranax 	Creature - Beast 5/4 	4GG 	Common 	Carl Critchlow 	English Fifth Dawn
99 	Viridian Lorebearers 	Creature - Elf Shaman 3/3 	3G 	Uncommon 	Darrell Riche 	English Fifth Dawn
100 	Viridian Scout 	Creature - Elf Warrior 1/2 	3G 	Common 	Daren Bader 	English Fifth Dawn
101 	Anodet Lurker 	Artifact Creature 3/3 	5 	Common 	Jeff Easley 	English Fifth Dawn
102 	Arachnoid 	Artifact Creature - Spider 2/6 	6 	Uncommon 	Greg Staples 	English Fifth Dawn
103 	Arcbound Wanderer 	Artifact Creature 0/0 	6 	Uncommon 	Christopher Moeller 	English Fifth Dawn
104 	Avarice Totem 	Artifact 	1 	Uncommon 	Ben Thompson 	English Fifth Dawn
105 	Baton of Courage 	Artifact 	3 	Common 	Heather Hudson 	English Fifth Dawn
106 	Battered Golem 	Artifact Creature - Golem 3/2 	3 	Common 	Carl Critchlow 	English Fifth Dawn
107 	Blasting Station 	Artifact 	3 	Uncommon 	Stephen Tappin 	English Fifth Dawn
108 	Chimeric Coils 	Artifact 	1 	Uncommon 	Michael Sutfin 	English Fifth Dawn
109 	Clearwater Goblet 	Artifact 	5 	Rare 	Dany Orizio 	English Fifth Dawn
110 	Clock of Omens 	Artifact 	4 	Uncommon 	Alex Horley-Orlandelli 	English Fifth Dawn
111 	Composite Golem 	Artifact Creature - Golem 4/4 	6 	Uncommon 	Mark Tedin 	English Fifth Dawn
112 	Conjurer's Bauble 	Artifact 	1 	Common 	Darrell Riche 	English Fifth Dawn
113 	Cranial Plating 	Artifact - Equipment 	2 	Common 	Adam Rex 	English Fifth Dawn
114 	Crucible of Worlds 	Artifact 	3 	Rare 	Ron Spencer 	English Fifth Dawn
115 	Door to Nothingness 	Artifact 	5 	Rare 	Puddnhead 	English Fifth Dawn
116 	Doubling Cube 	Artifact 	2 	Rare 	Mark Tedin 	English Fifth Dawn
117 	Energy Chamber 	Artifact 	2 	Uncommon 	Kev Walker 	English Fifth Dawn
118 	Engineered Explosives 	Artifact 	X 	Rare 	Ron Spears 	English Fifth Dawn
119 	Ensouled Scimitar 	Artifact - Equipment 	3 	Uncommon 	Edward P. Beard, Jr. 	English Fifth Dawn
120 	Eon Hub 	Artifact 	5 	Rare 	Daren Bader 	English Fifth Dawn
121 	Etched Oracle 	Artifact Creature 0/0 	4 	Uncommon 	Matt Cavotta 	English Fifth Dawn
122 	Ferropede 	Artifact Creature - Insect 1/1 	3 	Uncommon 	Jeff Easley 	English Fifth Dawn
123 	Fist of Suns 	Artifact 	3 	Rare 	Arnie Swekel 	English Fifth Dawn
124 	Gemstone Array 	Artifact 	4 	Uncommon 	Ittoku 	English Fifth Dawn
125 	Goblin Cannon 	Artifact 	4 	Uncommon 	Doug Chaffee 	English Fifth Dawn
126 	Grafted Wargear 	Artifact - Equipment 	3 	Uncommon 	Alex Horley-Orlandelli 	English Fifth Dawn
127 	Grinding Station 	Artifact 	2 	Uncommon 	Greg Staples 	English Fifth Dawn
128 	Guardian Idol 	Artifact 	2 	Uncommon 	Edward P. Beard, Jr. 	English Fifth Dawn
129 	Healer's Headdress 	Artifact - Equipment 	2 	Common 	Carl Critchlow 	English Fifth Dawn
130 	Heliophial 	Artifact 	5 	Common 	Wayne England 	English Fifth Dawn
131 	Helm of Kaldra 	Legendary Artifact - Equipment 	3 	Rare 	Donato Giancola 	English Fifth Dawn
132 	Horned Helm 	Artifact - Equipment 	2 	Common 	Martina Pilcerova 	English Fifth Dawn
133 	Infused Arrows 	Artifact 	4 	Uncommon 	Stephen Tappin 	English Fifth Dawn
134 	Krark-Clan Ironworks 	Artifact 	4 	Uncommon 	Tim Hildebrandt 	English Fifth Dawn
135 	Lantern of Insight 	Artifact 	1 	Uncommon 	Tim Hildebrandt 	English Fifth Dawn
136 	Lunar Avenger 	Artifact Creature - Golem 2/2 	7 	Uncommon 	Paolo Parente 	English Fifth Dawn
137 	Mycosynth Golem 	Artifact Creature - Golem 4/5 	11 	Rare 	Paolo Parente 	English Fifth Dawn
138 	Myr Quadropod 	Artifact Creature - Myr 1/4 	4 	Common 	Christopher Rush 	English Fifth Dawn
139 	Myr Servitor 	Artifact Creature - Myr 1/1 	1 	Common 	John Matson 	English Fifth Dawn
140 	Neurok Stealthsuit 	Artifact - Equipment 	2 	Common 	Francis Tsai 	English Fifth Dawn
141 	Opaline Bracers 	Artifact - Equipment 	4 	Common 	Anthony S. Waters 	English Fifth Dawn
142 	Paradise Mantle 	Artifact - Equipment 	0 	Uncommon 	Greg Hildebrandt 	English Fifth Dawn
143 	Pentad Prism 	Artifact 	2 	Common 	David Martin 	English Fifth Dawn
144 	Possessed Portal 	Artifact 	8 	Rare 	Tony Szczudlo 	English Fifth Dawn
145 	Razorgrass Screen 	Artifact Creature - Wall 2/1 	1 	Common 	Tony Szczudlo 	English Fifth Dawn
146 	Razormane Masticore 	Artifact Creature 5/5 	5 	Rare 	Jim Murray 	English Fifth Dawn
147 	Relic Barrier 	Artifact 	2 	Uncommon 	Nottsuo 	English Fifth Dawn
148 	Salvaging Station 	Artifact 	6 	Rare 	Greg Staples 	English Fifth Dawn
149 	Sawtooth Thresher 	Artifact Creature 1/1 	6 	Common 	Alan Pollack 	English Fifth Dawn
150 	Silent Arbiter 	Artifact Creature 1/5 	4 	Rare 	Mark Zug 	English Fifth Dawn
151 	Skullcage 	Artifact 	4 	Uncommon 	Ron Spencer 	English Fifth Dawn
152 	Skyreach Manta 	Artifact Creature 0/0 	5 	Common 	Christopher Moeller 	English Fifth Dawn
153 	Solarion 	Artifact Creature 0/0 	7 	Rare 	Jim Murray 	English Fifth Dawn
154 	Sparring Collar 	Artifact - Equipment 	2 	Common 	Christopher Moeller 	English Fifth Dawn
155 	Spinal Parasite 	Artifact Creature - Insect -1/-1 	5 	Uncommon 	Cyril Van Der Haegen 	English Fifth Dawn
156 	Staff of Domination 	Artifact 	3 	Rare 	Ben Thompson 	English Fifth Dawn
157 	Summoner's Egg 	Artifact Creature 0/4 	4 	Rare 	Jim Nelson 	English Fifth Dawn
158 	Summoning Station 	Artifact 	7 	Rare 	Stephen Tappin 	English Fifth Dawn
159 	Suncrusher 	Artifact Creature 3/3 	9 	Rare 	Dave Dorman 	English Fifth Dawn
160 	Suntouched Myr 	Artifact Creature - Myr 0/0 	3 	Common 	Greg Hildebrandt 	English Fifth Dawn
161 	Synod Centurion 	Artifact Creature 4/4 	4 	Uncommon 	Kev Walker 	English Fifth Dawn
162 	Thermal Navigator 	Artifact Creature 2/2 	3 	Common 	Jim Murray 	English Fifth Dawn
163 	Vedalken Orrery 	Artifact 	4 	Rare 	John Avon 	English Fifth Dawn
164 	Vedalken Shackles 	Artifact 	3 	Rare 	Mark Zug 	English Fifth Dawn
165 	Wayfarer's Bauble 	Artifact 	1 	Common 	Darrell Riche 	English Fifth Dawn
