1 	Angelfire Crusader 	Creature - Soldier 2/3 	3W 	Common 	Edward P. Beard, Jr. 	English Apocalypse
118 	Quicksilver Dagger 	Enchant Creature 	1UR 	Common 	Alex Horley-Orlandelli 	English Apocalypse
119 	Razorfin Hunter 	Creature - Merfolk Goblin 1/1 	UR 	Common 	Jeff Easley 	English Apocalypse
120 	Soul Link 	Enchant Creature 	1WB 	Common 	Jeff Easley 	English Apocalypse
121 	Spiritmonger 	Creature - Beast 6/6 	3BG 	Rare 	Glen Angus 	English Apocalypse
122 	Squee's Embrace 	Enchant Creature 	WR 	Common 	Rebecca Guay 	English Apocalypse
123 	Squee's Revenge 	Sorcery 	1UR 	Uncommon 	Kev Walker 	English Apocalypse
124 	Suffocating Blast 	Instant 	1UUR 	Rare 	Christopher Moeller 	English Apocalypse
125 	Temporal Spring 	Sorcery 	1UG 	Common 	John Matson 	English Apocalypse
126 	Vindicate 	Sorcery 	1WB 	Rare 	Brian Snõ 	English Apocalypse
127 	Yavimaya's Embrace 	Enchant Creature 	5UUG 	Rare 	Eric Peterson 	English Apocalypse
128 	Fire (Fire/Ice) 	Instant 	1R 	Uncommon 	Franz Vohwinkel 	English Apocalypse
129 	Illusion (Illusion/Reality) 	Instant 	U 	Uncommon 	David Martin 	English Apocalypse
130 	Life (Life/Death) 	Sorcery 	G 	Uncommon 	Edward P. Beard, Jr. 	English Apocalypse
131 	Night (Night/Day) 	Instant 	B 	Uncommon 	Anthony S. Waters 	English Apocalypse
132 	Order (Order/Chaos) 	Instant 	3W 	Uncommon 	Greg & Tim Hildebrandt 	English Apocalypse
133 	Brass Herald 	Artifact Creature - Golem 2/2 	6 	Uncommon 	Daren Bader 	English Apocalypse
134 	Dodecapod 	Artifact Creature 3/3 	4 	Uncommon 	John Howe 	English Apocalypse
135 	Dragon Arch 	Artifact 	5 	Uncommon 	Dana Knutson 	English Apocalypse
136 	Emblazoned Golem 	Artifact Creature - Golem 1/2 	2 	Uncommon 	Greg Staples 	English Apocalypse
137 	Legacy Weapon 	Legendary Artifact 	7 	Rare 	John Avon 	English Apocalypse
138 	Mask of Intolerance 	Artifact 	2 	Rare 	Glen Angus 	English Apocalypse
139 	Battlefield Forge 	Land 		Rare 	Darrell Riche 	English Apocalypse
140 	Caves of Koilos 	Land 		Rare 	Jim Nelson 	English Apocalypse
141 	Llanowar Wastes 	Land 		Rare 	Rob Alexander 	English Apocalypse
142 	Shivan Reef 	Land 		Rare 	Rob Alexander 	English Apocalypse
143 	Yavimaya Coast 	Land 		Rare 	Anthony S. Waters 	English Apocalypse
144 	Ice (Fire/Ice) 	Instant 	1U 	Uncommon 	David Martin and Franz Vohwinkel 	English Apocalypse
145 	Reality (Illusion/Reality) 	Instant 	2G 	Uncommon 	John Avon, David Martin 	English Apocalypse
146 	Death (Life/Death) 	Sorcery 	1B 	Uncommon 	Edward P. Beard, Jr. and Anthony S. Waters 	English Apocalypse
147 	Day (Night/Day) 	Instant 	2W 	Uncommon 	Anthony S. Waters and Christopher Moeller 	English Apocalypse
148 	Chaos (Order/Chaos) 	Instant 	2R 	Uncommon 	Greg & Tim Hildebrandt 	English Apocalypse
