1 	Ardent Plea 	Enchantment 	1WU 	Uncommon 	Chippy 	English Alara Reborn
25 	Mask of Riddles 	Artifact - Equipment 	UB 	Uncommon 	Matt Cavotta 	English Alara Reborn
26 	Mind Funeral 	Sorcery 	1UB 	Uncommon 	rk post 	English Alara Reborn
27 	Mistvein Borderpost 	Artifact 	1UB 	Common 	Pete Venters 	English Alara Reborn
28 	Nemesis of Reason 	Creature - Leviathan Horror 3/7 	3UB 	Rare 	Mark Tedin 	English Alara Reborn
29 	Soul Manipulation 	Instant 	1UB 	Common 	Carl Critchlow 	English Alara Reborn
30 	Soulquake 	Sorcery 	3UUBB 	Rare 	Warren Mahy 	English Alara Reborn
31 	Time Sieve 	Artifact 	UB 	Rare 	Franz Vohwinkel 	English Alara Reborn
32 	Vedalken Ghoul 	Creature - Vedalken Zombie 1/1 	UB 	Common 	Dave Kendall 	English Alara Reborn
33 	Anathemancer 	Creature - Zombie Wizard 2/2 	1BR 	Uncommon 	Richard Whitters 	English Alara Reborn
34 	Bituminous Blast 	Instant 	3BR 	Uncommon 	Raymond Swanland 	English Alara Reborn
35 	Breath of Malfegor 	Instant 	3BR 	Common 	Vance Kovacs 	English Alara Reborn
36 	Deathbringer Thoctar 	Creature - Zombie Beast 3/3 	4BR 	Rare 	Karl Kopinski 	English Alara Reborn
37 	Defiler of Souls 	Creature - Demon 5/5 	3BBR 	Mythic Rare 	Paul Bonner 	English Alara Reborn
38 	Demonic Dread 	Sorcery 	1BR 	Common 	Thomas M. Baxa 	English Alara Reborn
39 	Demonspine Whip 	Artifact - Equipment 	BR 	Uncommon 	Mark Hyzer 	English Alara Reborn
40 	Igneous Pouncer 	Creature - Elemental 5/1 	4BR 	Common 	Chippy 	English Alara Reborn
41 	Kathari Bomber 	Creature - Bird Shaman 2/2 	1BR 	Common 	Carl Critchlow 	English Alara Reborn
42 	Lightning Reaver 	Creature - Zombie Beast 3/3 	3BR 	Rare 	Cyril Van Der Haegen 	English Alara Reborn
43 	Monstrous Carabid 	Creature - Insect 4/4 	3BR 	Common 	Pete Venters 	English Alara Reborn
44 	Sanity Gnawers 	Creature - Rat 1/1 	1BR 	Uncommon 	Pete Venters 	English Alara Reborn
45 	Singe-Mind Ogre 	Creature - Ogre Mutant 3/2 	2BR 	Common 	Daarken 	English Alara Reborn
46 	Terminate 	Instant 	BR 	Common 	Wayne Reynolds 	English Alara Reborn
47 	Thought Hemorrhage 	Sorcery 	2BR 	Rare 	Chippy 	English Alara Reborn
48 	Veinfire Borderpost 	Artifact 	1BR 	Common 	Ralph Horsley 	English Alara Reborn
49 	Blitz Hellion 	Creature - Hellion 7/7 	3RG 	Rare 	Anthony S. Waters 	English Alara Reborn
50 	Bloodbraid Elf 	Creature - Elf Berserker 3/2 	2RG 	Uncommon 	Dominick Domingo 	English Alara Reborn
51 	Colossal Might 	Instant 	RG 	Common 	Justin Sweet 	English Alara Reborn
52 	Deadshot Minotaur 	Creature - Minotaur 3/4 	3RG 	Common 	Jason Chan 	English Alara Reborn
53 	Dragon Broodmother 	Creature - Dragon 4/4 	2RRRG 	Mythic Rare 	Jaime Jones 	English Alara Reborn
54 	Firewild Borderpost 	Artifact 	1RG 	Common 	Jean-Séstien Rossbach 	English Alara Reborn
55 	Godtracker of Jund 	Creature - Elf Shaman 2/2 	1RG 	Common 	Justin Sweet 	English Alara Reborn
56 	Gorger Wurm 	Creature - Wurm 5/5 	3RG 	Common 	Parente 	English Alara Reborn
57 	Mage Slayer 	Artifact - Equipment 	1RG 	Uncommon 	Lars Grant-West 	English Alara Reborn
58 	Predatory Advantage 	Enchantment 	3RG 	Rare 	Raymond Swanland 	English Alara Reborn
59 	Rhox Brute 	Creature - Rhino Warrior 4/4 	2RG 	Common 	Raymond Swanland 	English Alara Reborn
60 	Spellbreaker Behemoth 	Creature - Beast 5/5 	1RGG 	Rare 	Jason Chan 	English Alara Reborn
61 	Valley Rannet 	Creature - Beast 6/3 	4RG 	Common 	Dave Allsop 	English Alara Reborn
62 	Vengeful Rebirth 	Sorcery 	4RG 	Uncommon 	Vance Kovacs 	English Alara Reborn
63 	Violent Outburst 	Instant 	1RG 	Common 	Richard Whitters 	English Alara Reborn
64 	Vithian Renegades 	Creature - Human Shaman 3/2 	1RG 	Uncommon 	rk post 	English Alara Reborn
65 	Behemoth Sledge 	Artifact - Equipment 	1WG 	Uncommon 	Steve Prescott 	English Alara Reborn
66 	Captured Sunlight 	Sorcery 	2WG 	Common 	Nils Hamm 	English Alara Reborn
67 	Dauntless Escort 	Creature - Rhino Soldier 3/3 	1WG 	Rare 	Volkan Baga 	English Alara Reborn
68 	Enlisted Wurm 	Creature - Wurm 5/5 	4WG 	Uncommon 	Steve Prescott 	English Alara Reborn
69 	Grizzled Leotau 	Creature - Cat 1/5 	WG 	Common 	Lars Grant-West 	English Alara Reborn
70 	Knight of New Alara 	Creature - Human Knight 2/2 	2WG 	Rare 	Chris Rahn 	English Alara Reborn
71 	Knotvine Paladin 	Creature - Human Knight 2/2 	WG 	Rare 	Matt Stewart 	English Alara Reborn
72 	Leonin Armorguard 	Creature - Cat Soldier 3/3 	2WG 	Common 	Steven Belledin 	English Alara Reborn
73 	Mycoid Shepherd 	Creature - Fungus 5/4 	1WGG 	Rare 	Trevor Claxton 	English Alara Reborn
74 	Pale Recluse 	Creature - Spider 4/5 	4WG 	Common 	Cyril Van Der Haegen 	English Alara Reborn
75 	Qasali Pridemage 	Creature - Cat Wizard 2/2 	WG 	Common 	Chris Rahn 	English Alara Reborn
76 	Reborn Hope 	Sorcery 	WG 	Uncommon 	Warren Mahy 	English Alara Reborn
77 	Sigil Captain 	Creature - Rhino Soldier 3/3 	1WWG 	Uncommon 	Howard Lyon 	English Alara Reborn
78 	Sigil of the Nayan Gods 	Enchantment - Aura 	1WG 	Common 	Warren Mahy 	English Alara Reborn
79 	Sigiled Behemoth 	Creature - Beast 5/4 	4WG 	Common 	Donato Giancola 	English Alara Reborn
80 	Wildfield Borderpost 	Artifact 	1WG 	Common 	Zoltan Boros & Gabor Szikszai 	English Alara Reborn
81 	Identity Crisis 	Sorcery 	2WWBB 	Rare 	Thomas M. Baxa 	English Alara Reborn
82 	Necromancer's Covenant 	Enchantment 	3WBB 	Rare 	Thomas M. Baxa 	English Alara Reborn
83 	Tainted Sigil 	Artifact 	1WB 	Uncommon 	Chippy 	English Alara Reborn
84 	Vectis Dominator 	Artifact Creature - Human Wizard 0/2 	1WB 	Common 	Zoltan Boros & Gabor Szikszai 	English Alara Reborn
85 	Zealous Persecution 	Instant 	WB 	Uncommon 	Christopher Moeller 	English Alara Reborn
86 	Cloven Casting 	Enchantment 	5UR 	Rare 	Vance Kovacs 	English Alara Reborn
87 	Double Negative 	Instant 	UUR 	Uncommon 	Parente 	English Alara Reborn
88 	Magefire Wings 	Enchantment - Aura 	UR 	Common 	Zoltan Boros & Gabor Szikszai 	English Alara Reborn
89 	Skyclaw Thrash 	Artifact Creature - Viashino Warrior 4/4 	3UR 	Uncommon 	Jaime Jones 	English Alara Reborn
90 	Spellbound Dragon 	Creature - Dragon 3/5 	3UR 	Rare 	Jesper Ejsing 	English Alara Reborn
91 	Lord of Extinction 	Creature - Elemental */* 	3BG 	Mythic Rare 	Izzy 	English Alara Reborn
92 	Maelstrom Pulse 	Sorcery 	1BG 	Rare 	Anthony Francisco 	English Alara Reborn
93 	Marrow Chomper 	Creature - Zombie Lizard 3/3 	3BG 	Uncommon 	Lars Grant-West 	English Alara Reborn
94 	Morbid Bloom 	Sorcery 	4BG 	Uncommon 	Trevor Claxton 	English Alara Reborn
95 	Putrid Leech 	Creature - Zombie Leech 2/2 	BG 	Common 	Dave Allsop 	English Alara Reborn
96 	Cerodon Yearling 	Creature - Beast 2/2 	WR 	Common 	Christopher Moeller 	English Alara Reborn
97 	Fight to the Death 	Instant 	WR 	Rare 	Michael Komarck 	English Alara Reborn
98 	Glory of Warfare 	Enchantment 	2WR 	Rare 	Parente 	English Alara Reborn
99 	Intimidation Bolt 	Instant 	1WR 	Uncommon 	Michael Bruinsma 	English Alara Reborn
100 	Stun Sniper 	Creature - Human Archer 1/1 	WR 	Uncommon 	Steve Prescott 	English Alara Reborn
101 	Lorescale Coatl 	Creature - Snake 2/2 	1UG 	Uncommon 	Greg Staples 	English Alara Reborn
102 	Nulltread Gargantuan 	Creature - Beast 5/6 	1UG 	Uncommon 	Anthony Francisco 	English Alara Reborn
103 	Sages of the Anima 	Creature - Elf Wizard 3/4 	3UG 	Rare 	Kev Walker 	English Alara Reborn
104 	Vedalken Heretic 	Creature - Vedalken Rogue 1/1 	UG 	Rare 	Greg Staples 	English Alara Reborn
105 	Winged Coatl 	Creature - Snake 1/1 	1UG 	Common 	Izzy 	English Alara Reborn
106 	Enigma Sphinx 	Artifact Creature - Sphinx 5/4 	4WUB 	Rare 	Chris Rahn 	English Alara Reborn
107 	Esper Sojourners 	Artifact Creature - Vedalken Wizard 2/3 	WUB 	Common 	John Avon 	English Alara Reborn
108 	Etherwrought Page 	Artifact 	1WUB 	Uncommon 	Howard Lyon 	English Alara Reborn
109 	Sen Triplets 	Legendary Artifact Creature - Human Wizard 3/3 	2WUB 	Mythic Rare 	Greg Staples 	English Alara Reborn
110 	Sphinx of the Steel Wind 	Artifact Creature - Sphinx 6/6 	5WUB 	Mythic Rare 	Kev Walker 	English Alara Reborn
111 	Drastic Revelation 	Sorcery 	2UBR 	Uncommon 	Trevor Claxton 	English Alara Reborn
112 	Grixis Sojourners 	Creature - Zombie Ogre 4/3 	1UBR 	Common 	John Avon 	English Alara Reborn
113 	Thraximundar 	Legendary Creature - Zombie Assassin 6/6 	4UBR 	Mythic Rare 	Raymond Swanland 	English Alara Reborn
114 	Unscythe, Killer of Kings 	Legendary Artifact - Equipment 	UBBR 	Rare 	Karl Kopinski 	English Alara Reborn
115 	Dragon Appeasement 	Enchantment 	3BRG 	Uncommon 	Paul Bonner 	English Alara Reborn
116 	Jund Sojourners 	Creature - Viashino Shaman 3/2 	BRG 	Common 	John Avon 	English Alara Reborn
117 	Karrthus, Tyrant of Jund 	Legendary Creature - Dragon 7/7 	4BRG 	Mythic Rare 	Dave Kendall 	English Alara Reborn
118 	Lavalanche 	Sorcery 	XBRG 	Rare 	Steve Argyle 	English Alara Reborn
119 	Madrush Cyclops 	Creature - Cyclops Warrior 3/4 	1BRG 	Rare 	Wayne Reynolds 	English Alara Reborn
120 	Gloryscale Viashino 	Creature - Viashino Soldier 3/3 	1WRG 	Uncommon 	Volkan Baga 	English Alara Reborn
121 	Mayael's Aria 	Enchantment 	WRG 	Rare 	Steve Argyle 	English Alara Reborn
122 	Naya Sojourners 	Creature - Elf Shaman 5/3 	2WRG 	Common 	John Avon 	English Alara Reborn
123 	Retaliator Griffin 	Creature - Griffin 2/2 	1WRG 	Rare 	Jesper Ejsing 	English Alara Reborn
124 	Uril, the Miststalker 	Legendary Creature - Beast 5/5 	2WRG 	Mythic Rare 	Jaime Jones 	English Alara Reborn
125 	Bant Sojourners 	Creature - Human Soldier 2/4 	1WUG 	Common 	John Avon 	English Alara Reborn
126 	Finest Hour 	Enchantment 	2WUG 	Rare 	Michael Komarck 	English Alara Reborn
127 	Flurry of Wings 	Instant 	WUG 	Uncommon 	Matt Cavotta 	English Alara Reborn
128 	Jenara, Asura of War 	Legendary Creature - Angel 3/3 	WUG 	Mythic Rare 	Chris Rahn 	English Alara Reborn
129 	Wargate 	Sorcery 	XWUG 	Rare 	Franz Vohwinkel 	English Alara Reborn
130 	Maelstrom Nexus 	Enchantment 	WUBRG 	Mythic Rare 	Steven Belledin 	English Alara Reborn
131 	Arsenal Thresher 	Artifact Creature - Construct 2/2 	2{W/B}U 	Common 	Ralph Horsley 	English Alara Reborn
132 	Esper Stormblade 	Artifact Creature - Vedalken Wizard 2/1 	{W/B}U 	Common 	Matt Stewart 	English Alara Reborn
133 	Thopter Foundry 	Artifact 	{W/B}U 	Uncommon 	Ralph Horsley 	English Alara Reborn
134 	Grixis Grimblade 	Creature - Zombie Warrior 2/1 	{U/R}B 	Common 	Trevor Claxton 	English Alara Reborn
135 	Sewn-Eye Drake 	Creature - Zombie Drake 3/1 	2{U/R}B 	Common 	Anthony S. Waters 	English Alara Reborn
136 	Slave of Bolas 	Sorcery 	3{U/R}B 	Uncommon 	Steve Argyle 	English Alara Reborn
137 	Giant Ambush Beetle 	Creature - Insect 4/3 	3{B/G}R 	Uncommon 	Carl Critchlow 	English Alara Reborn
138 	Jund Hackblade 	Creature - Goblin Berserker 2/1 	{B/G}R 	Common 	Dan Dos Santos 	English Alara Reborn
139 	Sangrite Backlash 	Enchantment - Aura 	{B/G}R 	Common 	Cyril Van Der Haegen 	English Alara Reborn
140 	Marisi's Twinclaws 	Creature - Cat Warrior 2/4 	2{R/W}G 	Uncommon 	Izzy 	English Alara Reborn
141 	Naya Hushblade 	Creature - Elf Rogue 2/1 	{R/W}G 	Common 	Jason Chan 	English Alara Reborn
142 	Trace of Abundance 	Enchantment - Aura 	{R/W}G 	Common 	Dave Kendall 	English Alara Reborn
143 	Bant Sureblade 	Creature - Human Soldier 2/1 	{G/U}W 	Common 	Michael Komarck 	English Alara Reborn
144 	Crystallization 	Enchantment - Aura 	{G/U}W 	Common 	Zoltan Boros & Gabor Szikszai 	English Alara Reborn
145 	Messenger Falcons 	Creature - Bird 2/2 	2{G/U}W 	Uncommon 	David Palumbo 	English Alara Reborn
