1 	Ancestor's Chosen 	Creature - Cleric 4/4 	5WW 	Uncommon 	Pete Venters 	English Judgment
44 	Laquatus's Disdain 	Instant 	1U 	Uncommon 	Pete Venters 	English Judgment
45 	Lost in Thought 	Enchant Creature 	1U 	Common 	Ben Thompson 	English Judgment
46 	Mental Note 	Instant 	U 	Common 	Bradley Williams 	English Judgment
47 	Mirror Wall 	Creature - Wall 3/4 	3U 	Common 	Mark Brill 	English Judgment
48 	Mist of Stagnation 	Enchantment 	3UU 	Rare 	Mike Ploog 	English Judgment
49 	Quiet Speculation 	Sorcery 	1U 	Uncommon 	John Avon 	English Judgment
50 	Scalpelexis 	Creature - Beast 1/5 	4U 	Rare 	Mark Tedin 	English Judgment
51 	Spelljack 	Instant 	3UUU 	Rare 	Pete Venters 	English Judgment
52 	Telekinetic Bonds 	Enchantment 	2UUU 	Rare 	Jim Nelson 	English Judgment
53 	Web of Inertia 	Enchantment 	2U 	Uncommon 	Don Hazeltine 	English Judgment
54 	Wonder 	Creature - Incarnation 2/2 	3U 	Uncommon 	Rebecca Guay 	English Judgment
55 	Wormfang Behemoth 	Creature - Nightmare Beast 5/5 	3UU 	Rare 	Heather Hudson 	English Judgment
56 	Wormfang Crab 	Creature - Nightmare Crab 3/6 	3U 	Uncommon 	Glen Angus 	English Judgment
57 	Wormfang Drake 	Creature - Nightmare Drake 3/4 	2U 	Common 	Thomas M. Baxa 	English Judgment
58 	Wormfang Manta 	Creature - Nightmare Beast 6/1 	5UU 	Rare 	Heather Hudson 	English Judgment
59 	Wormfang Newt 	Creature - Nightmare Beast 2/2 	1U 	Common 	Doug Chaffee 	English Judgment
60 	Wormfang Turtle 	Creature - Nightmare Beast 2/4 	2U 	Uncommon 	John Avon 	English Judgment
61 	Balthor the Defiled 	Creature - Zombie Dwarf Legend 2/2 	2BB 	Rare 	Carl Critchlow 	English Judgment
62 	Cabal Therapy 	Sorcery 	B 	Uncommon 	Ron Spencer 	English Judgment
63 	Cabal Trainee 	Creature - Minion 1/1 	B 	Common 	Pete Venters 	English Judgment
64 	Death Wish 	Sorcery 	1BB 	Rare 	Jeff Easley 	English Judgment
65 	Earsplitting Rats 	Creature - Rat 2/1 	3B 	Common 	Heather Hudson 	English Judgment
66 	Filth 	Creature - Incarnation 2/2 	3B 	Uncommon 	Thomas M. Baxa 	English Judgment
67 	Grave Consequences 	Instant 	1B 	Uncommon 	Tim Hildebrandt 	English Judgment
68 	Guiltfeeder 	Creature - Horror 0/4 	3BB 	Rare 	Mark Tedin 	English Judgment
69 	Masked Gorgon 	Creature - Gorgon 5/5 	4B 	Rare 	Matthew D. Wilson 	English Judgment
70 	Morality Shift 	Sorcery 	5BB 	Rare 	Jerry Tiritilli 	English Judgment
71 	Rats' Feast 	Sorcery 	XB 	Common 	Bob Petillo 	English Judgment
72 	Stitch Together 	Sorcery 	BB 	Uncommon 	Arnie Swekel 	English Judgment
73 	Sutured Ghoul 	Creature - Zombie */* 	4BBB 	Rare 	Carl Critchlow 	English Judgment
74 	Toxic Stench 	Instant 	1B 	Common 	Bradley Williams 	English Judgment
75 	Treacherous Vampire 	Creature - Vampire 4/4 	4B 	Uncommon 	Kev Walker 	English Judgment
76 	Treacherous Werewolf 	Creature - Minion Wolf 2/2 	2B 	Common 	Mark Tedin 	English Judgment
77 	Anger 	Creature - Incarnation 2/2 	3R 	Uncommon 	John Avon 	English Judgment
78 	Arcane Teachings 	Enchant Creature 	2R 	Common 	Mark Brill 	English Judgment
79 	Barbarian Bully 	Creature - Barbarian 2/2 	2R 	Common 	Mike Ploog 	English Judgment
80 	Book Burning 	Sorcery 	1R 	Common 	Dave Dorman 	English Judgment
81 	Breaking Point 	Sorcery 	1RR 	Rare 	Matthew D. Wilson 	English Judgment
82 	Browbeat 	Sorcery 	2R 	Uncommon 	Mark Tedin 	English Judgment
83 	Burning Wish 	Sorcery 	1R 	Rare 	Scott M. Fischer 	English Judgment
84 	Dwarven Bloodboiler 	Creature - Dwarf 2/2 	RRR 	Rare 	Arnie Swekel 	English Judgment
85 	Dwarven Driller 	Creature - Dwarf 2/2 	3R 	Uncommon 	Edward P. Beard, Jr. 	English Judgment
86 	Dwarven Scorcher 	Creature - Dwarf 1/1 	R 	Common 	Thomas M. Baxa 	English Judgment
87 	Ember Shot 	Instant 	6R 	Common 	Alan Pollack 	English Judgment
88 	Firecat Blitz 	Sorcery 	XRR 	Uncommon 	David Martin 	English Judgment
89 	Flaring Pain 	Instant 	1R 	Common 	Glen Angus 	English Judgment
90 	Fledgling Dragon 	Creature - Dragon 2/2 	2RR 	Rare 	Greg Staples 	English Judgment
91 	Goretusk Firebeast 	Creature - Beast 2/2 	5R 	Common 	Keith Garletts 	English Judgment
92 	Infectious Rage 	Enchant Creature 	1R 	Uncommon 	Christopher Moeller 	English Judgment
93 	Jeska, Warrior Adept 	Creature - Barbarian Legend 3/1 	2RR 	Rare 	rk post 	English Judgment
94 	Lava Dart 	Instant 	R 	Common 	Darrell Riche 	English Judgment
95 	Liberated Dwarf 	Creature - Dwarf 1/1 	R 	Common 	Greg Hildebrandt 	English Judgment
96 	Lightning Surge 	Sorcery 	3RR 	Rare 	Ron Spears 	English Judgment
97 	Planar Chaos 	Enchantment 	2R 	Uncommon 	Ron Spencer 	English Judgment
98 	Shaman's Trance 	Instant 	2R 	Rare 	Greg Hildebrandt 	English Judgment
99 	Soulgorger Orgg 	Creature - Nightmare Orgg 6/6 	3RR 	Uncommon 	John Matson 	English Judgment
100 	Spellgorger Barbarian 	Creature - Nightmare Barbarian 3/1 	3R 	Common 	Mark Romanoski 	English Judgment
101 	Swelter 	Sorcery 	3R 	Uncommon 	Ben Thompson 	English Judgment
102 	Swirling Sandstorm 	Sorcery 	3R 	Common 	Tony Szczudlo 	English Judgment
103 	Worldgorger Dragon 	Creature - Nightmare Dragon 7/7 	3RRR 	Rare 	Wayne England 	English Judgment
104 	Anurid Barkripper 	Creature - Beast 2/2 	1GG 	Common 	Randy Gallegos 	English Judgment
105 	Anurid Swarmsnapper 	Creature - Beast 1/4 	2G 	Uncommon 	John Matson 	English Judgment
106 	Battlefield Scrounger 	Creature - Centaur 3/3 	3GG 	Common 	Daren Bader 	English Judgment
107 	Brawn 	Creature - Incarnation 3/3 	3G 	Uncommon 	Matt Cavotta 	English Judgment
108 	Canopy Claws 	Instant 	G 	Common 	Matthew Mitchell 	English Judgment
109 	Centaur Rootcaster 	Creature - Centaur Druid 2/2 	3G 	Common 	Eric Peterson 	English Judgment
110 	Crush of Wurms 	Sorcery 	6GGG 	Rare 	Christopher Moeller 	English Judgment
111 	Elephant Guide 	Enchant Creature 	2G 	Uncommon 	Jim Nelson 	English Judgment
112 	Epic Struggle 	Enchantment 	2GG 	Rare 	Greg & Tim Hildebrandt 	English Judgment
113 	Erhnam Djinn 	Creature - Djinn 4/5 	3G 	Rare 	Greg Staples 	English Judgment
114 	Exoskeletal Armor 	Enchant Creature 	1G 	Uncommon 	Wayne England 	English Judgment
115 	Folk Medicine 	Instant 	2G 	Common 	Matt Cavotta 	English Judgment
116 	Forcemage Advocate 	Creature - Centaur 2/1 	1G 	Uncommon 	Darrell Riche 	English Judgment
117 	Genesis 	Creature - Incarnation 4/4 	4G 	Rare 	Mark Zug 	English Judgment
118 	Giant Warthog 	Creature - Beast 5/5 	5G 	Common 	Kev Walker 	English Judgment
119 	Grizzly Fate 	Sorcery 	3GG 	Uncommon 	Dave Dorman 	English Judgment
120 	Harvester Druid 	Creature - Druid 1/1 	1G 	Common 	David Martin 	English Judgment
121 	Ironshell Beetle 	Creature - Insect 1/1 	1G 	Common 	Heather Hudson 	English Judgment
122 	Krosan Reclamation 	Instant 	1G 	Uncommon 	Gary Ruddell 	English Judgment
123 	Krosan Wayfarer 	Creature - Druid 1/1 	G 	Common 	Edward P. Beard, Jr. 	English Judgment
124 	Living Wish 	Sorcery 	1G 	Rare 	Eric Peterson 	English Judgment
125 	Nantuko Tracer 	Creature - Insect Druid 2/1 	1G 	Common 	Greg Staples 	English Judgment
126 	Nullmage Advocate 	Creature - Insect Druid 2/3 	2G 	Common 	Darrell Riche 	English Judgment
127 	Phantom Centaur 	Creature - Centaur Spirit 2/0 	2GG 	Uncommon 	Carl Critchlow 	English Judgment
128 	Phantom Nantuko 	Creature - Insect Spirit 0/0 	2G 	Rare 	Wayne England 	English Judgment
129 	Phantom Tiger 	Creature - Cat Spirit 1/0 	2G 	Common 	Brian Snõ 	English Judgment
130 	Seedtime 	Instant 	1G 	Rare 	Rebecca Guay 	English Judgment
131 	Serene Sunset 	Instant 	XG 	Uncommon 	David Martin 	English Judgment
132 	Sudden Strength 	Instant 	3G 	Common 	Alan Pollack 	English Judgment
133 	Sylvan Safekeeper 	Creature - Wizard 1/1 	G 	Rare 	Pete Venters 	English Judgment
134 	Thriss, Nantuko Primus 	Creature - Insect Druid Legend 5/5 	5GG 	Rare 	John Avon 	English Judgment
135 	Tunneler Wurm 	Creature - Wurm 6/6 	6GG 	Uncommon 	Jeff Easley 	English Judgment
136 	Venomous Vines 	Sorcery 	2GG 	Common 	Ron Spencer 	English Judgment
137 	Anurid Brushhopper 	Creature - Beast 3/4 	1WG 	Rare 	Arnie Swekel 	English Judgment
138 	Hunting Grounds 	Enchantment 	WG 	Rare 	Mark Brill 	English Judgment
139 	Mirari's Wake 	Enchantment 	3WG 	Rare 	David Martin 	English Judgment
140 	Phantom Nishoba 	Creature - Beast Spirit 0/0 	5WG 	Rare 	Arnie Swekel 	English Judgment
141 	Krosan Verge 	Land 		Uncommon 	Tony Szczudlo 	English Judgment
142 	Nantuko Monastery 	Land 		Uncommon 	Rob Alexander 	English Judgment
143 	Riftstone Portal 	Land 		Uncommon 	Don Hazeltine 	English Judgment
